round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,100,dirichlet,0.01,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,fedavg,cifar10,100,dirichlet,0.01,1,1,0,5.497536123275757,0.1521,0.3042,0.0,-0.25220000000000004,0.1484,0.25220000000000004,,24144800,241448,50
2,fedavg,cifar10,100,dirichlet,0.01,1,0,0,5.272010961914063,0.1,0.2,0.0,0.10420000000000001,0.1484,0.14800000000000002,,48289600,241448,50
3,fedavg,cifar10,100,dirichlet,0.01,1,0,0,2.892412540435791,0.1,0.2,0.0,0.10420000000000001,0.1484,0.14800000000000002,,72434400,241448,50
4,fedavg,cifar10,100,dirichlet,0.01,1,0,0,52.948027090454104,0.1,0.2,0.0,0.10420000000000001,0.1484,0.14800000000000002,,96579200,241448,50
5,fedavg,cifar10,100,dirichlet,0.01,1,0,0,2.729504409599304,0.1028,0.2056,0.0,0.09860000000000002,0.1484,0.15360000000000001,,120724000,241448,50
6,fedavg,cifar10,100,dirichlet,0.01,1,0,0,177.55628123779297,0.1,0.2,0.0,0.10420000000000001,0.1484,0.14800000000000002,,144868800,241448,50
7,fedavg,cifar10,100,dirichlet,0.01,1,0,0,3.559476061630249,0.1219,0.2438,0.0,0.06040000000000004,0.1484,0.1918,,169013600,241448,50
8,fedavg,cifar10,100,dirichlet,0.01,1,0,0,12.666021335601807,0.102,0.204,0.0,0.10020000000000004,0.1484,0.152,,193158400,241448,50
9,fedavg,cifar10,100,dirichlet,0.01,1,0,0,4.139648016929627,0.0964,0.1928,0.0,0.11140000000000003,0.1484,0.1408,,217303200,241448,50
10,fedavg,cifar10,100,dirichlet,0.01,1,0,1,8.038525481414794,0.1189,0.2378,0.0,0.06640000000000001,0.1484,0.18580000000000002,,241448000,241448,50
11,fedavg,cifar10,100,dirichlet,0.01,2,1,0,6.108614395904541,0.1231,0.0534,0.1928,0.2508,-0.044399999999999995,0.0014000000000000054,,265592800,241448,50
12,fedavg,cifar10,100,dirichlet,0.01,2,0,0,5.590543535041809,0.1491,0.0544,0.2438,0.24980000000000002,-0.05099999999999999,0.0023999999999999994,,289737600,241448,50
13,fedavg,cifar10,100,dirichlet,0.01,2,0,0,5.441642214202881,0.0969,0.0,0.1938,0.3042,0.04999999999999999,-0.052,,313882400,241448,50
14,fedavg,cifar10,100,dirichlet,0.01,2,0,0,32.13333627319336,0.1001,0.0002,0.2,0.30400000000000005,0.04379999999999998,-0.0518,,338027200,241448,50
15,fedavg,cifar10,100,dirichlet,0.01,2,0,0,9.92320153312683,0.1146,0.0,0.2292,0.3042,0.014600000000000002,-0.052,,362172000,241448,50
16,fedavg,cifar10,100,dirichlet,0.01,2,0,0,4.695334586334228,0.1037,0.0004,0.207,0.3038,0.0368,-0.0516,,386316800,241448,50
17,fedavg,cifar10,100,dirichlet,0.01,2,0,0,10.44615592956543,0.1007,0.0002,0.2012,0.30400000000000005,0.0426,-0.0518,,410461600,241448,50
18,fedavg,cifar10,100,dirichlet,0.01,2,0,0,9.494066056060792,0.1,0.0,0.2,0.3042,0.04379999999999998,-0.052,,434606400,241448,50
19,fedavg,cifar10,100,dirichlet,0.01,2,0,0,2.6871756549835206,0.128,0.0004,0.2556,0.3038,-0.011800000000000005,-0.0516,,458751200,241448,50
20,fedavg,cifar10,100,dirichlet,0.01,2,0,1,4.88421172618866,0.1186,0.0002,0.237,0.30400000000000005,0.018600000000000005,-0.0518,,482896000,241448,50
