round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,100,dirichlet,0.1,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,fedavg,cifar10,100,dirichlet,0.1,1,1,0,2.503374407196045,0.1474,0.2948,0.0,-0.24280000000000002,0.1484,0.24280000000000002,,24144800,241448,50
2,fedavg,cifar10,100,dirichlet,0.1,1,0,0,3.3164725406646727,0.2014,0.4028,0.0,-0.10799999999999998,0.1484,0.3508,,48289600,241448,50
3,fedavg,cifar10,100,dirichlet,0.1,1,0,0,3.4778641611099244,0.1696,0.3392,0.0,0.06359999999999999,0.1484,0.2872,,72434400,241448,50
4,fedavg,cifar10,100,dirichlet,0.1,1,0,0,2.9806257690429687,0.2866,0.5732,0.0,-0.17040000000000005,0.1484,0.5212,,96579200,241448,50
5,fedavg,cifar10,100,dirichlet,0.1,1,0,0,4.095452551937103,0.2145,0.429,0.0,0.14420000000000005,0.1484,0.377,,120724000,241448,50
6,fedavg,cifar10,100,dirichlet,0.1,1,0,0,3.3545501183509825,0.2001,0.4002,0.0,0.17300000000000004,0.1484,0.3482,,144868800,241448,50
7,fedavg,cifar10,100,dirichlet,0.1,1,0,0,3.1871368275642395,0.2712,0.5424,0.0,0.03080000000000005,0.1484,0.4904,,169013600,241448,50
8,fedavg,cifar10,100,dirichlet,0.1,1,0,0,3.376063359832764,0.2311,0.4622,0.0,0.11100000000000004,0.1484,0.4102,,193158400,241448,50
9,fedavg,cifar10,100,dirichlet,0.1,1,0,0,3.33325188703537,0.2823,0.5646,0.0,0.008600000000000052,0.1484,0.5126,,217303200,241448,50
10,fedavg,cifar10,100,dirichlet,0.1,1,0,1,3.6478399990558623,0.3092,0.6184,0.0,-0.04519999999999991,0.1484,0.5663999999999999,,241448000,241448,50
11,fedavg,cifar10,100,dirichlet,0.1,2,1,0,2.3090235780715944,0.2043,0.0018,0.4068,0.6165999999999999,-0.25839999999999996,-0.050199999999999995,,265592800,241448,50
12,fedavg,cifar10,100,dirichlet,0.1,2,0,0,3.4096543050765993,0.186,0.0,0.372,0.6184,0.0348,-0.052,,289737600,241448,50
13,fedavg,cifar10,100,dirichlet,0.1,2,0,0,3.306410801124573,0.1645,0.0,0.329,0.6184,0.07779999999999998,-0.052,,313882400,241448,50
14,fedavg,cifar10,100,dirichlet,0.1,2,0,0,2.843066228675842,0.1558,0.0,0.3116,0.6184,0.0952,-0.052,,338027200,241448,50
15,fedavg,cifar10,100,dirichlet,0.1,2,0,0,3.2831838847637176,0.2824,0.0,0.5648,0.6184,-0.15799999999999997,-0.052,,362172000,241448,50
16,fedavg,cifar10,100,dirichlet,0.1,2,0,0,3.6736188041687012,0.2829,0.0,0.5658,0.6184,-0.0010000000000000009,-0.052,,386316800,241448,50
17,fedavg,cifar10,100,dirichlet,0.1,2,0,0,3.8288224165916445,0.2627,0.0,0.5254,0.6184,0.04039999999999999,-0.052,,410461600,241448,50
18,fedavg,cifar10,100,dirichlet,0.1,2,0,0,3.5016048968315125,0.3132,0.0,0.6264,0.6184,-0.06059999999999999,-0.052,,434606400,241448,50
19,fedavg,cifar10,100,dirichlet,0.1,2,0,0,3.990580515098572,0.328,0.0,0.656,0.6184,-0.02960000000000007,-0.052,,458751200,241448,50
20,fedavg,cifar10,100,dirichlet,0.1,2,0,1,4.0013679278373715,0.3343,0.0,0.6686,0.6184,-0.012599999999999945,-0.052,,482896000,241448,50
