round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,100,dirichlet,0.5,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,fedavg,cifar10,100,dirichlet,0.5,1,1,0,2.741710701465607,0.2338,0.4676,0.0,-0.4156,0.1484,0.4156,,24144800,241448,50
2,fedavg,cifar10,100,dirichlet,0.5,1,0,0,3.3168004358291627,0.2784,0.5568,0.0,-0.08919999999999995,0.1484,0.5047999999999999,,48289600,241448,50
3,fedavg,cifar10,100,dirichlet,0.5,1,0,0,3.4885536498069762,0.2955,0.591,0.0,-0.03420000000000001,0.1484,0.5389999999999999,,72434400,241448,50
4,fedavg,cifar10,100,dirichlet,0.5,1,0,0,3.7295855869293213,0.3017,0.6034,0.0,-0.012400000000000078,0.1484,0.5514,,96579200,241448,50
5,fedavg,cifar10,100,dirichlet,0.5,1,0,0,3.8366191221237185,0.3075,0.615,0.0,-0.011599999999999944,0.1484,0.563,,120724000,241448,50
6,fedavg,cifar10,100,dirichlet,0.5,1,0,0,3.98838019118309,0.319,0.638,0.0,-0.02300000000000002,0.1484,0.586,,144868800,241448,50
7,fedavg,cifar10,100,dirichlet,0.5,1,0,0,4.026451211547852,0.3249,0.6498,0.0,-0.011800000000000033,0.1484,0.5978,,169013600,241448,50
8,fedavg,cifar10,100,dirichlet,0.5,1,0,0,4.194327691268921,0.3242,0.6484,0.0,0.0014000000000000679,0.1484,0.5963999999999999,,193158400,241448,50
9,fedavg,cifar10,100,dirichlet,0.5,1,0,0,4.224530771780014,0.3292,0.6584,0.0,-0.008599999999999941,0.1484,0.6063999999999999,,217303200,241448,50
10,fedavg,cifar10,100,dirichlet,0.5,1,0,1,4.194296053552628,0.336,0.672,0.0,-0.013600000000000056,0.1484,0.62,,241448000,241448,50
11,fedavg,cifar10,100,dirichlet,0.5,2,1,0,2.4413952878952028,0.2148,0.0,0.4296,0.672,-0.2812,-0.052,,265592800,241448,50
12,fedavg,cifar10,100,dirichlet,0.5,2,0,0,3.114063203907013,0.2642,0.0,0.5284,0.672,-0.0988,-0.052,,289737600,241448,50
13,fedavg,cifar10,100,dirichlet,0.5,2,0,0,3.8286618823051453,0.2994,0.0,0.5988,0.672,-0.07040000000000002,-0.052,,313882400,241448,50
14,fedavg,cifar10,100,dirichlet,0.5,2,0,0,3.9450406101703646,0.3211,0.0,0.6422,0.672,-0.043399999999999994,-0.052,,338027200,241448,50
15,fedavg,cifar10,100,dirichlet,0.5,2,0,0,4.120037664794922,0.339,0.0,0.678,0.672,-0.035800000000000054,-0.052,,362172000,241448,50
16,fedavg,cifar10,100,dirichlet,0.5,2,0,0,4.241662420606613,0.3478,0.0,0.6956,0.672,-0.01759999999999995,-0.052,,386316800,241448,50
17,fedavg,cifar10,100,dirichlet,0.5,2,0,0,4.376004882144928,0.3573,0.0,0.7146,0.672,-0.019000000000000017,-0.052,,410461600,241448,50
18,fedavg,cifar10,100,dirichlet,0.5,2,0,0,4.42396234035492,0.3638,0.0,0.7276,0.672,-0.013000000000000012,-0.052,,434606400,241448,50
19,fedavg,cifar10,100,dirichlet,0.5,2,0,0,4.554025313329697,0.3666,0.0,0.7332,0.672,-0.005599999999999938,-0.052,,458751200,241448,50
20,fedavg,cifar10,100,dirichlet,0.5,2,0,1,4.608995311403275,0.3672,0.0,0.7344,0.672,-0.0012000000000000899,-0.052,,482896000,241448,50
