round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,100,dirichlet,1.0,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,fedavg,cifar10,100,dirichlet,1.0,1,1,0,2.5660015976905823,0.2582,0.5164,0.0,-0.4644,0.1484,0.4644,,24144800,241448,50
2,fedavg,cifar10,100,dirichlet,1.0,1,0,0,3.5933758438110353,0.2902,0.5804,0.0,-0.06400000000000006,0.1484,0.5284,,48289600,241448,50
3,fedavg,cifar10,100,dirichlet,1.0,1,0,0,3.840943930721283,0.3047,0.6094,0.0,-0.029000000000000026,0.1484,0.5574,,72434400,241448,50
4,fedavg,cifar10,100,dirichlet,1.0,1,0,0,4.03327876572609,0.3193,0.6386,0.0,-0.029199999999999893,0.1484,0.5865999999999999,,96579200,241448,50
5,fedavg,cifar10,100,dirichlet,1.0,1,0,0,4.034198298406601,0.3164,0.6328,0.0,0.005799999999999916,0.1484,0.5808,,120724000,241448,50
6,fedavg,cifar10,100,dirichlet,1.0,1,0,0,4.247677921390533,0.3198,0.6396,0.0,-0.0010000000000000009,0.1484,0.5875999999999999,,144868800,241448,50
7,fedavg,cifar10,100,dirichlet,1.0,1,0,0,4.0710927304267885,0.3257,0.6514,0.0,-0.011800000000000033,0.1484,0.5993999999999999,,169013600,241448,50
8,fedavg,cifar10,100,dirichlet,1.0,1,0,0,4.171568031644822,0.3307,0.6614,0.0,-0.010000000000000009,0.1484,0.6093999999999999,,193158400,241448,50
9,fedavg,cifar10,100,dirichlet,1.0,1,0,0,4.071270370674133,0.3309,0.6618,0.0,-0.00040000000000006697,0.1484,0.6098,,217303200,241448,50
10,fedavg,cifar10,100,dirichlet,1.0,1,0,1,4.230231168603897,0.337,0.674,0.0,-0.012199999999999989,0.1484,0.622,,241448000,241448,50
11,fedavg,cifar10,100,dirichlet,1.0,2,1,0,2.601919270324707,0.1906,0.0,0.3812,0.674,-0.23279999999999998,-0.052,,265592800,241448,50
12,fedavg,cifar10,100,dirichlet,1.0,2,0,0,3.594280945968628,0.2563,0.0,0.5126,0.674,-0.13139999999999996,-0.052,,289737600,241448,50
13,fedavg,cifar10,100,dirichlet,1.0,2,0,0,4.221768445539475,0.3052,0.0,0.6104,0.674,-0.09780000000000011,-0.052,,313882400,241448,50
14,fedavg,cifar10,100,dirichlet,1.0,2,0,0,4.46426167345047,0.3208,0.0,0.6416,0.674,-0.031199999999999894,-0.052,,338027200,241448,50
15,fedavg,cifar10,100,dirichlet,1.0,2,0,0,4.5803617710113524,0.3279,0.0,0.6558,0.674,-0.014200000000000101,-0.052,,362172000,241448,50
16,fedavg,cifar10,100,dirichlet,1.0,2,0,0,4.637228689002991,0.335,0.0,0.67,0.674,-0.01419999999999999,-0.052,,386316800,241448,50
17,fedavg,cifar10,100,dirichlet,1.0,2,0,0,4.7405743163585665,0.3502,0.0,0.7004,0.674,-0.030399999999999983,-0.052,,410461600,241448,50
18,fedavg,cifar10,100,dirichlet,1.0,2,0,0,4.930373579120636,0.3564,0.0,0.7128,0.674,-0.012399999999999967,-0.052,,434606400,241448,50
19,fedavg,cifar10,100,dirichlet,1.0,2,0,0,5.010590785551071,0.361,0.0,0.722,0.674,-0.009199999999999986,-0.052,,458751200,241448,50
20,fedavg,cifar10,100,dirichlet,1.0,2,0,1,5.024895800876617,0.3668,0.0,0.7336,0.674,-0.011600000000000055,-0.052,,482896000,241448,50
