round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,100,iid,,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,fedavg,cifar10,100,iid,,1,1,0,3.3232706653594972,0.2609,0.5218,0.0,-0.46980000000000005,0.1484,0.46980000000000005,,24144800,241448,50
2,fedavg,cifar10,100,iid,,1,0,0,4.291877959251404,0.2891,0.5782,0.0,-0.056400000000000006,0.1484,0.5262,,48289600,241448,50
3,fedavg,cifar10,100,iid,,1,0,0,4.4187531610488895,0.3057,0.6114,0.0,-0.03320000000000001,0.1484,0.5594,,72434400,241448,50
4,fedavg,cifar10,100,iid,,1,0,0,4.48971665558815,0.3167,0.6334,0.0,-0.02199999999999991,0.1484,0.5813999999999999,,96579200,241448,50
5,fedavg,cifar10,100,iid,,1,0,0,4.498428274917602,0.3211,0.6422,0.0,-0.00880000000000003,0.1484,0.5902,,120724000,241448,50
6,fedavg,cifar10,100,iid,,1,0,0,4.481411174106598,0.3262,0.6524,0.0,-0.010199999999999987,0.1484,0.6003999999999999,,144868800,241448,50
7,fedavg,cifar10,100,iid,,1,0,0,4.661149615669251,0.3307,0.6614,0.0,-0.009000000000000008,0.1484,0.6093999999999999,,169013600,241448,50
8,fedavg,cifar10,100,iid,,1,0,0,4.632720668458939,0.3355,0.671,0.0,-0.009600000000000053,0.1484,0.619,,193158400,241448,50
9,fedavg,cifar10,100,iid,,1,0,0,4.653004728031158,0.3398,0.6796,0.0,-0.008599999999999941,0.1484,0.6275999999999999,,217303200,241448,50
10,fedavg,cifar10,100,iid,,1,0,1,4.750529817581176,0.3433,0.6866,0.0,-0.007000000000000006,0.1484,0.6345999999999999,,241448000,241448,50
11,fedavg,cifar10,100,iid,,2,1,0,2.5143354417800903,0.2271,0.0,0.4542,0.6866,-0.30579999999999996,-0.052,,265592800,241448,50
12,fedavg,cifar10,100,iid,,2,0,0,3.617641432094574,0.2938,0.0,0.5876,0.6866,-0.13340000000000002,-0.052,,289737600,241448,50
13,fedavg,cifar10,100,iid,,2,0,0,4.5034706466674805,0.3157,0.0,0.6314,0.6866,-0.04379999999999995,-0.052,,313882400,241448,50
14,fedavg,cifar10,100,iid,,2,0,0,4.529345476579667,0.3378,0.0,0.6756,0.6866,-0.04420000000000002,-0.052,,338027200,241448,50
15,fedavg,cifar10,100,iid,,2,0,0,4.524354275894165,0.3492,0.0,0.6984,0.6866,-0.022800000000000042,-0.052,,362172000,241448,50
16,fedavg,cifar10,100,iid,,2,0,0,4.5819178759574894,0.3566,0.0,0.7132,0.6866,-0.014799999999999924,-0.052,,386316800,241448,50
17,fedavg,cifar10,100,iid,,2,0,0,4.751321077442169,0.3626,0.0,0.7252,0.6866,-0.01200000000000001,-0.052,,410461600,241448,50
18,fedavg,cifar10,100,iid,,2,0,0,4.840542004823685,0.3668,0.0,0.7336,0.6866,-0.008400000000000074,-0.052,,434606400,241448,50
19,fedavg,cifar10,100,iid,,2,0,0,4.8437640630722045,0.3719,0.0,0.7438,0.6866,-0.010199999999999987,-0.052,,458751200,241448,50
20,fedavg,cifar10,100,iid,,2,0,1,4.865105276536942,0.3739,0.0,0.7478,0.6866,-0.0040000000000000036,-0.052,,482896000,241448,50
