round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,10,dirichlet,0.01,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,fedavg,cifar10,10,dirichlet,0.01,1,1,0,3.706042395591736,0.1911,0.3822,0.0,-0.3302,0.1484,0.3302,,2414480,241448,5
2,fedavg,cifar10,10,dirichlet,0.01,1,0,0,7.0238845355987545,0.2163,0.4326,0.0,-0.0504,0.1484,0.3806,,4828960,241448,5
3,fedavg,cifar10,10,dirichlet,0.01,1,0,0,204.21917075195313,0.1,0.2,0.0,0.23259999999999997,0.1484,0.14800000000000002,,7243440,241448,5
4,fedavg,cifar10,10,dirichlet,0.01,1,0,0,7.0165196277618405,0.1014,0.2028,0.0,0.22979999999999998,0.1484,0.15080000000000002,,9657920,241448,5
5,fedavg,cifar10,10,dirichlet,0.01,1,0,0,5.14417752199173,0.1253,0.2506,0.0,0.182,0.1484,0.1986,,12072400,241448,5
6,fedavg,cifar10,10,dirichlet,0.01,1,0,0,11.655603742980958,0.101,0.202,0.0,0.23059999999999997,0.1484,0.15000000000000002,,14486880,241448,5
7,fedavg,cifar10,10,dirichlet,0.01,1,0,0,4.359668559837341,0.1846,0.3692,0.0,0.06340000000000001,0.1484,0.3172,,16901360,241448,5
8,fedavg,cifar10,10,dirichlet,0.01,1,0,0,7.189917584991455,0.2227,0.4454,0.0,-0.012800000000000034,0.1484,0.3934,,19315840,241448,5
9,fedavg,cifar10,10,dirichlet,0.01,1,0,0,153.14762214355468,0.1,0.2,0.0,0.2454,0.1484,0.14800000000000002,,21730320,241448,5
10,fedavg,cifar10,10,dirichlet,0.01,1,0,1,40.904453662109376,0.1044,0.2088,0.0,0.2366,0.1484,0.15680000000000002,,24144800,241448,5
11,fedavg,cifar10,10,dirichlet,0.01,2,1,0,10.193237384414672,0.0982,0.0038,0.1926,0.4416,-0.04419999999999999,-0.0482,,26559280,241448,5
12,fedavg,cifar10,10,dirichlet,0.01,2,0,0,24.62542325439453,0.1067,0.0034,0.21,0.442,-0.0174,-0.0486,,28973760,241448,5
13,fedavg,cifar10,10,dirichlet,0.01,2,0,0,4.53862068901062,0.1272,0.0232,0.2312,0.4222,-0.021199999999999997,-0.0288,,31388240,241448,5
14,fedavg,cifar10,10,dirichlet,0.01,2,0,0,22.574269981384276,0.1006,0.0,0.2012,0.4454,0.03,-0.052,,33802720,241448,5
15,fedavg,cifar10,10,dirichlet,0.01,2,0,0,11.7258669631958,0.1103,0.0022,0.2184,0.44320000000000004,0.012799999999999978,-0.0498,,36217200,241448,5
16,fedavg,cifar10,10,dirichlet,0.01,2,0,0,7.768880069160462,0.1215,0.0,0.243,0.4454,-0.011800000000000005,-0.052,,38631680,241448,5
17,fedavg,cifar10,10,dirichlet,0.01,2,0,0,5.4364804248809815,0.1063,0.0002,0.2124,0.44520000000000004,0.03059999999999999,-0.0518,,41046160,241448,5
18,fedavg,cifar10,10,dirichlet,0.01,2,0,0,4.992808052062989,0.1659,0.013,0.3188,0.4324,-0.07579999999999998,-0.039,,43460640,241448,5
19,fedavg,cifar10,10,dirichlet,0.01,2,0,0,8.846869134521484,0.1266,0.0006,0.2526,0.44480000000000003,0.06619999999999998,-0.051399999999999994,,45875120,241448,5
20,fedavg,cifar10,10,dirichlet,0.01,2,0,1,3.488292254447937,0.1151,0.0002,0.23,0.44520000000000004,0.08879999999999996,-0.0518,,48289600,241448,5
