round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,10,dirichlet,0.1,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,fedavg,cifar10,10,dirichlet,0.1,1,1,0,2.615671032524109,0.234,0.468,0.0,-0.41600000000000004,0.1484,0.41600000000000004,,2414480,241448,5
2,fedavg,cifar10,10,dirichlet,0.1,1,0,0,4.629529379844666,0.2386,0.4772,0.0,-0.009199999999999986,0.1484,0.4252,,4828960,241448,5
3,fedavg,cifar10,10,dirichlet,0.1,1,0,0,4.33192594499588,0.1896,0.3792,0.0,0.09800000000000003,0.1484,0.3272,,7243440,241448,5
4,fedavg,cifar10,10,dirichlet,0.1,1,0,0,3.2475293659210207,0.2745,0.549,0.0,-0.07180000000000003,0.1484,0.49700000000000005,,9657920,241448,5
5,fedavg,cifar10,10,dirichlet,0.1,1,0,0,4.204047805929184,0.3012,0.6024,0.0,-0.0534,0.1484,0.5504,,12072400,241448,5
6,fedavg,cifar10,10,dirichlet,0.1,1,0,0,5.702774276256561,0.2422,0.4844,0.0,0.11800000000000005,0.1484,0.4324,,14486880,241448,5
7,fedavg,cifar10,10,dirichlet,0.1,1,0,0,5.876432171821595,0.2772,0.5544,0.0,0.04800000000000004,0.1484,0.5024,,16901360,241448,5
8,fedavg,cifar10,10,dirichlet,0.1,1,0,0,5.674476201629639,0.2876,0.5752,0.0,0.027200000000000002,0.1484,0.5232,,19315840,241448,5
9,fedavg,cifar10,10,dirichlet,0.1,1,0,0,6.629336231613159,0.293,0.586,0.0,0.01640000000000008,0.1484,0.5339999999999999,,21730320,241448,5
10,fedavg,cifar10,10,dirichlet,0.1,1,0,1,4.7980586622238155,0.2514,0.5028,0.0,0.09960000000000002,0.1484,0.45080000000000003,,24144800,241448,5
11,fedavg,cifar10,10,dirichlet,0.1,2,1,0,3.726427461051941,0.2395,0.0,0.479,0.6024,-0.3306,-0.052,,26559280,241448,5
12,fedavg,cifar10,10,dirichlet,0.1,2,0,0,6.466268230056762,0.1683,0.0,0.3366,0.6024,0.14239999999999997,-0.052,,28973760,241448,5
13,fedavg,cifar10,10,dirichlet,0.1,2,0,0,4.983399067687988,0.3129,0.0,0.6258,0.6024,-0.14680000000000004,-0.052,,31388240,241448,5
14,fedavg,cifar10,10,dirichlet,0.1,2,0,0,5.300790618467331,0.3986,0.0,0.7972,0.6024,-0.1714,-0.052,,33802720,241448,5
15,fedavg,cifar10,10,dirichlet,0.1,2,0,0,5.779936416006088,0.417,0.0,0.834,0.6024,-0.036799999999999944,-0.052,,36217200,241448,5
16,fedavg,cifar10,10,dirichlet,0.1,2,0,0,4.425278752994537,0.3696,0.0,0.7392,0.6024,0.0948,-0.052,,38631680,241448,5
17,fedavg,cifar10,10,dirichlet,0.1,2,0,0,4.913768840169906,0.3725,0.0,0.745,0.6024,0.08899999999999997,-0.052,,41046160,241448,5
18,fedavg,cifar10,10,dirichlet,0.1,2,0,0,5.594870000267028,0.4084,0.0,0.8168,0.6024,0.017199999999999993,-0.052,,43460640,241448,5
19,fedavg,cifar10,10,dirichlet,0.1,2,0,0,5.825767111253739,0.3848,0.0,0.7696,0.6024,0.06440000000000001,-0.052,,45875120,241448,5
20,fedavg,cifar10,10,dirichlet,0.1,2,0,1,5.101701628398895,0.3628,0.0,0.7256,0.6024,0.10839999999999994,-0.052,,48289600,241448,5
