round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,10,dirichlet,0.5,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,fedavg,cifar10,10,dirichlet,0.5,1,1,0,2.652097487449646,0.3001,0.6002,0.0,-0.5481999999999999,0.1484,0.5481999999999999,,2414480,241448,5
2,fedavg,cifar10,10,dirichlet,0.5,1,0,0,4.187637882614136,0.3504,0.7008,0.0,-0.10060000000000002,0.1484,0.6487999999999999,,4828960,241448,5
3,fedavg,cifar10,10,dirichlet,0.5,1,0,0,4.510738183069229,0.3468,0.6936,0.0,0.007199999999999984,0.1484,0.6416,,7243440,241448,5
4,fedavg,cifar10,10,dirichlet,0.5,1,0,0,4.7245795545578,0.3717,0.7434,0.0,-0.04259999999999997,0.1484,0.6913999999999999,,9657920,241448,5
5,fedavg,cifar10,10,dirichlet,0.5,1,0,0,5.084590652656555,0.3836,0.7672,0.0,-0.023800000000000043,0.1484,0.7152,,12072400,241448,5
6,fedavg,cifar10,10,dirichlet,0.5,1,0,0,5.493817599582672,0.3769,0.7538,0.0,0.013399999999999967,0.1484,0.7018,,14486880,241448,5
7,fedavg,cifar10,10,dirichlet,0.5,1,0,0,5.484062931537628,0.3773,0.7546,0.0,0.012599999999999945,0.1484,0.7026,,16901360,241448,5
8,fedavg,cifar10,10,dirichlet,0.5,1,0,0,5.755515596914291,0.3853,0.7706,0.0,-0.0033999999999999586,0.1484,0.7185999999999999,,19315840,241448,5
9,fedavg,cifar10,10,dirichlet,0.5,1,0,0,6.1479801983833315,0.3935,0.787,0.0,-0.01640000000000008,0.1484,0.735,,21730320,241448,5
10,fedavg,cifar10,10,dirichlet,0.5,1,0,1,6.088287266921997,0.396,0.792,0.0,-0.0050000000000000044,0.1484,0.74,,24144800,241448,5
11,fedavg,cifar10,10,dirichlet,0.5,2,1,0,3.379285775375366,0.2388,0.0002,0.4774,0.7918000000000001,-0.32899999999999996,-0.0518,,26559280,241448,5
12,fedavg,cifar10,10,dirichlet,0.5,2,0,0,6.209579960918426,0.3436,0.0,0.6872,0.792,-0.20980000000000004,-0.052,,28973760,241448,5
13,fedavg,cifar10,10,dirichlet,0.5,2,0,0,5.752502055978775,0.3777,0.0,0.7554,0.792,-0.06819999999999993,-0.052,,31388240,241448,5
14,fedavg,cifar10,10,dirichlet,0.5,2,0,0,5.673378308391571,0.3877,0.0,0.7754,0.792,-0.020000000000000018,-0.052,,33802720,241448,5
15,fedavg,cifar10,10,dirichlet,0.5,2,0,0,5.972519444417953,0.4048,0.0002,0.8094,0.7918000000000001,-0.03400000000000003,-0.0518,,36217200,241448,5
16,fedavg,cifar10,10,dirichlet,0.5,2,0,0,6.235515162920952,0.4197,0.0002,0.8392,0.7918000000000001,-0.029799999999999938,-0.0518,,38631680,241448,5
17,fedavg,cifar10,10,dirichlet,0.5,2,0,0,5.963394163560867,0.3823,0.0002,0.7644,0.7918000000000001,0.07479999999999998,-0.0518,,41046160,241448,5
18,fedavg,cifar10,10,dirichlet,0.5,2,0,0,6.187830242943764,0.4185,0.0002,0.8368,0.7918000000000001,0.0023999999999999577,-0.0518,,43460640,241448,5
19,fedavg,cifar10,10,dirichlet,0.5,2,0,0,6.479813867855072,0.4086,0.0002,0.817,0.7918000000000001,0.022199999999999998,-0.0518,,45875120,241448,5
20,fedavg,cifar10,10,dirichlet,0.5,2,0,1,6.353310586333275,0.4073,0.0,0.8146,0.792,0.024599999999999955,-0.052,,48289600,241448,5
