round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,10,dirichlet,1.0,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,fedavg,cifar10,10,dirichlet,1.0,1,1,0,3.228495995044708,0.2987,0.5974,0.0,-0.5454,0.1484,0.5454,,2414480,241448,5
2,fedavg,cifar10,10,dirichlet,1.0,1,0,0,4.134031288003921,0.3309,0.6618,0.0,-0.06440000000000001,0.1484,0.6098,,4828960,241448,5
3,fedavg,cifar10,10,dirichlet,1.0,1,0,0,4.649478033924103,0.3421,0.6842,0.0,-0.022399999999999975,0.1484,0.6322,,7243440,241448,5
4,fedavg,cifar10,10,dirichlet,1.0,1,0,0,5.143279380679131,0.3268,0.6536,0.0,0.03060000000000007,0.1484,0.6015999999999999,,9657920,241448,5
5,fedavg,cifar10,10,dirichlet,1.0,1,0,0,5.149896320343018,0.3686,0.7372,0.0,-0.052999999999999936,0.1484,0.6851999999999999,,12072400,241448,5
6,fedavg,cifar10,10,dirichlet,1.0,1,0,0,5.763049125623703,0.3694,0.7388,0.0,-0.0016000000000000458,0.1484,0.6868,,14486880,241448,5
7,fedavg,cifar10,10,dirichlet,1.0,1,0,0,5.48458015654087,0.3734,0.7468,0.0,-0.008000000000000007,0.1484,0.6948,,16901360,241448,5
8,fedavg,cifar10,10,dirichlet,1.0,1,0,0,5.729587304115295,0.3888,0.7776,0.0,-0.03079999999999994,0.1484,0.7255999999999999,,19315840,241448,5
9,fedavg,cifar10,10,dirichlet,1.0,1,0,0,5.9209074071407315,0.3852,0.7704,0.0,0.007199999999999984,0.1484,0.7183999999999999,,21730320,241448,5
10,fedavg,cifar10,10,dirichlet,1.0,1,0,1,6.3340828613758084,0.3831,0.7662,0.0,0.011399999999999966,0.1484,0.7142,,24144800,241448,5
11,fedavg,cifar10,10,dirichlet,1.0,2,1,0,2.754770829963684,0.1672,0.0004,0.334,0.7772,-0.18560000000000001,-0.0516,,26559280,241448,5
12,fedavg,cifar10,10,dirichlet,1.0,2,0,0,4.410126539087296,0.3424,0.0,0.6848,0.7776,-0.35079999999999995,-0.052,,28973760,241448,5
13,fedavg,cifar10,10,dirichlet,1.0,2,0,0,4.747835591983796,0.3839,0.0,0.7678,0.7776,-0.08300000000000007,-0.052,,31388240,241448,5
14,fedavg,cifar10,10,dirichlet,1.0,2,0,0,4.8119259850978855,0.3876,0.0002,0.775,0.7774,-0.007199999999999984,-0.0518,,33802720,241448,5
15,fedavg,cifar10,10,dirichlet,1.0,2,0,0,5.068033169984817,0.3967,0.0002,0.7932,0.7774,-0.018199999999999994,-0.0518,,36217200,241448,5
16,fedavg,cifar10,10,dirichlet,1.0,2,0,0,5.105169316387176,0.4113,0.0002,0.8224,0.7774,-0.029200000000000004,-0.0518,,38631680,241448,5
17,fedavg,cifar10,10,dirichlet,1.0,2,0,0,5.124453863239288,0.4185,0.0,0.837,0.7776,-0.014599999999999946,-0.052,,41046160,241448,5
18,fedavg,cifar10,10,dirichlet,1.0,2,0,0,5.416065021657944,0.4188,0.0002,0.8374,0.7774,-0.00040000000000006697,-0.0518,,43460640,241448,5
19,fedavg,cifar10,10,dirichlet,1.0,2,0,0,5.778324246668816,0.4237,0.0,0.8474,0.7776,-0.010000000000000009,-0.052,,45875120,241448,5
20,fedavg,cifar10,10,dirichlet,1.0,2,0,1,5.733354303765297,0.4226,0.0,0.8452,0.7776,0.0022000000000000908,-0.052,,48289600,241448,5
