round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,10,iid,,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,fedavg,cifar10,10,iid,,1,1,0,2.815010735321045,0.328,0.656,0.0,-0.604,0.1484,0.604,,2414480,241448,5
2,fedavg,cifar10,10,iid,,1,0,0,3.7142824359416964,0.3568,0.7136,0.0,-0.057599999999999985,0.1484,0.6616,,4828960,241448,5
3,fedavg,cifar10,10,iid,,1,0,0,4.067589411830902,0.3715,0.743,0.0,-0.02939999999999998,0.1484,0.691,,7243440,241448,5
4,fedavg,cifar10,10,iid,,1,0,0,4.32413035402298,0.3808,0.7616,0.0,-0.01860000000000006,0.1484,0.7096,,9657920,241448,5
5,fedavg,cifar10,10,iid,,1,0,0,4.586164529538155,0.3866,0.7732,0.0,-0.011599999999999944,0.1484,0.7212,,12072400,241448,5
6,fedavg,cifar10,10,iid,,1,0,0,4.916490735578537,0.3859,0.7718,0.0,0.0013999999999999568,0.1484,0.7198,,14486880,241448,5
7,fedavg,cifar10,10,iid,,1,0,0,5.289019155502319,0.3965,0.793,0.0,-0.01980000000000004,0.1484,0.741,,16901360,241448,5
8,fedavg,cifar10,10,iid,,1,0,0,5.162657127809524,0.4014,0.8028,0.0,-0.00979999999999992,0.1484,0.7507999999999999,,19315840,241448,5
9,fedavg,cifar10,10,iid,,1,0,0,5.730969588708877,0.4016,0.8032,0.0,-0.00040000000000006697,0.1484,0.7512,,21730320,241448,5
10,fedavg,cifar10,10,iid,,1,0,1,5.907238404345512,0.3994,0.7988,0.0,0.0044000000000000705,0.1484,0.7467999999999999,,24144800,241448,5
11,fedavg,cifar10,10,iid,,2,1,0,3.2768748323440553,0.2862,0.0002,0.5722,0.803,-0.42380000000000007,-0.0518,,26559280,241448,5
12,fedavg,cifar10,10,iid,,2,0,0,4.904887209510803,0.3717,0.0,0.7434,0.8032,-0.1711999999999999,-0.052,,28973760,241448,5
13,fedavg,cifar10,10,iid,,2,0,0,5.3051916145801545,0.3978,0.0,0.7956,0.8032,-0.052200000000000024,-0.052,,31388240,241448,5
14,fedavg,cifar10,10,iid,,2,0,0,5.673127752923966,0.4076,0.0,0.8152,0.8032,-0.019600000000000062,-0.052,,33802720,241448,5
15,fedavg,cifar10,10,iid,,2,0,0,5.412779163455963,0.4152,0.0,0.8304,0.8032,-0.015199999999999991,-0.052,,36217200,241448,5
16,fedavg,cifar10,10,iid,,2,0,0,5.77705412876606,0.4212,0.0,0.8424,0.8032,-0.01200000000000001,-0.052,,38631680,241448,5
17,fedavg,cifar10,10,iid,,2,0,0,5.748054913759232,0.4258,0.0,0.8516,0.8032,-0.009199999999999986,-0.052,,41046160,241448,5
18,fedavg,cifar10,10,iid,,2,0,0,5.242536939477921,0.4262,0.0,0.8524,0.8032,-0.0008000000000000229,-0.052,,43460640,241448,5
19,fedavg,cifar10,10,iid,,2,0,0,5.4868777384877205,0.4266,0.0,0.8532,0.8032,-0.0007999999999999119,-0.052,,45875120,241448,5
20,fedavg,cifar10,10,iid,,2,0,1,5.844493770098686,0.4324,0.0,0.8648,0.8032,-0.011600000000000055,-0.052,,48289600,241448,5
