round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,50,dirichlet,0.01,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,fedavg,cifar10,50,dirichlet,0.01,1,1,0,3.670226237297058,0.1346,0.2692,0.0,-0.2172,0.1484,0.2172,,12072400,241448,25
2,fedavg,cifar10,50,dirichlet,0.01,1,0,0,6.927301337432861,0.1,0.2,0.0,0.06919999999999998,0.1484,0.14800000000000002,,24144800,241448,25
3,fedavg,cifar10,50,dirichlet,0.01,1,0,0,4.213034512138367,0.1444,0.2888,0.0,-0.019600000000000006,0.1484,0.2368,,36217200,241448,25
4,fedavg,cifar10,50,dirichlet,0.01,1,0,0,3.807841842651367,0.1025,0.205,0.0,0.08380000000000001,0.1484,0.153,,48289600,241448,25
5,fedavg,cifar10,50,dirichlet,0.01,1,0,0,8.846391996765137,0.1,0.2,0.0,0.08879999999999999,0.1484,0.14800000000000002,,60362000,241448,25
6,fedavg,cifar10,50,dirichlet,0.01,1,0,0,14.289523377990722,0.1,0.2,0.0,0.08879999999999999,0.1484,0.14800000000000002,,72434400,241448,25
7,fedavg,cifar10,50,dirichlet,0.01,1,0,0,5.437018673324585,0.1622,0.3244,0.0,-0.03560000000000002,0.1484,0.27240000000000003,,84506800,241448,25
8,fedavg,cifar10,50,dirichlet,0.01,1,0,0,15.232136875915527,0.0962,0.1924,0.0,0.13200000000000003,0.1484,0.1404,,96579200,241448,25
9,fedavg,cifar10,50,dirichlet,0.01,1,0,0,2.7850900762557984,0.1003,0.2006,0.0,0.12380000000000002,0.1484,0.1486,,108651600,241448,25
10,fedavg,cifar10,50,dirichlet,0.01,1,0,1,7.546149735641479,0.0997,0.1994,0.0,0.12500000000000003,0.1484,0.1474,,120724000,241448,25
11,fedavg,cifar10,50,dirichlet,0.01,2,1,0,45.494434494018556,0.1,0.0,0.2,0.3244,-0.05160000000000001,-0.052,,132796400,241448,25
12,fedavg,cifar10,50,dirichlet,0.01,2,0,0,71.4655528717041,0.0737,0.0,0.1474,0.3244,0.05260000000000001,-0.052,,144868800,241448,25
13,fedavg,cifar10,50,dirichlet,0.01,2,0,0,2.4271343978881834,0.1052,0.0,0.2104,0.3244,-0.010399999999999993,-0.052,,156941200,241448,25
14,fedavg,cifar10,50,dirichlet,0.01,2,0,0,39.6445250366211,0.1,0.0,0.2,0.3244,0.010399999999999993,-0.052,,169013600,241448,25
15,fedavg,cifar10,50,dirichlet,0.01,2,0,0,4.99101318473816,0.1761,0.0,0.3522,0.3244,-0.1418,-0.052,,181086000,241448,25
16,fedavg,cifar10,50,dirichlet,0.01,2,0,0,27.915712565612793,0.1044,0.0,0.2088,0.3244,0.1434,-0.052,,193158400,241448,25
17,fedavg,cifar10,50,dirichlet,0.01,2,0,0,7.2322705940246585,0.1507,0.0,0.3014,0.3244,0.05080000000000001,-0.052,,205230800,241448,25
18,fedavg,cifar10,50,dirichlet,0.01,2,0,0,3.785296301651001,0.1502,0.0,0.3004,0.3244,0.05180000000000001,-0.052,,217303200,241448,25
19,fedavg,cifar10,50,dirichlet,0.01,2,0,0,84.25480694580078,0.1,0.0,0.2,0.3244,0.1522,-0.052,,229375600,241448,25
20,fedavg,cifar10,50,dirichlet,0.01,2,0,1,4.143558136940002,0.1179,0.0,0.2358,0.3244,0.1164,-0.052,,241448000,241448,25
