round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,50,dirichlet,0.1,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,fedavg,cifar10,50,dirichlet,0.1,1,1,0,2.4480813621520996,0.1665,0.333,0.0,-0.281,0.1484,0.281,,12072400,241448,25
2,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.208556568145752,0.2573,0.5146,0.0,-0.18159999999999993,0.1484,0.46259999999999996,,24144800,241448,25
3,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.4439055062294006,0.2836,0.5672,0.0,-0.05260000000000009,0.1484,0.5152,,36217200,241448,25
4,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.5479555205345155,0.2677,0.5354,0.0,0.03180000000000005,0.1484,0.4834,,48289600,241448,25
5,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.2724805352210997,0.2601,0.5202,0.0,0.04700000000000004,0.1484,0.4682,,60362000,241448,25
6,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.4233454078674317,0.3073,0.6146,0.0,-0.0474,0.1484,0.5626,,72434400,241448,25
7,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.926884756422043,0.3272,0.6544,0.0,-0.03979999999999995,0.1484,0.6023999999999999,,84506800,241448,25
8,fedavg,cifar10,50,dirichlet,0.1,1,0,0,4.0906232036590575,0.2379,0.4758,0.0,0.17859999999999998,0.1484,0.4238,,96579200,241448,25
9,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.7587997804164885,0.3338,0.6676,0.0,-0.01319999999999999,0.1484,0.6155999999999999,,108651600,241448,25
10,fedavg,cifar10,50,dirichlet,0.1,1,0,1,4.2787842975616455,0.2847,0.5694,0.0,0.09819999999999995,0.1484,0.5174,,120724000,241448,25
11,fedavg,cifar10,50,dirichlet,0.1,2,1,0,2.3622881519317627,0.1786,0.0,0.3572,0.6676,-0.2088,-0.052,,132796400,241448,25
12,fedavg,cifar10,50,dirichlet,0.1,2,0,0,3.2608562825202942,0.2224,0.0,0.4448,0.6676,-0.08759999999999996,-0.052,,144868800,241448,25
13,fedavg,cifar10,50,dirichlet,0.1,2,0,0,3.7370580388069152,0.256,0.0,0.512,0.6676,-0.06720000000000004,-0.052,,156941200,241448,25
14,fedavg,cifar10,50,dirichlet,0.1,2,0,0,3.68257234518528,0.2897,0.0,0.5794,0.6676,-0.06740000000000002,-0.052,,169013600,241448,25
15,fedavg,cifar10,50,dirichlet,0.1,2,0,0,4.549443325090408,0.2983,0.0,0.5966,0.6676,-0.017199999999999993,-0.052,,181086000,241448,25
16,fedavg,cifar10,50,dirichlet,0.1,2,0,0,4.155358299255371,0.2211,0.0,0.4422,0.6676,0.15440000000000004,-0.052,,193158400,241448,25
17,fedavg,cifar10,50,dirichlet,0.1,2,0,0,4.572819778347015,0.3539,0.0,0.7078,0.6676,-0.11119999999999997,-0.052,,205230800,241448,25
18,fedavg,cifar10,50,dirichlet,0.1,2,0,0,4.807842813539505,0.3403,0.0,0.6806,0.6676,0.027200000000000002,-0.052,,217303200,241448,25
19,fedavg,cifar10,50,dirichlet,0.1,2,0,0,4.9545773494720455,0.3306,0.0,0.6612,0.6676,0.046599999999999975,-0.052,,229375600,241448,25
20,fedavg,cifar10,50,dirichlet,0.1,2,0,1,4.603038956618309,0.3622,0.0,0.7244,0.6676,-0.01660000000000006,-0.052,,241448000,241448,25
