round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,50,dirichlet,0.5,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,fedavg,cifar10,50,dirichlet,0.5,1,1,0,2.5354617005348206,0.2625,0.525,0.0,-0.47300000000000003,0.1484,0.47300000000000003,,12072400,241448,25
2,fedavg,cifar10,50,dirichlet,0.5,1,0,0,3.4802370646476746,0.2933,0.5866,0.0,-0.06159999999999999,0.1484,0.5346,,24144800,241448,25
3,fedavg,cifar10,50,dirichlet,0.5,1,0,0,3.9472002387046814,0.3006,0.6012,0.0,-0.014599999999999946,0.1484,0.5491999999999999,,36217200,241448,25
4,fedavg,cifar10,50,dirichlet,0.5,1,0,0,3.743975780963898,0.3298,0.6596,0.0,-0.05840000000000001,0.1484,0.6075999999999999,,48289600,241448,25
5,fedavg,cifar10,50,dirichlet,0.5,1,0,0,3.959708230638504,0.3427,0.6854,0.0,-0.025800000000000045,0.1484,0.6334,,60362000,241448,25
6,fedavg,cifar10,50,dirichlet,0.5,1,0,0,4.260673491954804,0.3443,0.6886,0.0,-0.0031999999999999806,0.1484,0.6365999999999999,,72434400,241448,25
7,fedavg,cifar10,50,dirichlet,0.5,1,0,0,4.303878663444519,0.3449,0.6898,0.0,-0.0011999999999999789,0.1484,0.6377999999999999,,84506800,241448,25
8,fedavg,cifar10,50,dirichlet,0.5,1,0,0,4.335070439004898,0.3517,0.7034,0.0,-0.013600000000000056,0.1484,0.6514,,96579200,241448,25
9,fedavg,cifar10,50,dirichlet,0.5,1,0,0,4.332831282520294,0.3651,0.7302,0.0,-0.026799999999999935,0.1484,0.6781999999999999,,108651600,241448,25
10,fedavg,cifar10,50,dirichlet,0.5,1,0,1,4.463182284069061,0.3419,0.6838,0.0,0.0464,0.1484,0.6317999999999999,,120724000,241448,25
11,fedavg,cifar10,50,dirichlet,0.5,2,1,0,2.5999797384262084,0.1682,0.0,0.3364,0.7302,-0.18799999999999997,-0.052,,132796400,241448,25
12,fedavg,cifar10,50,dirichlet,0.5,2,0,0,4.145749646520614,0.2814,0.0,0.5628,0.7302,-0.2264,-0.052,,144868800,241448,25
13,fedavg,cifar10,50,dirichlet,0.5,2,0,0,4.482234392881393,0.316,0.0,0.632,0.7302,-0.06920000000000004,-0.052,,156941200,241448,25
14,fedavg,cifar10,50,dirichlet,0.5,2,0,0,4.413678190517426,0.3275,0.0,0.655,0.7302,-0.02300000000000002,-0.052,,169013600,241448,25
15,fedavg,cifar10,50,dirichlet,0.5,2,0,0,5.186190989398956,0.3247,0.0,0.6494,0.7302,0.005600000000000049,-0.052,,181086000,241448,25
16,fedavg,cifar10,50,dirichlet,0.5,2,0,0,5.639746975040436,0.3131,0.0,0.6262,0.7302,0.028800000000000048,-0.052,,193158400,241448,25
17,fedavg,cifar10,50,dirichlet,0.5,2,0,0,5.425737492752075,0.3401,0.0,0.6802,0.7302,-0.0252,-0.052,,205230800,241448,25
18,fedavg,cifar10,50,dirichlet,0.5,2,0,0,5.486352413892746,0.3694,0.0,0.7388,0.7302,-0.058599999999999985,-0.052,,217303200,241448,25
19,fedavg,cifar10,50,dirichlet,0.5,2,0,0,5.415550149679184,0.3681,0.0,0.7362,0.7302,0.0026000000000000467,-0.052,,229375600,241448,25
20,fedavg,cifar10,50,dirichlet,0.5,2,0,1,5.859178587627411,0.3502,0.0,0.7004,0.7302,0.03839999999999999,-0.052,,241448000,241448,25
