round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,50,dirichlet,1.0,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,fedavg,cifar10,50,dirichlet,1.0,1,1,0,2.8318698665618895,0.2643,0.5286,0.0,-0.47659999999999997,0.1484,0.47659999999999997,,12072400,241448,25
2,fedavg,cifar10,50,dirichlet,1.0,1,0,0,3.996582948255539,0.2949,0.5898,0.0,-0.06120000000000003,0.1484,0.5378,,24144800,241448,25
3,fedavg,cifar10,50,dirichlet,1.0,1,0,0,4.090411139965058,0.3193,0.6386,0.0,-0.048799999999999955,0.1484,0.5865999999999999,,36217200,241448,25
4,fedavg,cifar10,50,dirichlet,1.0,1,0,0,4.335802674627304,0.316,0.632,0.0,0.006599999999999939,0.1484,0.58,,48289600,241448,25
5,fedavg,cifar10,50,dirichlet,1.0,1,0,0,4.113153040981293,0.3301,0.6602,0.0,-0.021600000000000064,0.1484,0.6082,,60362000,241448,25
6,fedavg,cifar10,50,dirichlet,1.0,1,0,0,4.420260252189636,0.3424,0.6848,0.0,-0.024599999999999955,0.1484,0.6327999999999999,,72434400,241448,25
7,fedavg,cifar10,50,dirichlet,1.0,1,0,0,4.496628038883209,0.3488,0.6976,0.0,-0.012800000000000034,0.1484,0.6456,,84506800,241448,25
8,fedavg,cifar10,50,dirichlet,1.0,1,0,0,4.688039781665802,0.3536,0.7072,0.0,-0.009600000000000053,0.1484,0.6552,,96579200,241448,25
9,fedavg,cifar10,50,dirichlet,1.0,1,0,0,4.66468703546524,0.3598,0.7196,0.0,-0.012399999999999967,0.1484,0.6676,,108651600,241448,25
10,fedavg,cifar10,50,dirichlet,1.0,1,0,1,4.627144956541062,0.3611,0.7222,0.0,-0.0025999999999999357,0.1484,0.6701999999999999,,120724000,241448,25
11,fedavg,cifar10,50,dirichlet,1.0,2,1,0,2.4007503396987917,0.1723,0.0,0.3446,0.7222,-0.1962,-0.052,,132796400,241448,25
12,fedavg,cifar10,50,dirichlet,1.0,2,0,0,3.741731077337265,0.2861,0.0,0.5722,0.7222,-0.22760000000000002,-0.052,,144868800,241448,25
13,fedavg,cifar10,50,dirichlet,1.0,2,0,0,4.639693504142762,0.3348,0.0,0.6696,0.7222,-0.09739999999999993,-0.052,,156941200,241448,25
14,fedavg,cifar10,50,dirichlet,1.0,2,0,0,4.794269276475906,0.3503,0.0,0.7006,0.7222,-0.031000000000000028,-0.052,,169013600,241448,25
15,fedavg,cifar10,50,dirichlet,1.0,2,0,0,4.724729680919647,0.3519,0.0,0.7038,0.7222,-0.0031999999999999806,-0.052,,181086000,241448,25
16,fedavg,cifar10,50,dirichlet,1.0,2,0,0,5.128230280399323,0.3531,0.0,0.7062,0.7222,-0.0024000000000000687,-0.052,,193158400,241448,25
17,fedavg,cifar10,50,dirichlet,1.0,2,0,0,5.14770559182167,0.3585,0.0,0.717,0.7222,-0.01079999999999992,-0.052,,205230800,241448,25
18,fedavg,cifar10,50,dirichlet,1.0,2,0,0,5.255304401302338,0.3767,0.0,0.7534,0.7222,-0.03639999999999999,-0.052,,217303200,241448,25
19,fedavg,cifar10,50,dirichlet,1.0,2,0,0,5.501324073934555,0.3784,0.0,0.7568,0.7222,-0.0034000000000000696,-0.052,,229375600,241448,25
20,fedavg,cifar10,50,dirichlet,1.0,2,0,1,5.4992567153930665,0.3774,0.0,0.7548,0.7222,0.0020000000000000018,-0.052,,241448000,241448,25
