round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,cifar10,50,iid,,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,fedavg,cifar10,50,iid,,1,1,0,3.311105756187439,0.2809,0.5618,0.0,-0.5097999999999999,0.1484,0.5097999999999999,,12072400,241448,25
2,fedavg,cifar10,50,iid,,1,0,0,4.085576703929901,0.313,0.626,0.0,-0.06420000000000003,0.1484,0.574,,24144800,241448,25
3,fedavg,cifar10,50,iid,,1,0,0,4.1691701615810395,0.3258,0.6516,0.0,-0.025599999999999956,0.1484,0.5995999999999999,,36217200,241448,25
4,fedavg,cifar10,50,iid,,1,0,0,4.248376389741898,0.3376,0.6752,0.0,-0.023600000000000065,0.1484,0.6232,,48289600,241448,25
5,fedavg,cifar10,50,iid,,1,0,0,4.365650313568115,0.3459,0.6918,0.0,-0.016599999999999948,0.1484,0.6397999999999999,,60362000,241448,25
6,fedavg,cifar10,50,iid,,1,0,0,4.420053089952469,0.3536,0.7072,0.0,-0.01540000000000008,0.1484,0.6552,,72434400,241448,25
7,fedavg,cifar10,50,iid,,1,0,0,4.479018768310547,0.3582,0.7164,0.0,-0.009199999999999986,0.1484,0.6644,,84506800,241448,25
8,fedavg,cifar10,50,iid,,1,0,0,4.465877296352386,0.3616,0.7232,0.0,-0.006799999999999917,0.1484,0.6711999999999999,,96579200,241448,25
9,fedavg,cifar10,50,iid,,1,0,0,4.6422216835975645,0.3644,0.7288,0.0,-0.005600000000000049,0.1484,0.6768,,108651600,241448,25
10,fedavg,cifar10,50,iid,,1,0,1,4.7159448764324186,0.3687,0.7374,0.0,-0.008600000000000052,0.1484,0.6854,,120724000,241448,25
11,fedavg,cifar10,50,iid,,2,1,0,3.06340940656662,0.2203,0.0,0.4406,0.7374,-0.2922,-0.052,,132796400,241448,25
12,fedavg,cifar10,50,iid,,2,0,0,4.516402204418182,0.2935,0.0,0.587,0.7374,-0.14639999999999997,-0.052,,144868800,241448,25
13,fedavg,cifar10,50,iid,,2,0,0,5.093624303531647,0.3296,0.0,0.6592,0.7374,-0.07220000000000004,-0.052,,156941200,241448,25
14,fedavg,cifar10,50,iid,,2,0,0,4.84853758482933,0.3536,0.0,0.7072,0.7374,-0.04800000000000004,-0.052,,169013600,241448,25
15,fedavg,cifar10,50,iid,,2,0,0,4.901766986179352,0.3654,0.0,0.7308,0.7374,-0.023599999999999954,-0.052,,181086000,241448,25
16,fedavg,cifar10,50,iid,,2,0,0,4.914396289587021,0.3735,0.0,0.747,0.7374,-0.016199999999999992,-0.052,,193158400,241448,25
17,fedavg,cifar10,50,iid,,2,0,0,5.2054994404792785,0.3784,0.0,0.7568,0.7374,-0.009800000000000031,-0.052,,205230800,241448,25
18,fedavg,cifar10,50,iid,,2,0,0,5.447089687538147,0.3832,0.0,0.7664,0.7374,-0.009599999999999942,-0.052,,217303200,241448,25
19,fedavg,cifar10,50,iid,,2,0,0,5.389273825263977,0.3846,0.0,0.7692,0.7374,-0.0028000000000000247,-0.052,,229375600,241448,25
20,fedavg,cifar10,50,iid,,2,0,1,5.397745528507233,0.388,0.0,0.776,0.7374,-0.006800000000000028,-0.052,,241448000,241448,25
