round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,100,dirichlet,0.01,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,fedavg,fmnist,100,dirichlet,0.01,1,1,0,7.664618107795715,0.1,0.2,0.0,-0.19840000000000002,0.1704,0.19840000000000002,,23914400,239144,50
2,fedavg,fmnist,100,dirichlet,0.01,1,0,0,4.547110802078247,0.1,0.2,0.0,0.0,0.1704,0.19840000000000002,,47828800,239144,50
3,fedavg,fmnist,100,dirichlet,0.01,1,0,0,6.722882959747315,0.1,0.2,0.0,0.0,0.1704,0.19840000000000002,,71743200,239144,50
4,fedavg,fmnist,100,dirichlet,0.01,1,0,0,4.562585317611695,0.1691,0.3382,0.0,-0.1382,0.1704,0.3366,,95657600,239144,50
5,fedavg,fmnist,100,dirichlet,0.01,1,0,0,4.554206014633179,0.1,0.2,0.0,0.1382,0.1704,0.19840000000000002,,119572000,239144,50
6,fedavg,fmnist,100,dirichlet,0.01,1,0,0,5.35323723564148,0.1326,0.2652,0.0,0.07300000000000001,0.1704,0.2636,,143486400,239144,50
7,fedavg,fmnist,100,dirichlet,0.01,1,0,0,7.375098508834839,0.1,0.2,0.0,0.1382,0.1704,0.19840000000000002,,167400800,239144,50
8,fedavg,fmnist,100,dirichlet,0.01,1,0,0,2.706945968914032,0.1994,0.3988,0.0,-0.06059999999999999,0.1704,0.3972,,191315200,239144,50
9,fedavg,fmnist,100,dirichlet,0.01,1,0,0,3.421869826412201,0.1897,0.3794,0.0,0.019399999999999973,0.1704,0.3778,,215229600,239144,50
10,fedavg,fmnist,100,dirichlet,0.01,1,0,1,3.335520345878601,0.2843,0.5686,0.0,-0.1698,0.1704,0.567,,239144000,239144,50
11,fedavg,fmnist,100,dirichlet,0.01,2,1,0,4.261406866455078,0.2306,0.0,0.4612,0.5686,-0.2908,-0.0016,,263058400,239144,50
12,fedavg,fmnist,100,dirichlet,0.01,2,0,0,11.673262006378174,0.1,0.0,0.2,0.5686,0.2612,-0.0016,,286972800,239144,50
13,fedavg,fmnist,100,dirichlet,0.01,2,0,0,3.0299812361717224,0.283,0.0,0.566,0.5686,-0.10479999999999995,-0.0016,,310887200,239144,50
14,fedavg,fmnist,100,dirichlet,0.01,2,0,0,5.056004472970963,0.352,0.0,0.704,0.5686,-0.138,-0.0016,,334801600,239144,50
15,fedavg,fmnist,100,dirichlet,0.01,2,0,0,8.391179344558715,0.2542,0.0,0.5084,0.5686,0.1956,-0.0016,,358716000,239144,50
16,fedavg,fmnist,100,dirichlet,0.01,2,0,0,5.493603730583191,0.3624,0.0,0.7248,0.5686,-0.02080000000000004,-0.0016,,382630400,239144,50
17,fedavg,fmnist,100,dirichlet,0.01,2,0,0,3.6158013078927995,0.3751,0.0002,0.75,0.5684,-0.0252,-0.0014,,406544800,239144,50
18,fedavg,fmnist,100,dirichlet,0.01,2,0,0,5.449502027320862,0.4191,0.0,0.8382,0.5686,-0.08819999999999995,-0.0016,,430459200,239144,50
19,fedavg,fmnist,100,dirichlet,0.01,2,0,0,5.837184798192978,0.3685,0.001,0.736,0.5676,0.10219999999999996,-0.0006000000000000001,,454373600,239144,50
20,fedavg,fmnist,100,dirichlet,0.01,2,0,1,7.643081075286865,0.3109,0.0,0.6218,0.5686,0.21639999999999993,-0.0016,,478288000,239144,50
