round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,100,dirichlet,0.1,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,fedavg,fmnist,100,dirichlet,0.1,1,1,0,2.7311886850357054,0.2302,0.4604,0.0,-0.4588,0.1704,0.4588,,23914400,239144,50
2,fedavg,fmnist,100,dirichlet,0.1,1,0,0,3.1141532013177873,0.3285,0.657,0.0,-0.19660000000000005,0.1704,0.6554,,47828800,239144,50
3,fedavg,fmnist,100,dirichlet,0.1,1,0,0,3.927029454088211,0.3431,0.6862,0.0,-0.029200000000000004,0.1704,0.6846,,71743200,239144,50
4,fedavg,fmnist,100,dirichlet,0.1,1,0,0,3.957853592967987,0.3246,0.6492,0.0,0.03700000000000003,0.1704,0.6476,,95657600,239144,50
5,fedavg,fmnist,100,dirichlet,0.1,1,0,0,3.552551150035858,0.3488,0.6976,0.0,-0.011399999999999966,0.1704,0.696,,119572000,239144,50
6,fedavg,fmnist,100,dirichlet,0.1,1,0,0,3.240292818903923,0.412,0.824,0.0,-0.12639999999999996,0.1704,0.8223999999999999,,143486400,239144,50
7,fedavg,fmnist,100,dirichlet,0.1,1,0,0,3.7178024009227753,0.4033,0.8066,0.0,0.01739999999999997,0.1704,0.8049999999999999,,167400800,239144,50
8,fedavg,fmnist,100,dirichlet,0.1,1,0,0,3.9436140077590944,0.4037,0.8074,0.0,0.016599999999999948,0.1704,0.8058,,191315200,239144,50
9,fedavg,fmnist,100,dirichlet,0.1,1,0,0,4.221859925556183,0.3627,0.7254,0.0,0.09859999999999991,0.1704,0.7238,,215229600,239144,50
10,fedavg,fmnist,100,dirichlet,0.1,1,0,1,4.064606833553314,0.3453,0.6906,0.0,0.13339999999999996,0.1704,0.689,,239144000,239144,50
11,fedavg,fmnist,100,dirichlet,0.1,2,1,0,2.5310626198768618,0.3579,0.0,0.7158,0.824,-0.5454,-0.0016,,263058400,239144,50
12,fedavg,fmnist,100,dirichlet,0.1,2,0,0,3.661397603750229,0.3517,0.0,0.7034,0.824,0.012399999999999967,-0.0016,,286972800,239144,50
13,fedavg,fmnist,100,dirichlet,0.1,2,0,0,3.8545108051300048,0.3632,0.0,0.7264,0.824,-0.010600000000000054,-0.0016,,310887200,239144,50
14,fedavg,fmnist,100,dirichlet,0.1,2,0,0,3.4254690125703813,0.3598,0.0,0.7196,0.824,0.006800000000000028,-0.0016,,334801600,239144,50
15,fedavg,fmnist,100,dirichlet,0.1,2,0,0,3.18716890335083,0.4081,0.0,0.8162,0.824,-0.08979999999999999,-0.0016,,358716000,239144,50
16,fedavg,fmnist,100,dirichlet,0.1,2,0,0,4.932852211761475,0.4412,0.0,0.8824,0.824,-0.06619999999999993,-0.0016,,382630400,239144,50
17,fedavg,fmnist,100,dirichlet,0.1,2,0,0,6.000866314524412,0.4483,0.0,0.8966,0.824,-0.01419999999999999,-0.0016,,406544800,239144,50
18,fedavg,fmnist,100,dirichlet,0.1,2,0,0,5.1345171136975285,0.4625,0.0,0.925,0.824,-0.028400000000000092,-0.0016,,430459200,239144,50
19,fedavg,fmnist,100,dirichlet,0.1,2,0,0,6.345397455847263,0.464,0.0,0.928,0.824,-0.0030000000000000027,-0.0016,,454373600,239144,50
20,fedavg,fmnist,100,dirichlet,0.1,2,0,1,6.014473647415638,0.4672,0.0,0.9344,0.824,-0.006399999999999961,-0.0016,,478288000,239144,50
