round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,100,dirichlet,0.5,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,fedavg,fmnist,100,dirichlet,0.5,1,1,0,3.19126024184227,0.406,0.812,0.0,-0.8104,0.1704,0.8104,,23914400,239144,50
2,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.196964613199234,0.4196,0.8392,0.0,-0.02719999999999989,0.1704,0.8375999999999999,,47828800,239144,50
3,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.536649079430103,0.436,0.872,0.0,-0.03280000000000005,0.1704,0.8704,,71743200,239144,50
4,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.495248429846764,0.4377,0.8754,0.0,-0.0033999999999999586,0.1704,0.8737999999999999,,95657600,239144,50
5,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.20086588023901,0.4388,0.8776,0.0,-0.0022000000000000908,0.1704,0.876,,119572000,239144,50
6,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.571768752002716,0.4444,0.8888,0.0,-0.011199999999999988,0.1704,0.8872,,143486400,239144,50
7,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.778833640861511,0.4483,0.8966,0.0,-0.007799999999999918,0.1704,0.8949999999999999,,167400800,239144,50
8,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.56391830060482,0.4444,0.8888,0.0,0.007799999999999918,0.1704,0.8872,,191315200,239144,50
9,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.548310013818741,0.4482,0.8964,0.0,0.00019999999999997797,0.1704,0.8947999999999999,,215229600,239144,50
10,fedavg,fmnist,100,dirichlet,0.5,1,0,1,4.765530629992485,0.4518,0.9036,0.0,-0.007000000000000006,0.1704,0.9019999999999999,,239144000,239144,50
11,fedavg,fmnist,100,dirichlet,0.5,2,1,0,5.1225227231502535,0.4523,0.0,0.9046,0.9036,-0.7342,-0.0016,,263058400,239144,50
12,fedavg,fmnist,100,dirichlet,0.5,2,0,0,7.692803988599778,0.4637,0.0,0.9274,0.9036,-0.022800000000000042,-0.0016,,286972800,239144,50
13,fedavg,fmnist,100,dirichlet,0.5,2,0,0,8.693850317505001,0.4706,0.0,0.9412,0.9036,-0.013800000000000034,-0.0016,,310887200,239144,50
14,fedavg,fmnist,100,dirichlet,0.5,2,0,0,8.625629518315195,0.4715,0.0,0.943,0.9036,-0.0017999999999999128,-0.0016,,334801600,239144,50
15,fedavg,fmnist,100,dirichlet,0.5,2,0,0,9.41130638000071,0.4707,0.0,0.9414,0.9036,0.0015999999999999348,-0.0016,,358716000,239144,50
16,fedavg,fmnist,100,dirichlet,0.5,2,0,0,9.45420004164651,0.4712,0.0,0.9424,0.9036,0.0005999999999999339,-0.0016,,382630400,239144,50
17,fedavg,fmnist,100,dirichlet,0.5,2,0,0,9.990026383446157,0.4745,0.0,0.949,0.9036,-0.006000000000000005,-0.0016,,406544800,239144,50
18,fedavg,fmnist,100,dirichlet,0.5,2,0,0,9.998415176714957,0.4769,0.0,0.9538,0.9036,-0.0048000000000000265,-0.0016,,430459200,239144,50
19,fedavg,fmnist,100,dirichlet,0.5,2,0,0,10.080675268018245,0.4779,0.0,0.9558,0.9036,-0.0020000000000000018,-0.0016,,454373600,239144,50
20,fedavg,fmnist,100,dirichlet,0.5,2,0,1,10.117288074854017,0.4789,0.0,0.9578,0.9036,-0.0020000000000000018,-0.0016,,478288000,239144,50
