round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,100,dirichlet,1.0,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,fedavg,fmnist,100,dirichlet,1.0,1,1,0,3.7267536108493804,0.4008,0.8016,0.0,-0.7999999999999999,0.1704,0.7999999999999999,,23914400,239144,50
2,fedavg,fmnist,100,dirichlet,1.0,1,0,0,4.906531854319573,0.4257,0.8514,0.0,-0.049800000000000066,0.1704,0.8498,,47828800,239144,50
3,fedavg,fmnist,100,dirichlet,1.0,1,0,0,4.926466902601719,0.4352,0.8704,0.0,-0.018999999999999906,0.1704,0.8687999999999999,,71743200,239144,50
4,fedavg,fmnist,100,dirichlet,1.0,1,0,0,4.717974734508991,0.4363,0.8726,0.0,-0.0022000000000000908,0.1704,0.871,,95657600,239144,50
5,fedavg,fmnist,100,dirichlet,1.0,1,0,0,4.8762783675313,0.4417,0.8834,0.0,-0.01079999999999992,0.1704,0.8817999999999999,,119572000,239144,50
6,fedavg,fmnist,100,dirichlet,1.0,1,0,0,4.80542714523077,0.4445,0.889,0.0,-0.005600000000000049,0.1704,0.8874,,143486400,239144,50
7,fedavg,fmnist,100,dirichlet,1.0,1,0,0,5.019865632295608,0.4434,0.8868,0.0,0.0021999999999999797,0.1704,0.8852,,167400800,239144,50
8,fedavg,fmnist,100,dirichlet,1.0,1,0,0,4.846955377912521,0.4473,0.8946,0.0,-0.005599999999999938,0.1704,0.8929999999999999,,191315200,239144,50
9,fedavg,fmnist,100,dirichlet,1.0,1,0,0,4.857563953554631,0.4489,0.8978,0.0,-0.0032000000000000917,0.1704,0.8962,,215229600,239144,50
10,fedavg,fmnist,100,dirichlet,1.0,1,0,1,4.972270425450802,0.4488,0.8976,0.0,0.000200000000000089,0.1704,0.8959999999999999,,239144000,239144,50
11,fedavg,fmnist,100,dirichlet,1.0,2,1,0,6.15554057943821,0.4565,0.0,0.913,0.8978,-0.7426,-0.0016,,263058400,239144,50
12,fedavg,fmnist,100,dirichlet,1.0,2,0,0,8.636444748979807,0.4659,0.0,0.9318,0.8978,-0.018799999999999928,-0.0016,,286972800,239144,50
13,fedavg,fmnist,100,dirichlet,1.0,2,0,0,9.082786288040877,0.4704,0.0,0.9408,0.8978,-0.009000000000000008,-0.0016,,310887200,239144,50
14,fedavg,fmnist,100,dirichlet,1.0,2,0,0,9.966824800249935,0.4741,0.0,0.9482,0.8978,-0.007400000000000073,-0.0016,,334801600,239144,50
15,fedavg,fmnist,100,dirichlet,1.0,2,0,0,10.371911334761977,0.4757,0.0,0.9514,0.8978,-0.0031999999999999806,-0.0016,,358716000,239144,50
16,fedavg,fmnist,100,dirichlet,1.0,2,0,0,10.492085749038308,0.4774,0.0,0.9548,0.8978,-0.0033999999999999586,-0.0016,,382630400,239144,50
17,fedavg,fmnist,100,dirichlet,1.0,2,0,0,10.482186751308292,0.478,0.0,0.956,0.8978,-0.0011999999999999789,-0.0016,,406544800,239144,50
18,fedavg,fmnist,100,dirichlet,1.0,2,0,0,10.575441618835926,0.4772,0.0,0.9544,0.8978,0.0015999999999999348,-0.0016,,430459200,239144,50
19,fedavg,fmnist,100,dirichlet,1.0,2,0,0,10.908924732064456,0.4793,0.0,0.9586,0.8978,-0.0026000000000000467,-0.0016,,454373600,239144,50
20,fedavg,fmnist,100,dirichlet,1.0,2,0,1,10.834759339049459,0.4797,0.0,0.9594,0.8978,-0.0008000000000000229,-0.0016,,478288000,239144,50
