round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,100,iid,,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,fedavg,fmnist,100,iid,,1,1,0,4.130678828525543,0.4125,0.825,0.0,-0.8233999999999999,0.1704,0.8233999999999999,,23914400,239144,50
2,fedavg,fmnist,100,iid,,1,0,0,5.220561972141266,0.4295,0.859,0.0,-0.03400000000000003,0.1704,0.8573999999999999,,47828800,239144,50
3,fedavg,fmnist,100,iid,,1,0,0,5.246060890221596,0.4358,0.8716,0.0,-0.012600000000000056,0.1704,0.87,,71743200,239144,50
4,fedavg,fmnist,100,iid,,1,0,0,5.440390946149826,0.4424,0.8848,0.0,-0.01319999999999999,0.1704,0.8832,,95657600,239144,50
5,fedavg,fmnist,100,iid,,1,0,0,5.351149745512009,0.4435,0.887,0.0,-0.0021999999999999797,0.1704,0.8854,,119572000,239144,50
6,fedavg,fmnist,100,iid,,1,0,0,5.389084690618515,0.4453,0.8906,0.0,-0.0035999999999999366,0.1704,0.8889999999999999,,143486400,239144,50
7,fedavg,fmnist,100,iid,,1,0,0,5.3216251482844354,0.4474,0.8948,0.0,-0.0042000000000000925,0.1704,0.8932,,167400800,239144,50
8,fedavg,fmnist,100,iid,,1,0,0,5.3067656717896465,0.4478,0.8956,0.0,-0.0007999999999999119,0.1704,0.8939999999999999,,191315200,239144,50
9,fedavg,fmnist,100,iid,,1,0,0,5.3349824447155,0.448,0.896,0.0,-0.00040000000000006697,0.1704,0.8944,,215229600,239144,50
10,fedavg,fmnist,100,iid,,1,0,1,5.449354466879368,0.4507,0.9014,0.0,-0.00539999999999996,0.1704,0.8997999999999999,,239144000,239144,50
11,fedavg,fmnist,100,iid,,2,1,0,7.263598195004463,0.4598,0.0,0.9196,0.9014,-0.7492,-0.0016,,263058400,239144,50
12,fedavg,fmnist,100,iid,,2,0,0,9.98028872308433,0.4691,0.0,0.9382,0.9014,-0.01860000000000006,-0.0016,,286972800,239144,50
13,fedavg,fmnist,100,iid,,2,0,0,10.89161096214652,0.4723,0.0,0.9446,0.9014,-0.006399999999999961,-0.0016,,310887200,239144,50
14,fedavg,fmnist,100,iid,,2,0,0,10.953494359125196,0.4747,0.0,0.9494,0.9014,-0.0048000000000000265,-0.0016,,334801600,239144,50
15,fedavg,fmnist,100,iid,,2,0,0,11.190982105023414,0.4756,0.0,0.9512,0.9014,-0.0018000000000000238,-0.0016,,358716000,239144,50
16,fedavg,fmnist,100,iid,,2,0,0,11.590404771644621,0.4764,0.0,0.9528,0.9014,-0.0015999999999999348,-0.0016,,382630400,239144,50
17,fedavg,fmnist,100,iid,,2,0,0,11.853702872796356,0.4777,0.0,0.9554,0.9014,-0.0026000000000000467,-0.0016,,406544800,239144,50
18,fedavg,fmnist,100,iid,,2,0,0,11.820523895255103,0.4786,0.0,0.9572,0.9014,-0.0018000000000000238,-0.0016,,430459200,239144,50
19,fedavg,fmnist,100,iid,,2,0,0,12.15189612953104,0.4787,0.0,0.9574,0.9014,-0.00019999999999997797,-0.0016,,454373600,239144,50
20,fedavg,fmnist,100,iid,,2,0,1,12.4354434096694,0.48,0.0,0.96,0.9014,-0.0025999999999999357,-0.0016,,478288000,239144,50
