round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,10,dirichlet,0.01,1,0,0,2.307142052459717,0.0861,0.0016,0.1706,0.0,0.0,,,0,239144,5
1,fedavg,fmnist,10,dirichlet,0.01,1,1,0,10.792994926452637,0.1,0.2,0.0,-0.19840000000000002,0.1706,0.19840000000000002,,2391440,239144,5
2,fedavg,fmnist,10,dirichlet,0.01,1,0,0,2.7762080766677855,0.2668,0.5336,0.0,-0.33359999999999995,0.1706,0.5319999999999999,,4782880,239144,5
3,fedavg,fmnist,10,dirichlet,0.01,1,0,0,10.457337269973754,0.1989,0.3978,0.0,0.13579999999999998,0.1706,0.3962,,7174320,239144,5
4,fedavg,fmnist,10,dirichlet,0.01,1,0,0,2.98419178981781,0.1948,0.3896,0.0,0.14399999999999996,0.1706,0.388,,9565760,239144,5
5,fedavg,fmnist,10,dirichlet,0.01,1,0,0,5.179965410995483,0.1993,0.3986,0.0,0.13499999999999995,0.1706,0.397,,11957200,239144,5
6,fedavg,fmnist,10,dirichlet,0.01,1,0,0,8.364578964233399,0.2238,0.4476,0.0,0.08599999999999997,0.1706,0.446,,14348640,239144,5
7,fedavg,fmnist,10,dirichlet,0.01,1,0,0,6.731225032424927,0.199,0.398,0.0,0.13559999999999994,0.1706,0.39640000000000003,,16740080,239144,5
8,fedavg,fmnist,10,dirichlet,0.01,1,0,0,2.8925807210922243,0.2567,0.5134,0.0,0.020199999999999996,0.1706,0.5117999999999999,,19131520,239144,5
9,fedavg,fmnist,10,dirichlet,0.01,1,0,0,3.0314054442882536,0.2528,0.5056,0.0,0.027999999999999914,0.1706,0.504,,21522960,239144,5
10,fedavg,fmnist,10,dirichlet,0.01,1,0,1,4.299137748908997,0.2994,0.5988,0.0,-0.06520000000000004,0.1706,0.5972,,23914400,239144,5
11,fedavg,fmnist,10,dirichlet,0.01,2,1,0,16.21567631225586,0.2,0.0,0.4,0.5988,-0.22940000000000002,-0.0016,,26305840,239144,5
12,fedavg,fmnist,10,dirichlet,0.01,2,0,0,38.986122662353516,0.1898,0.0,0.3796,0.5988,0.02040000000000003,-0.0016,,28697280,239144,5
13,fedavg,fmnist,10,dirichlet,0.01,2,0,0,7.379419866943359,0.1996,0.0,0.3992,0.5988,0.0008000000000000229,-0.0016,,31088720,239144,5
14,fedavg,fmnist,10,dirichlet,0.01,2,0,0,126.538952734375,0.1004,0.0,0.2008,0.5988,0.19920000000000002,-0.0016,,33480160,239144,5
15,fedavg,fmnist,10,dirichlet,0.01,2,0,0,13.85569049911499,0.1,0.0,0.2,0.5988,0.2,-0.0016,,35871600,239144,5
16,fedavg,fmnist,10,dirichlet,0.01,2,0,0,10.951450090026855,0.2048,0.0042,0.4054,0.5946,-0.00539999999999996,0.0026,,38263040,239144,5
17,fedavg,fmnist,10,dirichlet,0.01,2,0,0,18.508404040527342,0.1001,0.0,0.2002,0.5988,0.2052,-0.0016,,40654480,239144,5
18,fedavg,fmnist,10,dirichlet,0.01,2,0,0,36.329253604125974,0.1,0.0,0.2,0.5988,0.20539999999999997,-0.0016,,43045920,239144,5
19,fedavg,fmnist,10,dirichlet,0.01,2,0,0,6.594631174850464,0.2137,0.0076,0.4198,0.5912,-0.014400000000000024,0.006,,45437360,239144,5
20,fedavg,fmnist,10,dirichlet,0.01,2,0,1,22.714002549743654,0.2012,0.0,0.4024,0.5988,0.017400000000000027,-0.0016,,47828800,239144,5
