round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,10,dirichlet,0.1,1,0,0,2.307142052459717,0.0861,0.0016,0.1706,0.0,0.0,,,0,239144,5
1,fedavg,fmnist,10,dirichlet,0.1,1,1,0,2.824792862510681,0.2632,0.5264,0.0,-0.5247999999999999,0.1706,0.5247999999999999,,2391440,239144,5
2,fedavg,fmnist,10,dirichlet,0.1,1,0,0,3.6181221673965456,0.3784,0.7568,0.0,-0.23040000000000005,0.1706,0.7552,,4782880,239144,5
3,fedavg,fmnist,10,dirichlet,0.1,1,0,0,5.970774783611297,0.2825,0.565,0.0,0.19180000000000008,0.1706,0.5633999999999999,,7174320,239144,5
4,fedavg,fmnist,10,dirichlet,0.1,1,0,0,3.574505722904205,0.2863,0.5726,0.0,0.18420000000000003,0.1706,0.571,,9565760,239144,5
5,fedavg,fmnist,10,dirichlet,0.1,1,0,0,3.332241227388382,0.3457,0.6914,0.0,0.06540000000000001,0.1706,0.6898,,11957200,239144,5
6,fedavg,fmnist,10,dirichlet,0.1,1,0,0,4.50671828751564,0.3687,0.7374,0.0,0.019399999999999973,0.1706,0.7358,,14348640,239144,5
7,fedavg,fmnist,10,dirichlet,0.1,1,0,0,4.146953425431252,0.4173,0.8346,0.0,-0.07779999999999998,0.1706,0.833,,16740080,239144,5
8,fedavg,fmnist,10,dirichlet,0.1,1,0,0,4.715319277429581,0.3851,0.7702,0.0,0.06440000000000001,0.1706,0.7686,,19131520,239144,5
9,fedavg,fmnist,10,dirichlet,0.1,1,0,0,4.141149217224121,0.4092,0.8184,0.0,0.016199999999999992,0.1706,0.8168,,21522960,239144,5
10,fedavg,fmnist,10,dirichlet,0.1,1,0,1,5.725122249317169,0.365,0.73,0.0,0.10460000000000003,0.1706,0.7283999999999999,,23914400,239144,5
11,fedavg,fmnist,10,dirichlet,0.1,2,1,0,2.934591783118248,0.4293,0.0,0.8586,0.8346,-0.6880000000000001,-0.0016,,26305840,239144,5
12,fedavg,fmnist,10,dirichlet,0.1,2,0,0,4.647413215351104,0.4191,0.0,0.8382,0.8346,0.020400000000000085,-0.0016,,28697280,239144,5
13,fedavg,fmnist,10,dirichlet,0.1,2,0,0,8.680501529920102,0.4533,0.0,0.9066,0.8346,-0.04799999999999993,-0.0016,,31088720,239144,5
14,fedavg,fmnist,10,dirichlet,0.1,2,0,0,7.011497025746107,0.4772,0.0,0.9544,0.8346,-0.047800000000000065,-0.0016,,33480160,239144,5
15,fedavg,fmnist,10,dirichlet,0.1,2,0,0,10.309742463523149,0.4642,0.0,0.9284,0.8346,0.026000000000000023,-0.0016,,35871600,239144,5
16,fedavg,fmnist,10,dirichlet,0.1,2,0,0,9.344071302555873,0.4781,0.0,0.9562,0.8346,-0.0018000000000000238,-0.0016,,38263040,239144,5
17,fedavg,fmnist,10,dirichlet,0.1,2,0,0,7.047012718683481,0.4653,0.0,0.9306,0.8346,0.025600000000000067,-0.0016,,40654480,239144,5
18,fedavg,fmnist,10,dirichlet,0.1,2,0,0,10.681404248152674,0.4776,0.0,0.9552,0.8346,0.0010000000000000009,-0.0016,,43045920,239144,5
19,fedavg,fmnist,10,dirichlet,0.1,2,0,0,11.94069839097932,0.4798,0.0,0.9596,0.8346,-0.0033999999999999586,-0.0016,,45437360,239144,5
20,fedavg,fmnist,10,dirichlet,0.1,2,0,1,9.586075625130535,0.4759,0.0,0.9518,0.8346,0.007800000000000029,-0.0016,,47828800,239144,5
