round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,10,dirichlet,0.5,1,0,0,2.307142052459717,0.0861,0.0016,0.1706,0.0,0.0,,,0,239144,5
1,fedavg,fmnist,10,dirichlet,0.5,1,1,0,3.356341486418247,0.4474,0.8948,0.0,-0.8932,0.1706,0.8932,,2391440,239144,5
2,fedavg,fmnist,10,dirichlet,0.5,1,0,0,4.72691894774437,0.4569,0.9138,0.0,-0.018999999999999906,0.1706,0.9121999999999999,,4782880,239144,5
3,fedavg,fmnist,10,dirichlet,0.5,1,0,0,4.945176085466146,0.4558,0.9116,0.0,0.0021999999999999797,0.1706,0.9099999999999999,,7174320,239144,5
4,fedavg,fmnist,10,dirichlet,0.5,1,0,0,4.4818772670328615,0.4562,0.9124,0.0,0.0013999999999999568,0.1706,0.9107999999999999,,9565760,239144,5
5,fedavg,fmnist,10,dirichlet,0.5,1,0,0,5.457162055110931,0.4627,0.9254,0.0,-0.011600000000000055,0.1706,0.9238,,11957200,239144,5
6,fedavg,fmnist,10,dirichlet,0.5,1,0,0,5.844064312078059,0.4575,0.915,0.0,0.010399999999999965,0.1706,0.9134,,14348640,239144,5
7,fedavg,fmnist,10,dirichlet,0.5,1,0,0,5.667402934782207,0.4641,0.9282,0.0,-0.0028000000000000247,0.1706,0.9266,,16740080,239144,5
8,fedavg,fmnist,10,dirichlet,0.5,1,0,0,5.637372888019681,0.4659,0.9318,0.0,-0.0035999999999999366,0.1706,0.9301999999999999,,19131520,239144,5
9,fedavg,fmnist,10,dirichlet,0.5,1,0,0,6.110410174844041,0.4605,0.921,0.0,0.01079999999999992,0.1706,0.9194,,21522960,239144,5
10,fedavg,fmnist,10,dirichlet,0.5,1,0,1,6.198938322658837,0.4653,0.9306,0.0,0.0011999999999999789,0.1706,0.9289999999999999,,23914400,239144,5
11,fedavg,fmnist,10,dirichlet,0.5,2,1,0,4.483557684111595,0.4733,0.0,0.9466,0.9318,-0.776,-0.0016,,26305840,239144,5
12,fedavg,fmnist,10,dirichlet,0.5,2,0,0,8.849291608769446,0.4758,0.0,0.9516,0.9318,-0.0050000000000000044,-0.0016,,28697280,239144,5
13,fedavg,fmnist,10,dirichlet,0.5,2,0,0,9.02791737427786,0.4846,0.0,0.9692,0.9318,-0.01759999999999995,-0.0016,,31088720,239144,5
14,fedavg,fmnist,10,dirichlet,0.5,2,0,0,8.555866219689698,0.4832,0.0,0.9664,0.9318,0.0027999999999999137,-0.0016,,33480160,239144,5
15,fedavg,fmnist,10,dirichlet,0.5,2,0,0,10.945480101675912,0.485,0.0,0.97,0.9318,-0.0008000000000000229,-0.0016,,35871600,239144,5
16,fedavg,fmnist,10,dirichlet,0.5,2,0,0,10.50742966417782,0.4859,0.0,0.9718,0.9318,-0.0018000000000000238,-0.0016,,38263040,239144,5
17,fedavg,fmnist,10,dirichlet,0.5,2,0,0,9.912830054899212,0.4865,0.0,0.973,0.9318,-0.0011999999999999789,-0.0016,,40654480,239144,5
18,fedavg,fmnist,10,dirichlet,0.5,2,0,0,12.13116207132442,0.4851,0.0,0.9702,0.9318,0.0028000000000000247,-0.0016,,43045920,239144,5
19,fedavg,fmnist,10,dirichlet,0.5,2,0,0,12.601035757978448,0.4858,0.0,0.9716,0.9318,0.0013999999999999568,-0.0016,,45437360,239144,5
20,fedavg,fmnist,10,dirichlet,0.5,2,0,1,10.786658099546097,0.486,0.0,0.972,0.9318,0.0010000000000000009,-0.0016,,47828800,239144,5
