round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,10,dirichlet,1.0,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,5
1,fedavg,fmnist,10,dirichlet,1.0,1,1,0,3.7312020171284677,0.4444,0.8888,0.0,-0.8872,0.1704,0.8872,,2391440,239144,5
2,fedavg,fmnist,10,dirichlet,1.0,1,0,0,4.795234807813167,0.4521,0.9042,0.0,-0.01539999999999997,0.1704,0.9026,,4782880,239144,5
3,fedavg,fmnist,10,dirichlet,1.0,1,0,0,4.8620381351888176,0.455,0.91,0.0,-0.005800000000000027,0.1704,0.9084,,7174320,239144,5
4,fedavg,fmnist,10,dirichlet,1.0,1,0,0,5.1972316147178415,0.4596,0.9192,0.0,-0.009199999999999986,0.1704,0.9176,,9565760,239144,5
5,fedavg,fmnist,10,dirichlet,1.0,1,0,0,5.0103008635431525,0.4556,0.9112,0.0,0.008000000000000007,0.1704,0.9096,,11957200,239144,5
6,fedavg,fmnist,10,dirichlet,1.0,1,0,0,5.501183977806568,0.4615,0.923,0.0,-0.0038000000000000256,0.1704,0.9214,,14348640,239144,5
7,fedavg,fmnist,10,dirichlet,1.0,1,0,0,5.1394962552279235,0.4579,0.9158,0.0,0.007200000000000095,0.1704,0.9141999999999999,,16740080,239144,5
8,fedavg,fmnist,10,dirichlet,1.0,1,0,0,6.016902364635468,0.4649,0.9298,0.0,-0.006799999999999917,0.1704,0.9281999999999999,,19131520,239144,5
9,fedavg,fmnist,10,dirichlet,1.0,1,0,0,6.401350305408239,0.4646,0.9292,0.0,0.0005999999999999339,0.1704,0.9276,,21522960,239144,5
10,fedavg,fmnist,10,dirichlet,1.0,1,0,1,5.791681676349044,0.4594,0.9188,0.0,0.01100000000000001,0.1704,0.9171999999999999,,23914400,239144,5
11,fedavg,fmnist,10,dirichlet,1.0,2,1,0,5.781880713951588,0.4809,0.0,0.9618,0.9298,-0.7914,-0.0016,,26305840,239144,5
12,fedavg,fmnist,10,dirichlet,1.0,2,0,0,8.577195474593342,0.4831,0.0,0.9662,0.9298,-0.0043999999999999595,-0.0016,,28697280,239144,5
13,fedavg,fmnist,10,dirichlet,1.0,2,0,0,8.788311799489334,0.4831,0.0,0.9662,0.9298,0.0,-0.0016,,31088720,239144,5
14,fedavg,fmnist,10,dirichlet,1.0,2,0,0,9.818888901536166,0.4855,0.0,0.971,0.9298,-0.0048000000000000265,-0.0016,,33480160,239144,5
15,fedavg,fmnist,10,dirichlet,1.0,2,0,0,10.448642086486146,0.4861,0.0,0.9722,0.9298,-0.0011999999999999789,-0.0016,,35871600,239144,5
16,fedavg,fmnist,10,dirichlet,1.0,2,0,0,11.098312785498612,0.4878,0.0,0.9756,0.9298,-0.0034000000000000696,-0.0016,,38263040,239144,5
17,fedavg,fmnist,10,dirichlet,1.0,2,0,0,11.09318227804629,0.4868,0.0,0.9736,0.9298,0.0020000000000000018,-0.0016,,40654480,239144,5
18,fedavg,fmnist,10,dirichlet,1.0,2,0,0,12.140518863826804,0.4877,0.0,0.9754,0.9298,0.00019999999999997797,-0.0016,,43045920,239144,5
19,fedavg,fmnist,10,dirichlet,1.0,2,0,0,12.136486024100705,0.488,0.0,0.976,0.9298,-0.00039999999999995595,-0.0016,,45437360,239144,5
20,fedavg,fmnist,10,dirichlet,1.0,2,0,1,12.097170737494364,0.4873,0.0,0.9746,0.9298,0.0013999999999999568,-0.0016,,47828800,239144,5
