round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,10,iid,,1,0,0,2.307142052459717,0.0861,0.0016,0.1706,0.0,0.0,,,0,239144,5
1,fedavg,fmnist,10,iid,,1,1,0,4.047580962789059,0.4487,0.8974,0.0,-0.8957999999999999,0.1706,0.8957999999999999,,2391440,239144,5
2,fedavg,fmnist,10,iid,,1,0,0,4.397889505553246,0.4569,0.9138,0.0,-0.01639999999999997,0.1706,0.9121999999999999,,4782880,239144,5
3,fedavg,fmnist,10,iid,,1,0,0,4.684184034794569,0.4581,0.9162,0.0,-0.0024000000000000687,0.1706,0.9146,,7174320,239144,5
4,fedavg,fmnist,10,iid,,1,0,0,4.87520128839314,0.4608,0.9216,0.0,-0.00539999999999996,0.1706,0.9199999999999999,,9565760,239144,5
5,fedavg,fmnist,10,iid,,1,0,0,5.219517210048437,0.4632,0.9264,0.0,-0.0048000000000000265,0.1706,0.9248,,11957200,239144,5
6,fedavg,fmnist,10,iid,,1,0,0,5.597445314407349,0.4634,0.9268,0.0,-0.00039999999999995595,0.1706,0.9251999999999999,,14348640,239144,5
7,fedavg,fmnist,10,iid,,1,0,0,5.399711917571723,0.4674,0.9348,0.0,-0.008000000000000007,0.1706,0.9331999999999999,,16740080,239144,5
8,fedavg,fmnist,10,iid,,1,0,0,5.541936111965775,0.4671,0.9342,0.0,0.0005999999999999339,0.1706,0.9326,,19131520,239144,5
9,fedavg,fmnist,10,iid,,1,0,0,5.991342354604602,0.4674,0.9348,0.0,0.0,0.1706,0.9331999999999999,,21522960,239144,5
10,fedavg,fmnist,10,iid,,1,0,1,6.1119768731117246,0.4675,0.935,0.0,-0.000200000000000089,0.1706,0.9334,,23914400,239144,5
11,fedavg,fmnist,10,iid,,2,1,0,7.132168079045415,0.4808,0.0,0.9616,0.935,-0.791,-0.0016,,26305840,239144,5
12,fedavg,fmnist,10,iid,,2,0,0,9.61951148673445,0.4844,0.0,0.9688,0.935,-0.007199999999999984,-0.0016,,28697280,239144,5
13,fedavg,fmnist,10,iid,,2,0,0,9.958390748266876,0.4855,0.0,0.971,0.935,-0.0021999999999999797,-0.0016,,31088720,239144,5
14,fedavg,fmnist,10,iid,,2,0,0,10.49624264881583,0.4865,0.0,0.973,0.935,-0.0020000000000000018,-0.0016,,33480160,239144,5
15,fedavg,fmnist,10,iid,,2,0,0,11.238354577578091,0.4861,0.0,0.9722,0.935,0.0008000000000000229,-0.0016,,35871600,239144,5
16,fedavg,fmnist,10,iid,,2,0,0,11.215139144807589,0.4878,0.0,0.9756,0.935,-0.0026000000000000467,-0.0016,,38263040,239144,5
17,fedavg,fmnist,10,iid,,2,0,0,11.131416301659447,0.4881,0.0,0.9762,0.935,-0.0005999999999999339,-0.0016,,40654480,239144,5
18,fedavg,fmnist,10,iid,,2,0,0,11.744420489024558,0.4885,0.0,0.977,0.935,-0.0008000000000000229,-0.0016,,43045920,239144,5
19,fedavg,fmnist,10,iid,,2,0,0,12.40950156551078,0.4885,0.0,0.977,0.935,0.0,-0.0016,,45437360,239144,5
20,fedavg,fmnist,10,iid,,2,0,1,12.229851448488212,0.4887,0.0,0.9774,0.935,-0.00040000000000006697,-0.0016,,47828800,239144,5
