round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,50,dirichlet,0.01,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,fedavg,fmnist,50,dirichlet,0.01,1,1,0,13.250709366607666,0.1,0.2,0.0,-0.19840000000000002,0.1704,0.19840000000000002,,11957200,239144,25
2,fedavg,fmnist,50,dirichlet,0.01,1,0,0,10.436673586273193,0.1,0.2,0.0,0.0,0.1704,0.19840000000000002,,23914400,239144,25
3,fedavg,fmnist,50,dirichlet,0.01,1,0,0,10.630564153289795,0.1,0.2,0.0,0.0,0.1704,0.19840000000000002,,35871600,239144,25
4,fedavg,fmnist,50,dirichlet,0.01,1,0,0,11.389170777511596,0.257,0.514,0.0,-0.314,0.1704,0.5124,,47828800,239144,25
5,fedavg,fmnist,50,dirichlet,0.01,1,0,0,15.241574381256104,0.1,0.2,0.0,0.314,0.1704,0.19840000000000002,,59786000,239144,25
6,fedavg,fmnist,50,dirichlet,0.01,1,0,0,10.833323626327514,0.1,0.2,0.0,0.314,0.1704,0.19840000000000002,,71743200,239144,25
7,fedavg,fmnist,50,dirichlet,0.01,1,0,0,57.36351237487793,0.1,0.2,0.0,0.314,0.1704,0.19840000000000002,,83700400,239144,25
8,fedavg,fmnist,50,dirichlet,0.01,1,0,0,23.637001054382324,0.1,0.2,0.0,0.314,0.1704,0.19840000000000002,,95657600,239144,25
9,fedavg,fmnist,50,dirichlet,0.01,1,0,0,128.65804655761718,0.1,0.2,0.0,0.314,0.1704,0.19840000000000002,,107614800,239144,25
10,fedavg,fmnist,50,dirichlet,0.01,1,0,1,11.388597618103027,0.1,0.2,0.0,0.314,0.1704,0.19840000000000002,,119572000,239144,25
11,fedavg,fmnist,50,dirichlet,0.01,2,1,0,9.369558659744262,0.1681,0.0,0.3362,0.514,-0.1658,-0.0016,,131529200,239144,25
12,fedavg,fmnist,50,dirichlet,0.01,2,0,0,26.54978572540283,0.112,0.0,0.224,0.514,0.1122,-0.0016,,143486400,239144,25
13,fedavg,fmnist,50,dirichlet,0.01,2,0,0,2.9275284730911255,0.1625,0.0,0.325,0.514,0.011199999999999988,-0.0016,,155443600,239144,25
14,fedavg,fmnist,50,dirichlet,0.01,2,0,0,9.243829579162597,0.1996,0.0,0.3992,0.514,-0.063,-0.0016,,167400800,239144,25
15,fedavg,fmnist,50,dirichlet,0.01,2,0,0,4.746602917098999,0.1785,0.0,0.357,0.514,0.042200000000000015,-0.0016,,179358000,239144,25
16,fedavg,fmnist,50,dirichlet,0.01,2,0,0,12.363819135665894,0.1,0.0,0.2,0.514,0.1992,-0.0016,,191315200,239144,25
17,fedavg,fmnist,50,dirichlet,0.01,2,0,0,3.1525065858840944,0.3264,0.0,0.6528,0.514,-0.25360000000000005,-0.0016,,203272400,239144,25
18,fedavg,fmnist,50,dirichlet,0.01,2,0,0,5.389860011863709,0.3367,0.0,0.6734,0.514,-0.02059999999999995,-0.0016,,215229600,239144,25
19,fedavg,fmnist,50,dirichlet,0.01,2,0,0,12.579069359207153,0.2615,0.0,0.523,0.514,0.15039999999999998,-0.0016,,227186800,239144,25
20,fedavg,fmnist,50,dirichlet,0.01,2,0,1,5.11635443649292,0.3049,0.0,0.6098,0.514,0.06359999999999999,-0.0016,,239144000,239144,25
