round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,50,dirichlet,0.1,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,fedavg,fmnist,50,dirichlet,0.1,1,1,0,3.136346259689331,0.1958,0.3916,0.0,-0.39,0.1704,0.39,,11957200,239144,25
2,fedavg,fmnist,50,dirichlet,0.1,1,0,0,2.680956615257263,0.2414,0.4828,0.0,-0.0912,0.1704,0.4812,,23914400,239144,25
3,fedavg,fmnist,50,dirichlet,0.1,1,0,0,3.1476165296554566,0.2877,0.5754,0.0,-0.09260000000000002,0.1704,0.5738,,35871600,239144,25
4,fedavg,fmnist,50,dirichlet,0.1,1,0,0,3.6830452114105223,0.1856,0.3712,0.0,0.20420000000000005,0.1704,0.3696,,47828800,239144,25
5,fedavg,fmnist,50,dirichlet,0.1,1,0,0,2.835502795982361,0.2915,0.583,0.0,-0.00759999999999994,0.1704,0.5813999999999999,,59786000,239144,25
6,fedavg,fmnist,50,dirichlet,0.1,1,0,0,2.8084340507507326,0.2975,0.595,0.0,-0.01200000000000001,0.1704,0.5933999999999999,,71743200,239144,25
7,fedavg,fmnist,50,dirichlet,0.1,1,0,0,2.9421792491436003,0.3522,0.7044,0.0,-0.10940000000000005,0.1704,0.7028,,83700400,239144,25
8,fedavg,fmnist,50,dirichlet,0.1,1,0,0,3.0346129576206207,0.3993,0.7986,0.0,-0.09419999999999995,0.1704,0.7969999999999999,,95657600,239144,25
9,fedavg,fmnist,50,dirichlet,0.1,1,0,0,3.5433176206707953,0.393,0.786,0.0,0.012599999999999945,0.1704,0.7844,,107614800,239144,25
10,fedavg,fmnist,50,dirichlet,0.1,1,0,1,3.7905839588046075,0.4056,0.8112,0.0,-0.012600000000000056,0.1704,0.8096,,119572000,239144,25
11,fedavg,fmnist,50,dirichlet,0.1,2,1,0,2.9015277893543243,0.366,0.0,0.732,0.8112,-0.5616,-0.0016,,131529200,239144,25
12,fedavg,fmnist,50,dirichlet,0.1,2,0,0,4.896533650946617,0.4363,0.0,0.8726,0.8112,-0.14060000000000006,-0.0016,,143486400,239144,25
13,fedavg,fmnist,50,dirichlet,0.1,2,0,0,5.943187321710586,0.4667,0.0,0.9334,0.8112,-0.060799999999999965,-0.0016,,155443600,239144,25
14,fedavg,fmnist,50,dirichlet,0.1,2,0,0,6.314031006759405,0.4654,0.0,0.9308,0.8112,0.0026000000000000467,-0.0016,,167400800,239144,25
15,fedavg,fmnist,50,dirichlet,0.1,2,0,0,6.613723510292172,0.4722,0.0,0.9444,0.8112,-0.01100000000000001,-0.0016,,179358000,239144,25
16,fedavg,fmnist,50,dirichlet,0.1,2,0,0,7.279685323053599,0.4685,0.0,0.937,0.8112,0.007399999999999962,-0.0016,,191315200,239144,25
17,fedavg,fmnist,50,dirichlet,0.1,2,0,0,7.006610431914032,0.4759,0.0,0.9518,0.8112,-0.007399999999999962,-0.0016,,203272400,239144,25
18,fedavg,fmnist,50,dirichlet,0.1,2,0,0,6.492309112119675,0.4609,0.0,0.9218,0.8112,0.030000000000000027,-0.0016,,215229600,239144,25
19,fedavg,fmnist,50,dirichlet,0.1,2,0,0,6.655852074611187,0.4546,0.0,0.9092,0.8112,0.04259999999999997,-0.0016,,227186800,239144,25
20,fedavg,fmnist,50,dirichlet,0.1,2,0,1,7.2138268779665236,0.4786,0.0,0.9572,0.8112,-0.005400000000000071,-0.0016,,239144000,239144,25
