round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,50,dirichlet,0.5,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,fedavg,fmnist,50,dirichlet,0.5,1,1,0,3.004347419333458,0.416,0.832,0.0,-0.8303999999999999,0.1704,0.8303999999999999,,11957200,239144,25
2,fedavg,fmnist,50,dirichlet,0.5,1,0,0,4.146431858360767,0.4356,0.8712,0.0,-0.03920000000000001,0.1704,0.8695999999999999,,23914400,239144,25
3,fedavg,fmnist,50,dirichlet,0.5,1,0,0,4.196112498879432,0.4452,0.8904,0.0,-0.019199999999999995,0.1704,0.8887999999999999,,35871600,239144,25
4,fedavg,fmnist,50,dirichlet,0.5,1,0,0,4.480971324861049,0.4484,0.8968,0.0,-0.006400000000000072,0.1704,0.8952,,47828800,239144,25
5,fedavg,fmnist,50,dirichlet,0.5,1,0,0,4.403626739811897,0.4493,0.8986,0.0,-0.0017999999999999128,0.1704,0.8969999999999999,,59786000,239144,25
6,fedavg,fmnist,50,dirichlet,0.5,1,0,0,4.618037775403261,0.4508,0.9016,0.0,-0.0030000000000000027,0.1704,0.8999999999999999,,71743200,239144,25
7,fedavg,fmnist,50,dirichlet,0.5,1,0,0,4.530172766315937,0.4485,0.897,0.0,0.0045999999999999375,0.1704,0.8954,,83700400,239144,25
8,fedavg,fmnist,50,dirichlet,0.5,1,0,0,4.7528368739306925,0.4551,0.9102,0.0,-0.008600000000000052,0.1704,0.9086,,95657600,239144,25
9,fedavg,fmnist,50,dirichlet,0.5,1,0,0,4.7883575660228725,0.4549,0.9098,0.0,0.00039999999999995595,0.1704,0.9082,,107614800,239144,25
10,fedavg,fmnist,50,dirichlet,0.5,1,0,1,4.819035931742191,0.4537,0.9074,0.0,0.0028000000000000247,0.1704,0.9057999999999999,,119572000,239144,25
11,fedavg,fmnist,50,dirichlet,0.5,2,1,0,5.705450836765766,0.4529,0.0,0.9058,0.9102,-0.7354,-0.0016,,131529200,239144,25
12,fedavg,fmnist,50,dirichlet,0.5,2,0,0,8.229368373498321,0.4705,0.0,0.941,0.9102,-0.0351999999999999,-0.0016,,143486400,239144,25
13,fedavg,fmnist,50,dirichlet,0.5,2,0,0,8.522024495077133,0.4744,0.0,0.9488,0.9102,-0.007800000000000029,-0.0016,,155443600,239144,25
14,fedavg,fmnist,50,dirichlet,0.5,2,0,0,9.518120745255798,0.4725,0.0,0.945,0.9102,0.0038000000000000256,-0.0016,,167400800,239144,25
15,fedavg,fmnist,50,dirichlet,0.5,2,0,0,9.436586184874923,0.4797,0.0,0.9594,0.9102,-0.010600000000000054,-0.0016,,179358000,239144,25
16,fedavg,fmnist,50,dirichlet,0.5,2,0,0,9.656365062058716,0.4789,0.0,0.9578,0.9102,0.0016000000000000458,-0.0016,,191315200,239144,25
17,fedavg,fmnist,50,dirichlet,0.5,2,0,0,9.892527332861722,0.4787,0.0,0.9574,0.9102,0.0020000000000000018,-0.0016,,203272400,239144,25
18,fedavg,fmnist,50,dirichlet,0.5,2,0,0,10.203247609604896,0.4811,0.0,0.9622,0.9102,-0.0028000000000000247,-0.0016,,215229600,239144,25
19,fedavg,fmnist,50,dirichlet,0.5,2,0,0,10.210780655697732,0.4821,0.0,0.9642,0.9102,-0.0019999999999998908,-0.0016,,227186800,239144,25
20,fedavg,fmnist,50,dirichlet,0.5,2,0,1,10.498413964866101,0.482,0.0,0.964,0.9102,0.00019999999999997797,-0.0016,,239144000,239144,25
