round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,50,dirichlet,1.0,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,fedavg,fmnist,50,dirichlet,1.0,1,1,0,3.7717098503947257,0.4211,0.8422,0.0,-0.8405999999999999,0.1704,0.8405999999999999,,11957200,239144,25
2,fedavg,fmnist,50,dirichlet,1.0,1,0,0,4.497971388626099,0.4359,0.8718,0.0,-0.02960000000000007,0.1704,0.8702,,23914400,239144,25
3,fedavg,fmnist,50,dirichlet,1.0,1,0,0,4.625359414541721,0.4463,0.8926,0.0,-0.02079999999999993,0.1704,0.8909999999999999,,35871600,239144,25
4,fedavg,fmnist,50,dirichlet,1.0,1,0,0,4.721451270103454,0.4478,0.8956,0.0,-0.0030000000000000027,0.1704,0.8939999999999999,,47828800,239144,25
5,fedavg,fmnist,50,dirichlet,1.0,1,0,0,4.812334207248687,0.4501,0.9002,0.0,-0.0046000000000000485,0.1704,0.8986,,59786000,239144,25
6,fedavg,fmnist,50,dirichlet,1.0,1,0,0,4.818017667949199,0.4512,0.9024,0.0,-0.0021999999999999797,0.1704,0.9007999999999999,,71743200,239144,25
7,fedavg,fmnist,50,dirichlet,1.0,1,0,0,5.117335944032669,0.4527,0.9054,0.0,-0.0030000000000000027,0.1704,0.9037999999999999,,83700400,239144,25
8,fedavg,fmnist,50,dirichlet,1.0,1,0,0,4.872291240632534,0.4517,0.9034,0.0,0.0020000000000000018,0.1704,0.9017999999999999,,95657600,239144,25
9,fedavg,fmnist,50,dirichlet,1.0,1,0,0,5.119702501285076,0.4553,0.9106,0.0,-0.005199999999999982,0.1704,0.9089999999999999,,107614800,239144,25
10,fedavg,fmnist,50,dirichlet,1.0,1,0,1,5.003125874394178,0.4549,0.9098,0.0,0.0007999999999999119,0.1704,0.9082,,119572000,239144,25
11,fedavg,fmnist,50,dirichlet,1.0,2,1,0,6.92654186553359,0.4641,0.0,0.9282,0.9106,-0.7578,-0.0016,,131529200,239144,25
12,fedavg,fmnist,50,dirichlet,1.0,2,0,0,9.321142092227936,0.4753,0.0,0.9506,0.9106,-0.022399999999999975,-0.0016,,143486400,239144,25
13,fedavg,fmnist,50,dirichlet,1.0,2,0,0,10.263037485078723,0.4761,0.0,0.9522,0.9106,-0.0016000000000000458,-0.0016,,155443600,239144,25
14,fedavg,fmnist,50,dirichlet,1.0,2,0,0,10.652709055359662,0.4786,0.0,0.9572,0.9106,-0.0050000000000000044,-0.0016,,167400800,239144,25
15,fedavg,fmnist,50,dirichlet,1.0,2,0,0,11.091509246694297,0.4799,0.0,0.9598,0.9106,-0.0025999999999999357,-0.0016,,179358000,239144,25
16,fedavg,fmnist,50,dirichlet,1.0,2,0,0,11.423024463526904,0.4815,0.0,0.963,0.9106,-0.0031999999999999806,-0.0016,,191315200,239144,25
17,fedavg,fmnist,50,dirichlet,1.0,2,0,0,12.019016257953643,0.482,0.0,0.964,0.9106,-0.0010000000000000009,-0.0016,,203272400,239144,25
18,fedavg,fmnist,50,dirichlet,1.0,2,0,0,11.579822942712157,0.4821,0.0,0.9642,0.9106,-0.00019999999999997797,-0.0016,,215229600,239144,25
19,fedavg,fmnist,50,dirichlet,1.0,2,0,0,11.735933329968155,0.4827,0.0,0.9654,0.9106,-0.0012000000000000899,-0.0016,,227186800,239144,25
20,fedavg,fmnist,50,dirichlet,1.0,2,0,1,12.194672705148161,0.483,0.0,0.966,0.9106,-0.0005999999999999339,-0.0016,,239144000,239144,25
