round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,fmnist,50,iid,,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,fedavg,fmnist,50,iid,,1,1,0,4.61826961221695,0.4277,0.8554,0.0,-0.8538,0.1704,0.8538,,11957200,239144,25
2,fedavg,fmnist,50,iid,,1,0,0,5.101723438978195,0.4414,0.8828,0.0,-0.02739999999999998,0.1704,0.8812,,23914400,239144,25
3,fedavg,fmnist,50,iid,,1,0,0,5.027351604509354,0.4458,0.8916,0.0,-0.008799999999999919,0.1704,0.8899999999999999,,35871600,239144,25
4,fedavg,fmnist,50,iid,,1,0,0,5.102404133784771,0.449,0.898,0.0,-0.006400000000000072,0.1704,0.8964,,47828800,239144,25
5,fedavg,fmnist,50,iid,,1,0,0,5.220988955259323,0.4513,0.9026,0.0,-0.0045999999999999375,0.1704,0.9009999999999999,,59786000,239144,25
6,fedavg,fmnist,50,iid,,1,0,0,5.056042703485489,0.4535,0.907,0.0,-0.0044000000000000705,0.1704,0.9054,,71743200,239144,25
7,fedavg,fmnist,50,iid,,1,0,0,5.276974339473248,0.454,0.908,0.0,-0.0010000000000000009,0.1704,0.9064,,83700400,239144,25
8,fedavg,fmnist,50,iid,,1,0,0,5.168130006396771,0.4551,0.9102,0.0,-0.0021999999999999797,0.1704,0.9086,,95657600,239144,25
9,fedavg,fmnist,50,iid,,1,0,0,5.259576866877079,0.4557,0.9114,0.0,-0.0011999999999999789,0.1704,0.9097999999999999,,107614800,239144,25
10,fedavg,fmnist,50,iid,,1,0,1,5.243052087557316,0.4566,0.9132,0.0,-0.0018000000000000238,0.1704,0.9116,,119572000,239144,25
11,fedavg,fmnist,50,iid,,2,1,0,7.476630821737647,0.4709,0.0,0.9418,0.9132,-0.7714,-0.0016,,131529200,239144,25
12,fedavg,fmnist,50,iid,,2,0,0,9.533657461925596,0.4753,0.0,0.9506,0.9132,-0.00880000000000003,-0.0016,,143486400,239144,25
13,fedavg,fmnist,50,iid,,2,0,0,10.553517952336371,0.4778,0.0,0.9556,0.9132,-0.0050000000000000044,-0.0016,,155443600,239144,25
14,fedavg,fmnist,50,iid,,2,0,0,10.952467324416713,0.4796,0.0,0.9592,0.9132,-0.0036000000000000476,-0.0016,,167400800,239144,25
15,fedavg,fmnist,50,iid,,2,0,0,11.24327065307349,0.4805,0.0,0.961,0.9132,-0.0017999999999999128,-0.0016,,179358000,239144,25
16,fedavg,fmnist,50,iid,,2,0,0,11.762450419679656,0.4815,0.0,0.963,0.9132,-0.0020000000000000018,-0.0016,,191315200,239144,25
17,fedavg,fmnist,50,iid,,2,0,0,11.831706652178616,0.4822,0.0,0.9644,0.9132,-0.0014000000000000679,-0.0016,,203272400,239144,25
18,fedavg,fmnist,50,iid,,2,0,0,11.795923141515255,0.483,0.0,0.966,0.9132,-0.0015999999999999348,-0.0016,,215229600,239144,25
19,fedavg,fmnist,50,iid,,2,0,0,12.121567292441428,0.4841,0.0,0.9682,0.9132,-0.0021999999999999797,-0.0016,,227186800,239144,25
20,fedavg,fmnist,50,iid,,2,0,1,12.275268555702269,0.4846,0.0,0.9692,0.9132,-0.0010000000000000009,-0.0016,,239144000,239144,25
