round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,100,dirichlet,0.01,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,fedavg,mnist,100,dirichlet,0.01,1,1,0,14.447358204650879,0.1092,0.2124927028604787,0.0,-0.2111305701498346,0.17383254474387985,0.2111305701498346,,23914400,239144,50
2,fedavg,mnist,100,dirichlet,0.01,1,0,0,21.36151978149414,0.101,0.1965362911072193,0.0,0.015956411753259403,0.17383254474387985,0.1951741583965752,,47828800,239144,50
3,fedavg,mnist,100,dirichlet,0.01,1,0,0,3.871103690338135,0.1032,0.20081727962638646,0.0,0.011675423234092236,0.17383254474387985,0.19945514691574237,,71743200,239144,50
4,fedavg,mnist,100,dirichlet,0.01,1,0,0,7.922639820098877,0.098,0.1906985794901732,0.0,0.021794123370305507,0.17383254474387985,0.1893364467795291,,95657600,239144,50
5,fedavg,mnist,100,dirichlet,0.01,1,0,0,17.515038049316406,0.1032,0.20081727962638646,0.0,0.011675423234092236,0.17383254474387985,0.19945514691574237,,119572000,239144,50
6,fedavg,mnist,100,dirichlet,0.01,1,0,0,4.28980454788208,0.101,0.1965362911072193,0.0,0.015956411753259403,0.17383254474387985,0.1951741583965752,,143486400,239144,50
7,fedavg,mnist,100,dirichlet,0.01,1,0,0,23.78620487060547,0.1032,0.20081727962638646,0.0,0.011675423234092236,0.17383254474387985,0.19945514691574237,,167400800,239144,50
8,fedavg,mnist,100,dirichlet,0.01,1,0,0,3.7125908935546876,0.2102,0.409028993967698,0.0,-0.1965362911072193,0.17383254474387985,0.40766686125705387,,191315200,239144,50
9,fedavg,mnist,100,dirichlet,0.01,1,0,0,3.460399620819092,0.1109,0.2158007394434715,0.0,0.19322825452422648,0.17383254474387985,0.2144386067328274,,215229600,239144,50
10,fedavg,mnist,100,dirichlet,0.01,1,0,1,5.452704363250732,0.2103,0.4092235843549329,0.0,-0.0001945903872349053,0.17383254474387985,0.4078614516442888,,239144000,239144,50
11,fedavg,mnist,100,dirichlet,0.01,2,1,0,10.674448586273193,0.1835,0.0,0.3774943427278338,0.4092235843549329,-0.20366179798395392,-0.0013621327106440942,,263058400,239144,50
12,fedavg,mnist,100,dirichlet,0.01,2,0,0,3.3915659875869753,0.2661,0.0,0.5474182267023247,0.4092235843549329,-0.16992388397449087,-0.0013621327106440942,,286972800,239144,50
13,fedavg,mnist,100,dirichlet,0.01,2,0,0,7.186269532775879,0.1373,0.0,0.28245217033532194,0.4092235843549329,0.2649660563670027,-0.0013621327106440942,,310887200,239144,50
14,fedavg,mnist,100,dirichlet,0.01,2,0,0,3.831203782272339,0.2875,0.0003891807744697412,0.5910306521291915,0.40883440358046313,-0.04361242542686683,-0.000972951936174353,,334801600,239144,50
15,fedavg,mnist,100,dirichlet,0.01,2,0,0,5.6354740234375,0.1641,0.0,0.3375848590824933,0.4092235843549329,0.2534457930466982,-0.0013621327106440942,,358716000,239144,50
16,fedavg,mnist,100,dirichlet,0.01,2,0,0,4.725529367446899,0.2168,0.0,0.44599876568607283,0.4092235843549329,0.14503188644311865,-0.0013621327106440942,,382630400,239144,50
17,fedavg,mnist,100,dirichlet,0.01,2,0,0,5.06033696899414,0.2979,0.0,0.612836864842625,0.4092235843549329,-0.021806212713433526,-0.0013621327106440942,,406544800,239144,50
18,fedavg,mnist,100,dirichlet,0.01,2,0,0,6.312154899978638,0.2739,0.01595641175325939,0.5465953507508743,0.3932671726016735,0.06624151409175072,0.014594279042615295,,430459200,239144,50
19,fedavg,mnist,100,dirichlet,0.01,2,0,0,6.880490327835083,0.286,0.0,0.588356305286978,0.4092235843549329,0.024480559555646986,-0.0013621327106440942,,454373600,239144,50
20,fedavg,mnist,100,dirichlet,0.01,2,0,1,10.460927976989746,0.1515,0.0,0.3116642666118083,0.4092235843549329,0.3011725982308167,-0.0013621327106440942,,478288000,239144,50
