round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,100,dirichlet,0.01,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,fedavg,mnist,100,dirichlet,0.01,1,1,0,5.4800110389709475,0.2099,0.4084452228059934,0.0,-0.40708309009534926,0.17383254474387985,0.40708309009534926,,23914400,239144,50
2,fedavg,mnist,100,dirichlet,0.01,1,0,0,13.670245191955566,0.0982,0.19108776026464291,0.0,0.21735746254135047,0.17383254474387985,0.18972562755399883,,47828800,239144,50
3,fedavg,mnist,100,dirichlet,0.01,1,0,0,5.4673320678710935,0.1163,0.2263086203541545,0.0,0.18213660245183888,0.17383254474387985,0.2249464876435104,,71743200,239144,50
4,fedavg,mnist,100,dirichlet,0.01,1,0,0,4.501650957107544,0.098,0.1906985794901732,0.0,0.2177466433158202,0.17383254474387985,0.1893364467795291,,95657600,239144,50
5,fedavg,mnist,100,dirichlet,0.01,1,0,0,12.367575082397462,0.1135,0.22086008951157812,0.0,0.18758513329441526,0.17383254474387985,0.21949795680093404,,119572000,239144,50
6,fedavg,mnist,100,dirichlet,0.01,1,0,0,6.374518163299561,0.101,0.1965362911072193,0.0,0.2119089316987741,0.17383254474387985,0.1951741583965752,,143486400,239144,50
7,fedavg,mnist,100,dirichlet,0.01,1,0,0,4.761918930435181,0.1032,0.20081727962638646,0.0,0.20762794317960692,0.17383254474387985,0.19945514691574237,,167400800,239144,50
8,fedavg,mnist,100,dirichlet,0.01,1,0,0,3.6616281661987307,0.2444,0.4755789064020237,0.0,-0.06713368359603034,0.17383254474387985,0.4742167736913796,,191315200,239144,50
9,fedavg,mnist,100,dirichlet,0.01,1,0,0,4.429410973167419,0.2795,0.5438801323214634,0.0,-0.06830122591943966,0.17383254474387985,0.5425179996108193,,215229600,239144,50
10,fedavg,mnist,100,dirichlet,0.01,1,0,1,9.876074963378906,0.1022,0.19887137575403774,0.0,0.34500875656742563,0.17383254474387985,0.19750924304339365,,239144000,239144,50
11,fedavg,mnist,100,dirichlet,0.01,2,1,0,29.622984851074218,0.1028,0.0,0.21147911952273196,0.5438801323214634,-0.03764657477885211,-0.0013621327106440942,,263058400,239144,50
12,fedavg,mnist,100,dirichlet,0.01,2,0,0,4.596585102844238,0.2866,0.0,0.5895906192141535,0.5438801323214634,-0.3781114996914215,-0.0013621327106440942,,286972800,239144,50
13,fedavg,mnist,100,dirichlet,0.01,2,0,0,4.389731851577759,0.1014,0.0,0.20859905369265583,0.5438801323214634,0.3809915655214976,-0.0013621327106440942,,310887200,239144,50
14,fedavg,mnist,100,dirichlet,0.01,2,0,0,6.35244485168457,0.2586,0.0,0.5319893026126311,0.5438801323214634,0.057601316601522345,-0.0013621327106440942,,334801600,239144,50
15,fedavg,mnist,100,dirichlet,0.01,2,0,0,6.2311300277709964,0.1654,0.0,0.3402592059247069,0.5438801323214634,0.24933141328944658,-0.0013621327106440942,,358716000,239144,50
16,fedavg,mnist,100,dirichlet,0.01,2,0,0,14.589301159667968,0.1028,0.0,0.21147911952273196,0.5438801323214634,0.3781114996914215,-0.0013621327106440942,,382630400,239144,50
17,fedavg,mnist,100,dirichlet,0.01,2,0,0,4.983336043930054,0.2873,0.0,0.5910306521291915,0.5438801323214634,-0.0014400329150380253,-0.0013621327106440942,,406544800,239144,50
18,fedavg,mnist,100,dirichlet,0.01,2,0,0,16.54731252746582,0.1681,0.0,0.3458136185969965,0.5438801323214634,0.24521703353219498,-0.0013621327106440942,,430459200,239144,50
19,fedavg,mnist,100,dirichlet,0.01,2,0,0,5.34847346534729,0.1698,0.0,0.3493108413906604,0.5438801323214634,0.2417198107385311,-0.0013621327106440942,,454373600,239144,50
20,fedavg,mnist,100,dirichlet,0.01,2,0,1,4.258784088897705,0.3089,0.0,0.6354659535075088,0.5438801323214634,-0.044435301378317305,-0.0013621327106440942,,478288000,239144,50
