round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,100,dirichlet,0.1,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,fedavg,mnist,100,dirichlet,0.1,1,1,0,3.2256639861106873,0.3856,0.750340533177661,0.0,-0.7489784004670169,0.17383254474387985,0.7489784004670169,,23914400,239144,50
2,fedavg,mnist,100,dirichlet,0.1,1,0,0,5.038591560935974,0.4259,0.8287604592333139,0.0,-0.07841992605565284,0.17383254474387985,0.8273983265226698,,47828800,239144,50
3,fedavg,mnist,100,dirichlet,0.1,1,0,0,5.844488144254685,0.4341,0.8447168709865732,0.0,-0.015956411753259347,0.17383254474387985,0.8433547382759291,,71743200,239144,50
4,fedavg,mnist,100,dirichlet,0.1,1,0,0,5.3001083270132545,0.435,0.8464681844716871,0.0,-0.0017513134851139256,0.17383254474387985,0.845106051761043,,95657600,239144,50
5,fedavg,mnist,100,dirichlet,0.1,1,0,0,4.77751991751194,0.4811,0.9361743529869625,0.0,-0.08970616851527535,0.17383254474387985,0.9348122202763184,,119572000,239144,50
6,fedavg,mnist,100,dirichlet,0.1,1,0,0,5.127694646487385,0.4994,0.9717843938509437,0.0,-0.03561004086398123,0.17383254474387985,0.9704222611402996,,143486400,239144,50
7,fedavg,mnist,100,dirichlet,0.1,1,0,0,5.650652946502063,0.5045,0.9817085035999221,0.0,-0.009924109748978394,0.17383254474387985,0.980346370889278,,167400800,239144,50
8,fedavg,mnist,100,dirichlet,0.1,1,0,0,5.937158524755528,0.5046,0.981903093987157,0.0,-0.0001945903872349053,0.17383254474387985,0.9805409612765129,,191315200,239144,50
9,fedavg,mnist,100,dirichlet,0.1,1,0,0,6.132175099822832,0.5047,0.9820976843743919,0.0,-0.0001945903872349053,0.17383254474387985,0.9807355516637478,,215229600,239144,50
10,fedavg,mnist,100,dirichlet,0.1,1,0,1,6.244026660321653,0.5056,0.9838489978595057,0.0,-0.0017513134851138146,0.17383254474387985,0.9824868651488616,,239144000,239144,50
11,fedavg,mnist,100,dirichlet,0.1,2,1,0,3.3727841190338133,0.3358,0.0,0.6908043612425427,0.9838489978595057,-0.5169718164986629,-0.0013621327106440942,,263058400,239144,50
12,fedavg,mnist,100,dirichlet,0.1,2,0,0,7.097852932596207,0.3949,0.0,0.8123842830693273,0.9838489978595057,-0.12157992182678456,-0.0013621327106440942,,286972800,239144,50
13,fedavg,mnist,100,dirichlet,0.1,2,0,0,7.487626870048046,0.4474,0.0,0.9203867516971816,0.9838489978595057,-0.10800246862785434,-0.0013621327106440942,,310887200,239144,50
14,fedavg,mnist,100,dirichlet,0.1,2,0,0,9.32478451025486,0.441,0.0,0.9072207364739765,0.9838489978595057,0.013166015223205152,-0.0013621327106440942,,334801600,239144,50
15,fedavg,mnist,100,dirichlet,0.1,2,0,0,8.84949826438725,0.4618,0.0,0.9500102859493931,0.9838489978595057,-0.029623534252211425,-0.0013621327106440942,,358716000,239144,50
16,fedavg,mnist,100,dirichlet,0.1,2,0,0,9.544901223489642,0.4611,0.0,0.948570253034355,0.9838489978595057,0.0014400329150380253,-0.0013621327106440942,,382630400,239144,50
17,fedavg,mnist,100,dirichlet,0.1,2,0,0,10.3335077711761,0.4451,0.0,0.9156552149763423,0.9838489978595057,0.034355070973050794,-0.0013621327106440942,,406544800,239144,50
18,fedavg,mnist,100,dirichlet,0.1,2,0,0,9.257090624451637,0.4103,0.0,0.8440650072001645,0.9838489978595057,0.10594527874922854,-0.0013621327106440942,,430459200,239144,50
19,fedavg,mnist,100,dirichlet,0.1,2,0,0,8.031622933626174,0.3859,0.0,0.7938695741616951,0.9838489978595057,0.15614071178769795,-0.0013621327106440942,,454373600,239144,50
20,fedavg,mnist,100,dirichlet,0.1,2,0,1,7.203615036509931,0.4656,0.0,0.9578276074881712,0.9838489978595057,-0.007817321538778121,-0.0013621327106440942,,478288000,239144,50
