round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,100,dirichlet,0.5,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,fedavg,mnist,100,dirichlet,0.5,1,1,0,5.070513980782032,0.4958,0.9647791399104885,0.0,-0.9634170071998444,0.17383254474387985,0.9634170071998444,,23914400,239144,50
2,fedavg,mnist,100,dirichlet,0.5,1,0,0,7.589804783936404,0.502,0.9768437439190504,0.0,-0.012064604008561908,0.17383254474387985,0.9754816112084063,,47828800,239144,50
3,fedavg,mnist,100,dirichlet,0.5,1,0,0,7.684633893610723,0.5018,0.9764545631445807,0.0,0.00038918077446969956,0.17383254474387985,0.9750924304339366,,71743200,239144,50
4,fedavg,mnist,100,dirichlet,0.5,1,0,0,7.418380455380585,0.5052,0.9830706363105662,0.0,-0.006226892391515859,0.17383254474387985,0.9817085035999221,,95657600,239144,50
5,fedavg,mnist,100,dirichlet,0.5,1,0,0,7.843966905100178,0.5063,0.9852111305701499,0.0,-0.002140494259583625,0.17383254474387985,0.9838489978595057,,119572000,239144,50
6,fedavg,mnist,100,dirichlet,0.5,1,0,0,7.851504362494638,0.507,0.986573263280794,0.0,-0.001362132710644115,0.17383254474387985,0.9852111305701499,,143486400,239144,50
7,fedavg,mnist,100,dirichlet,0.5,1,0,0,7.983945610494003,0.5071,0.9867678536680288,0.0,-0.00019459038723479427,0.17383254474387985,0.9854057209573847,,167400800,239144,50
8,fedavg,mnist,100,dirichlet,0.5,1,0,0,7.968193850609451,0.5079,0.9883245767659078,0.0,-0.0015567230978790203,0.17383254474387985,0.9869624440552637,,191315200,239144,50
9,fedavg,mnist,100,dirichlet,0.5,1,0,0,8.023857765375705,0.5087,0.9898812998637867,0.0,-0.0015567230978789093,0.17383254474387985,0.9885191671531426,,215229600,239144,50
10,fedavg,mnist,100,dirichlet,0.5,1,0,1,8.126639753726614,0.5089,0.9902704806382565,0.0,-0.0003891807744698106,0.17383254474387985,0.9889083479276124,,239144000,239144,50
11,fedavg,mnist,100,dirichlet,0.5,2,1,0,5.175546742224693,0.4489,0.0,0.9234725365151203,0.9902704806382565,-0.7496399917712404,-0.0013621327106440942,,263058400,239144,50
12,fedavg,mnist,100,dirichlet,0.5,2,0,0,10.297279185344278,0.4621,0.0,0.9506274429129808,0.9902704806382565,-0.027154906397860556,-0.0013621327106440942,,286972800,239144,50
13,fedavg,mnist,100,dirichlet,0.5,2,0,0,11.379748409803211,0.4677,0.0,0.9621477062332854,0.9902704806382565,-0.011520263320304536,-0.0013621327106440942,,310887200,239144,50
14,fedavg,mnist,100,dirichlet,0.5,2,0,0,11.966575169366598,0.4703,0.0,0.9674963999177124,0.9902704806382565,-0.0053486936844270305,-0.0013621327106440942,,334801600,239144,50
15,fedavg,mnist,100,dirichlet,0.5,2,0,0,12.552734391154909,0.4724,0.0,0.9718164986628266,0.9902704806382565,-0.004320098745114187,-0.0013621327106440942,,358716000,239144,50
16,fedavg,mnist,100,dirichlet,0.5,2,0,0,13.058299095189758,0.474,0.0,0.9751080024686278,0.9902704806382565,-0.0032915038058012325,-0.0013621327106440942,,382630400,239144,50
17,fedavg,mnist,100,dirichlet,0.5,2,0,0,12.88532894829642,0.4759,0.0,0.9790166632380168,0.9902704806382565,-0.003908660769389005,-0.0013621327106440942,,406544800,239144,50
18,fedavg,mnist,100,dirichlet,0.5,2,0,0,13.31665708546266,0.4756,0.0,0.9783995062744292,0.9902704806382565,0.0006171569635876617,-0.0013621327106440942,,430459200,239144,50
19,fedavg,mnist,100,dirichlet,0.5,2,0,0,13.530012036746088,0.4765,0.0,0.9802509771651924,0.9902704806382565,-0.0012343139271755454,-0.0013621327106440942,,454373600,239144,50
20,fedavg,mnist,100,dirichlet,0.5,2,0,1,13.747032283232734,0.4775,0.0,0.9823081670438182,0.9902704806382565,-0.002057189878625798,-0.0013621327106440942,,478288000,239144,50
