round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,100,dirichlet,1.0,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,fedavg,mnist,100,dirichlet,1.0,1,1,0,7.756863593485206,0.4967,0.9665304533956023,0.0,-0.9651683206849582,0.17383254474387985,0.9651683206849582,,23914400,239144,50
2,fedavg,mnist,100,dirichlet,1.0,1,0,0,8.599747109668701,0.5018,0.9764545631445807,0.0,-0.009924109748978394,0.17383254474387985,0.9750924304339366,,47828800,239144,50
3,fedavg,mnist,100,dirichlet,1.0,1,0,0,8.881447098892648,0.5044,0.9815139132126873,0.0,-0.0050593500681066494,0.17383254474387985,0.9801517805020432,,71743200,239144,50
4,fedavg,mnist,100,dirichlet,1.0,1,0,0,8.900869000715204,0.5056,0.9838489978595057,0.0,-0.0023350846468184194,0.17383254474387985,0.9824868651488616,,95657600,239144,50
5,fedavg,mnist,100,dirichlet,1.0,1,0,0,8.896066846670303,0.5063,0.9852111305701499,0.0,-0.001362132710644115,0.17383254474387985,0.9838489978595057,,119572000,239144,50
6,fedavg,mnist,100,dirichlet,1.0,1,0,0,9.062045239571132,0.5067,0.9859894921190894,0.0,-0.0007783615489395102,0.17383254474387985,0.9846273594084453,,143486400,239144,50
7,fedavg,mnist,100,dirichlet,1.0,1,0,0,8.876394407624472,0.5073,0.9871570344424986,0.0,-0.0011675423234092097,0.17383254474387985,0.9857949017318545,,167400800,239144,50
8,fedavg,mnist,100,dirichlet,1.0,1,0,0,8.763594531130279,0.5082,0.9889083479276124,0.0,-0.0017513134851138146,0.17383254474387985,0.9875462152169683,,191315200,239144,50
9,fedavg,mnist,100,dirichlet,1.0,1,0,0,9.146767888422776,0.5081,0.9887137575403775,0.0,0.0001945903872349053,0.17383254474387985,0.9873516248297334,,215229600,239144,50
10,fedavg,mnist,100,dirichlet,1.0,1,0,1,8.972596003408265,0.5091,0.9906596614127262,0.0,-0.0017513134851138146,0.17383254474387985,0.9892975287020821,,239144000,239144,50
11,fedavg,mnist,100,dirichlet,1.0,2,1,0,6.945647009062767,0.4545,0.0,0.9349927998354248,0.9906596614127262,-0.761160255091545,-0.0013621327106440942,,263058400,239144,50
12,fedavg,mnist,100,dirichlet,1.0,2,0,0,10.80666368957907,0.4639,0.0,0.9543303846945073,0.9906596614127262,-0.019337584859082435,-0.0013621327106440942,,286972800,239144,50
13,fedavg,mnist,100,dirichlet,1.0,2,0,0,12.279918579288944,0.4678,0.0,0.9623534252211479,0.9906596614127262,-0.008023040526640601,-0.0013621327106440942,,310887200,239144,50
14,fedavg,mnist,100,dirichlet,1.0,2,0,0,12.570037177805975,0.471,0.0,0.9689364328327504,0.9906596614127262,-0.006583007611602576,-0.0013621327106440942,,334801600,239144,50
15,fedavg,mnist,100,dirichlet,1.0,2,0,0,12.89860235398151,0.4728,0.0,0.9726393746142769,0.9906596614127262,-0.0037029417815264143,-0.0013621327106440942,,358716000,239144,50
16,fedavg,mnist,100,dirichlet,1.0,2,0,0,13.235981871965063,0.4741,0.0,0.9753137214564904,0.9906596614127262,-0.0026743468422135708,-0.0013621327106440942,,382630400,239144,50
17,fedavg,mnist,100,dirichlet,1.0,2,0,0,13.469733091529552,0.4748,0.0,0.9767537543715284,0.9906596614127262,-0.0014400329150380253,-0.0013621327106440942,,406544800,239144,50
18,fedavg,mnist,100,dirichlet,1.0,2,0,0,13.67296733858711,0.4757,0.0,0.9786052252622917,0.9906596614127262,-0.0018514708907632071,-0.0013621327106440942,,430459200,239144,50
19,fedavg,mnist,100,dirichlet,1.0,2,0,0,13.93320937063191,0.4761,0.0,0.979428101213742,0.9906596614127262,-0.0008228759514503636,-0.0013621327106440942,,454373600,239144,50
20,fedavg,mnist,100,dirichlet,1.0,2,0,1,14.388831008593739,0.4761,0.0,0.979428101213742,0.9906596614127262,0.0,-0.0013621327106440942,,478288000,239144,50
