round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,100,iid,,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,fedavg,mnist,100,iid,,1,1,0,8.052450346219912,0.4979,0.9688655380424207,0.0,-0.9675034053317766,0.17383254474387985,0.9675034053317766,,23914400,239144,50
2,fedavg,mnist,100,iid,,1,0,0,9.734757921535056,0.5024,0.9776221054679899,0.0,-0.008756567425569184,0.17383254474387985,0.9762599727573458,,47828800,239144,50
3,fedavg,mnist,100,iid,,1,0,0,9.683354849326191,0.5042,0.9811247324382175,0.0,-0.003502626970227629,0.17383254474387985,0.9797625997275734,,71743200,239144,50
4,fedavg,mnist,100,iid,,1,0,0,9.787853972279466,0.5056,0.9838489978595057,0.0,-0.00272426542128823,0.17383254474387985,0.9824868651488616,,95657600,239144,50
5,fedavg,mnist,100,iid,,1,0,0,9.812438673671242,0.5063,0.9852111305701499,0.0,-0.001362132710644115,0.17383254474387985,0.9838489978595057,,119572000,239144,50
6,fedavg,mnist,100,iid,,1,0,0,10.388231564281439,0.5067,0.9859894921190894,0.0,-0.0007783615489395102,0.17383254474387985,0.9846273594084453,,143486400,239144,50
7,fedavg,mnist,100,iid,,1,0,0,10.30135306603855,0.5073,0.9871570344424986,0.0,-0.0011675423234092097,0.17383254474387985,0.9857949017318545,,167400800,239144,50
8,fedavg,mnist,100,iid,,1,0,0,10.259738072278724,0.5078,0.9881299863786729,0.0,-0.0009729519361743044,0.17383254474387985,0.9867678536680288,,191315200,239144,50
9,fedavg,mnist,100,iid,,1,0,0,10.045204213826848,0.5084,0.9892975287020821,0.0,-0.0011675423234092097,0.17383254474387985,0.987935395991438,,215229600,239144,50
10,fedavg,mnist,100,iid,,1,0,1,10.106154480503488,0.5086,0.9896867094765519,0.0,-0.0003891807744698106,0.17383254474387985,0.9883245767659078,,239144000,239144,50
11,fedavg,mnist,100,iid,,2,1,0,10.831406726896763,0.4572,0.0,0.9405472125077144,0.9896867094765519,-0.7667146677638346,-0.0013621327106440942,,263058400,239144,50
12,fedavg,mnist,100,iid,,2,0,0,12.822226977927983,0.4654,0.0,0.957416169512446,0.9896867094765519,-0.016868957004731566,-0.0013621327106440942,,286972800,239144,50
13,fedavg,mnist,100,iid,,2,0,0,13.398354901713878,0.4697,0.0,0.966262085990537,0.9896867094765519,-0.008845916478090965,-0.0013621327106440942,,310887200,239144,50
14,fedavg,mnist,100,iid,,2,0,0,13.910277091465518,0.4721,0.0,0.9711993416992388,0.9896867094765519,-0.004937255708701849,-0.0013621327106440942,,334801600,239144,50
15,fedavg,mnist,100,iid,,2,0,0,14.244081204655673,0.4731,0.0,0.9732565315778646,0.9896867094765519,-0.002057189878625798,-0.0013621327106440942,,358716000,239144,50
16,fedavg,mnist,100,iid,,2,0,0,14.934786423638835,0.4749,0.0,0.976959473359391,0.9896867094765519,-0.0037029417815264143,-0.0013621327106440942,,382630400,239144,50
17,fedavg,mnist,100,iid,,2,0,0,14.942436270283443,0.4748,0.0,0.9767537543715284,0.9896867094765519,0.0002057189878625909,-0.0013621327106440942,,406544800,239144,50
18,fedavg,mnist,100,iid,,2,0,0,14.940708003140008,0.4764,0.0,0.9800452581773298,0.9896867094765519,-0.0030857848179387526,-0.0013621327106440942,,430459200,239144,50
19,fedavg,mnist,100,iid,,2,0,0,15.21471923260875,0.4765,0.0,0.9802509771651924,0.9896867094765519,-0.0002057189878625909,-0.0013621327106440942,,454373600,239144,50
20,fedavg,mnist,100,iid,,2,0,1,15.581546351586516,0.4772,0.0,0.9816910100802304,0.9896867094765519,-0.0014400329150380253,-0.0013621327106440942,,478288000,239144,50
