round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,100,iid,,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,fedavg,mnist,100,iid,,1,1,0,8.10162757203728,0.4985,0.9700330803658299,0.0,-0.9686709476551858,0.17383254474387985,0.9686709476551858,,23914400,239144,50
2,fedavg,mnist,100,iid,,1,0,0,9.822359291395918,0.5025,0.9778166958552248,0.0,-0.0077836154893948795,0.17383254474387985,0.9764545631445807,,47828800,239144,50
3,fedavg,mnist,100,iid,,1,0,0,9.726289786514453,0.5042,0.9811247324382175,0.0,-0.003308036582992724,0.17383254474387985,0.9797625997275734,,71743200,239144,50
4,fedavg,mnist,100,iid,,1,0,0,9.896093944774242,0.5055,0.9836544074722708,0.0,-0.0025296750340533247,0.17383254474387985,0.9822922747616267,,95657600,239144,50
5,fedavg,mnist,100,iid,,1,0,0,9.596827975547313,0.5065,0.9856003113446196,0.0,-0.0019459038723487199,0.17383254474387985,0.9842381786339754,,119572000,239144,50
6,fedavg,mnist,100,iid,,1,0,0,10.233941374573718,0.5065,0.9856003113446196,0.0,0.0,0.17383254474387985,0.9842381786339754,,143486400,239144,50
7,fedavg,mnist,100,iid,,1,0,0,9.97904561740146,0.5074,0.9873516248297334,0.0,-0.0017513134851138146,0.17383254474387985,0.9859894921190893,,167400800,239144,50
8,fedavg,mnist,100,iid,,1,0,0,10.136605262637744,0.5077,0.987935395991438,0.0,-0.0005837711617046049,0.17383254474387985,0.9865732632807939,,191315200,239144,50
9,fedavg,mnist,100,iid,,1,0,0,9.980115519524249,0.5085,0.989492119089317,0.0,-0.0015567230978790203,0.17383254474387985,0.9881299863786729,,215229600,239144,50
10,fedavg,mnist,100,iid,,1,0,1,10.00061156044635,0.5087,0.9898812998637867,0.0,-0.00038918077446969956,0.17383254474387985,0.9885191671531426,,239144000,239144,50
11,fedavg,mnist,100,iid,,2,1,0,10.26444109506309,0.4584,0.0,0.9430158403620654,0.9898812998637867,-0.7691832956181855,-0.0013621327106440942,,263058400,239144,50
12,fedavg,mnist,100,iid,,2,0,0,12.99377606306784,0.4659,0.0,0.9584447644517589,0.9898812998637867,-0.01542892408969343,-0.0013621327106440942,,286972800,239144,50
13,fedavg,mnist,100,iid,,2,0,0,13.679910204475933,0.4695,0.0,0.9658506480148118,0.9898812998637867,-0.00740588356305294,-0.0013621327106440942,,310887200,239144,50
14,fedavg,mnist,100,iid,,2,0,0,14.193657237130775,0.4721,0.0,0.9711993416992388,0.9898812998637867,-0.0053486936844270305,-0.0013621327106440942,,334801600,239144,50
15,fedavg,mnist,100,iid,,2,0,0,14.346755586675181,0.4737,0.0,0.9744908455050401,0.9898812998637867,-0.0032915038058012325,-0.0013621327106440942,,358716000,239144,50
16,fedavg,mnist,100,iid,,2,0,0,14.782618922345527,0.4756,0.0,0.9783995062744292,0.9898812998637867,-0.003908660769389116,-0.0013621327106440942,,382630400,239144,50
17,fedavg,mnist,100,iid,,2,0,0,15.069250522846263,0.4762,0.0,0.9796338202016046,0.9898812998637867,-0.0012343139271754344,-0.0013621327106440942,,406544800,239144,50
18,fedavg,mnist,100,iid,,2,0,0,15.30638163773953,0.4764,0.0,0.9800452581773298,0.9898812998637867,-0.0004114379757251818,-0.0013621327106440942,,430459200,239144,50
19,fedavg,mnist,100,iid,,2,0,0,15.291330103925244,0.4768,0.0,0.98086813412878,0.9898812998637867,-0.0008228759514502526,-0.0013621327106440942,,454373600,239144,50
20,fedavg,mnist,100,iid,,2,0,1,15.694266865257779,0.4778,0.0,0.9829253240074058,0.9898812998637867,-0.002057189878625798,-0.0013621327106440942,,478288000,239144,50
