round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,0.01,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,0.01,1,1,0,11.089551306915283,0.1246,0.24245962249464875,0.0,-0.24109748978400466,0.17383254474387985,0.24109748978400466,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,0.01,1,0,0,30.340633032226563,0.101,0.1965362911072193,0.0,0.04592333138742946,0.17383254474387985,0.1951741583965752,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,0.01,1,0,0,21.71887913208008,0.1135,0.22086008951157812,0.0,0.02159953298307063,0.17383254474387985,0.21949795680093404,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,0.01,1,0,0,17.24558195800781,0.1763,0.34306285269507686,0.0,-0.1006032302004281,0.17383254474387985,0.34170071998443274,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,0.01,1,0,0,25.125267016601562,0.101,0.1965362911072193,0.0,0.14652656158785757,0.17383254474387985,0.1951741583965752,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,0.01,1,0,0,66.94574908447265,0.1135,0.22086008951157812,0.0,0.12220276318349874,0.17383254474387985,0.21949795680093404,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,0.01,1,0,0,64.30258878173828,0.101,0.1965362911072193,0.0,0.14652656158785757,0.17383254474387985,0.1951741583965752,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,0.01,1,0,0,22.507826141357423,0.1036,0.20159564117532594,0.0,0.14146721151975092,0.17383254474387985,0.20023350846468185,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,0.01,1,0,0,44.87664196777344,0.098,0.1906985794901732,0.0,0.15236427320490367,0.17383254474387985,0.1893364467795291,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,0.01,1,0,1,152.93387485351562,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,0.01,2,1,0,12.352239520263671,0.0892,0.0,0.1835013371734211,0.34306285269507686,-0.009668792429541245,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,0.01,2,0,0,200.64284841308594,0.1028,0.0,0.21147911952273196,0.34306285269507686,-0.027977782349310865,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,0.01,2,0,0,61.55717430419922,0.0892,0.0,0.1835013371734211,0.34306285269507686,0.027977782349310865,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,0.01,2,0,0,2.6881079662323,0.2262,0.0,0.4653363505451553,0.34306285269507686,-0.25385723102242336,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,0.01,2,0,0,28.675728125,0.0892,0.0,0.1835013371734211,0.34306285269507686,0.2818350133717342,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,0.01,2,0,0,2.53502551612854,0.1028,0.0,0.21147911952273196,0.34306285269507686,0.25385723102242336,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,0.01,2,0,0,25.444466595458984,0.0958,0.0,0.19707879037235138,0.34306285269507686,0.26825756017280394,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,0.01,2,0,0,15.68138000946045,0.0894,0.0,0.18391277514914628,0.34306285269507686,0.28142357539600904,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,0.01,2,0,0,3.256345344543457,0.1028,0.0,0.21147911952273196,0.34306285269507686,0.25385723102242336,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,0.01,2,0,1,3.5059536445617674,0.0892,0.0,0.1835013371734211,0.34306285269507686,0.2818350133717342,-0.0013621327106440942,,47828800,239144,5
