round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,0.01,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,0.01,1,1,0,11.089551223754883,0.1246,0.24245962249464875,0.0,-0.24109748978400466,0.17383254474387985,0.24109748978400466,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,0.01,1,0,0,30.3406305267334,0.101,0.1965362911072193,0.0,0.04592333138742946,0.17383254474387985,0.1951741583965752,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,0.01,1,0,0,21.71905362854004,0.1135,0.22086008951157812,0.0,0.02159953298307063,0.17383254474387985,0.21949795680093404,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,0.01,1,0,0,17.245477435302735,0.1763,0.34306285269507686,0.0,-0.1006032302004281,0.17383254474387985,0.34170071998443274,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,0.01,1,0,0,25.121448986816407,0.101,0.1965362911072193,0.0,0.14652656158785757,0.17383254474387985,0.1951741583965752,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,0.01,1,0,0,66.76932523193359,0.1135,0.22086008951157812,0.0,0.12220276318349874,0.17383254474387985,0.21949795680093404,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,0.01,1,0,0,64.26507697753907,0.101,0.1965362911072193,0.0,0.14652656158785757,0.17383254474387985,0.1951741583965752,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,0.01,1,0,0,22.527066506958008,0.1036,0.20159564117532594,0.0,0.14146721151975092,0.17383254474387985,0.20023350846468185,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,0.01,1,0,0,44.68344539794922,0.098,0.1906985794901732,0.0,0.15236427320490367,0.17383254474387985,0.1893364467795291,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,0.01,1,0,1,157.63944912109375,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,0.01,2,1,0,7.918661666107178,0.0892,0.0,0.1835013371734211,0.34306285269507686,-0.009668792429541245,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,0.01,2,0,0,27.484853912353515,0.1028,0.0,0.21147911952273196,0.34306285269507686,-0.027977782349310865,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,0.01,2,0,0,5.128968020629883,0.1009,0.0,0.20757045875334293,0.34306285269507686,0.003908660769389033,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,0.01,2,0,0,6.730035427093505,0.1612,0.0,0.3316190084344785,0.34306285269507686,-0.12013988891174654,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,0.01,2,0,0,3.234103063964844,0.1296,0.0,0.2666118082699033,0.34306285269507686,0.06500720016457517,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,0.01,2,0,0,8.387802578735352,0.1029,0.0,0.21168483851059453,0.34306285269507686,0.11993416992388398,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,0.01,2,0,0,3.238275925064087,0.0958,0.0,0.19707879037235138,0.34306285269507686,0.13454021806212713,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,0.01,2,0,0,9.202929249572755,0.1077,0.0,0.22155934992799836,0.34306285269507686,0.11005965850648014,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,0.01,2,0,0,13.167378329467773,0.1028,0.0,0.21147911952273196,0.34306285269507686,0.12013988891174654,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,0.01,2,0,1,24.24612929382324,0.0892,0.0,0.1835013371734211,0.34306285269507686,0.1481176712610574,-0.0013621327106440942,,47828800,239144,5
