round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,0.01,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,0.01,1,1,0,10.985191316223144,0.1807,0.3516248297334112,0.0,-0.3502626970227671,0.17383254474387985,0.3502626970227671,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,0.01,1,0,0,55.87792212524414,0.101,0.1965362911072193,0.0,0.1550885386261919,0.17383254474387985,0.1951741583965752,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,0.01,1,0,0,78.16894714355469,0.1331,0.25899980540961276,0.0,0.09262502432379843,0.17383254474387985,0.25763767269896864,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,0.01,1,0,0,38.85882717895508,0.0982,0.19108776026464291,0.0,0.16053706946876828,0.17383254474387985,0.18972562755399883,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,0.01,1,0,0,16.733275494384767,0.1012,0.19692547188168905,0.0,0.15469935785172215,0.17383254474387985,0.19556333917104496,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,0.01,1,0,0,14.063489512634277,0.2084,0.4055263669974703,0.0,-0.05390153726405911,0.17383254474387985,0.4041642342868262,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,0.01,1,0,0,65.66961407470703,0.101,0.1965362911072193,0.0,0.208990075890251,0.17383254474387985,0.1951741583965752,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,0.01,1,0,0,357.96050205078126,0.1032,0.20081727962638646,0.0,0.20470908737108384,0.17383254474387985,0.19945514691574237,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,0.01,1,0,0,1348.1648556640625,0.098,0.1906985794901732,0.0,0.2148277875072971,0.17383254474387985,0.1893364467795291,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,0.01,1,0,1,7721.56232421875,0.0982,0.19108776026464291,0.0,0.21443860673282739,0.17383254474387985,0.18972562755399883,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,0.01,2,1,0,6.67210594329834,0.1857,0.0,0.38202016046081055,0.4055263669974703,-0.2081876157169307,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,0.01,2,0,0,3.538265660095215,0.1028,0.0,0.21147911952273196,0.4055263669974703,0.1705410409380786,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,0.01,2,0,0,2.859882514190674,0.0974,0.0,0.20037029417815264,0.4055263669974703,0.18164986628265792,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,0.01,2,0,0,3.439750099563599,0.1046,0.0,0.21518206130425838,0.4055263669974703,0.16683809915655218,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,0.01,2,0,0,3.6485357479095457,0.0891,0.0,0.18329561818555853,0.4055263669974703,0.19872454227525202,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,0.01,2,0,0,59.32150473632812,0.108,0.0,0.2221765068915861,0.4055263669974703,0.15984365356922445,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,0.01,2,0,0,5.046886582565308,0.158,0.0003891807744697412,0.3246245628471508,0.40513718622300054,0.057395597613659755,-0.000972951936174353,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,0.01,2,0,0,4.794920384979248,0.1507,0.04008561977038334,0.2676404032092162,0.36544074722708697,0.11437975725159433,0.03872348705973925,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,0.01,2,0,0,10.610899592590332,0.1607,0.0,0.3305904134951656,0.4055263669974703,0.05142974696564495,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,0.01,2,0,1,15.48012582092285,0.0999,0.0,0.20551326887471713,0.4055263669974703,0.17650689158609342,-0.0013621327106440942,,47828800,239144,5
