round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,0.1,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,0.1,1,1,0,5.887779443693161,0.425,0.8270091457482001,0.0,-0.8256470130375559,0.17383254474387985,0.8256470130375559,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,0.1,1,0,0,5.03125481171608,0.406,0.7900369721735746,0.0,0.036972173574625455,0.17383254474387985,0.7886748394629305,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,0.1,1,0,0,7.23237701338497,0.4966,0.9663358630083674,0.0,-0.13932671726016732,0.17383254474387985,0.9649737302977233,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,0.1,1,0,0,7.86788925195809,0.5097,0.9918272037361354,0.0,-0.02549134072776804,0.17383254474387985,0.9904650710254913,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.035730271184818,0.5064,0.9854057209573847,0.0,0.0064214827787507645,0.17383254474387985,0.9840435882467405,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.696795893817068,0.5092,0.9908542517999611,0.0,0.0009729519361743044,0.17383254474387985,0.989492119089317,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.766432306960318,0.5072,0.9869624440552637,0.0,0.004864759680871744,0.17383254474387985,0.9856003113446196,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.90036287769936,0.4932,0.9597197898423818,0.0,0.0321074138937536,0.17383254474387985,0.9583576571317377,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,0.1,1,0,0,10.140916903421562,0.5041,0.9809301420509827,0.0,0.010897061685152698,0.17383254474387985,0.9795680093403386,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,0.1,1,0,1,10.876735014645941,0.5053,0.9832652266978011,0.0,0.008561977038334279,0.17383254474387985,0.981903093987157,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,0.1,2,1,0,7.223920881938934,0.3684,0.0,0.7578687512857437,0.9918272037361354,-0.5840362065418638,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,0.1,2,0,0,10.16617480969578,0.4678,0.0,0.9623534252211479,0.9918272037361354,-0.20448467393540415,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,0.1,2,0,0,12.170839748229342,0.4796,0.0,0.9866282657889324,0.9918272037361354,-0.024274840567784506,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,0.1,2,0,0,12.768587746429443,0.4454,0.0,0.91627237193993,0.9918272037361354,0.07035589384900232,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,0.1,2,0,0,13.52831886337786,0.466,0.0,0.9586504834396214,0.9918272037361354,0.02797778234931092,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,0.1,2,0,0,15.634642234585154,0.4674,0.0,0.9615305492696976,0.9918272037361354,0.02509771651923476,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,0.1,2,0,0,14.276209980752325,0.4805,0.0,0.9884797366796956,0.9918272037361354,-0.0018514708907632071,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,0.1,2,0,0,14.705883776977588,0.478,0.0,0.983336761983131,0.9918272037361354,0.005142974696564551,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,0.1,2,0,0,15.10235473222578,0.478,0.0,0.983336761983131,0.9918272037361354,0.005142974696564551,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,0.1,2,0,1,16.736845241222735,0.4763,0.0,0.9798395391894672,0.9918272037361354,0.008640197490228374,-0.0013621327106440942,,47828800,239144,5
