round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,0.1,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,0.1,1,1,0,5.872427153193951,0.4235,0.824090289939677,0.0,-0.8227281572290329,0.17383254474387985,0.8227281572290329,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,0.1,1,0,0,4.927961181354522,0.4097,0.7972368165012649,0.0,0.026853473438412157,0.17383254474387985,0.7958746837906208,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,0.1,1,0,0,7.364138784463075,0.4972,0.9675034053317766,0.0,-0.14341311539209955,0.17383254474387985,0.9661412726211325,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,0.1,1,0,0,7.954434839420021,0.5097,0.9918272037361354,0.0,-0.024323798404358832,0.17383254474387985,0.9904650710254913,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.097189237662777,0.5067,0.9859894921190894,0.0,0.005837711617046049,0.17383254474387985,0.9846273594084453,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.685807896577847,0.5095,0.9914380229616657,0.0,0.00038918077446969956,0.17383254474387985,0.9900758902510216,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.743473352899683,0.507,0.986573263280794,0.0,0.005253940455341444,0.17383254474387985,0.9852111305701499,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.84012366725821,0.4943,0.9618602841019653,0.0,0.029966919634170086,0.17383254474387985,0.9604981513913212,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,0.1,1,0,0,10.10814068750739,0.504,0.9807355516637478,0.0,0.011091652072387603,0.17383254474387985,0.9793734189531037,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,0.1,1,0,1,10.841683477708884,0.5056,0.9838489978595057,0.0,0.007978205876629674,0.17383254474387985,0.9824868651488616,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,0.1,2,1,0,7.022666324949265,0.3784,0.0,0.7784406500720017,0.9918272037361354,-0.6046081053281218,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,0.1,2,0,0,9.959851778977365,0.467,0.0,0.9607076733182472,0.9918272037361354,-0.18226702324624555,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,0.1,2,0,0,11.895755042039417,0.4798,0.0,0.9870397037646574,0.9918272037361354,-0.026332030446410193,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,0.1,2,0,0,12.415676151169091,0.4447,0.0,0.914832339024892,0.9918272037361354,0.07220736473976541,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,0.1,2,0,0,13.248190734657925,0.4665,0.0,0.9596790783789344,0.9918272037361354,0.027360625385723036,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,0.1,2,0,0,15.14866722824145,0.4671,0.0,0.9609133923061098,0.9918272037361354,0.026126311458547602,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,0.1,2,0,0,13.869205057640082,0.4802,0.0,0.9878625797161078,0.9918272037361354,-0.0008228759514503636,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,0.1,2,0,0,14.331853487004713,0.4781,0.0,0.9835424809709936,0.9918272037361354,0.004320098745114187,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,0.1,2,0,0,14.722212182677191,0.4777,0.0,0.9827196050195433,0.9918272037361354,0.005142974696564551,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,0.1,2,0,1,16.29794852370721,0.4751,0.0,0.9773709113351162,0.9918272037361354,0.010491668380991581,-0.0013621327106440942,,47828800,239144,5
