round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,0.1,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,0.1,1,1,0,6.735962753677368,0.3324,0.6468184471687098,0.0,-0.6454563144580657,0.17383254474387985,0.6454563144580657,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,0.1,1,0,0,4.581130845403671,0.3293,0.6407861451644289,0.0,0.006032302004280954,0.17383254474387985,0.6394240124537848,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,0.1,1,0,0,6.845800193533301,0.4833,0.9404553415061296,0.0,-0.2936368943374198,0.17383254474387985,0.9390932087954855,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,0.1,1,0,0,7.726630214774632,0.5092,0.9908542517999611,0.0,-0.05039891029383148,0.17383254474387985,0.989492119089317,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,0.1,1,0,0,8.513136868879199,0.5038,0.9803463708892781,0.0,0.010507880910682998,0.17383254474387985,0.978984238178634,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.124372079208634,0.5088,0.9900758902510216,0.0,0.0007783615489395102,0.17383254474387985,0.9887137575403775,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,0.1,1,0,0,8.562279534639417,0.5057,0.9840435882467407,0.0,0.006810663553220464,0.17383254474387985,0.9826814555360965,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,0.1,1,0,0,8.886590270539745,0.489,0.9515469935785172,0.0,0.039307258221443875,0.17383254474387985,0.9501848608678731,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,0.1,1,0,0,9.279962603191473,0.5022,0.9772329246935202,0.0,0.013621327106440928,0.17383254474387985,0.9758707919828761,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,0.1,1,0,1,10.176064824065659,0.5057,0.9840435882467407,0.0,0.006810663553220464,0.17383254474387985,0.9826814555360965,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,0.1,2,1,0,7.553325585269928,0.3702,0.0,0.7615716930672701,0.9908542517999611,-0.5877391483233902,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,0.1,2,0,0,9.256158181077241,0.4682,0.0,0.9631763011725982,0.9908542517999611,-0.2016046081053281,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,0.1,2,0,0,11.13026865735238,0.4803,0.0,0.9880682987039704,0.9908542517999611,-0.024891997531372168,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,0.1,2,0,0,11.770953233284317,0.4445,0.0,0.9144209010491668,0.9908542517999611,0.07364739765480355,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,0.1,2,0,0,12.399062146742363,0.4664,0.0,0.9594733593910718,0.9908542517999611,0.028594939312898582,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,0.1,2,0,0,13.785475175911374,0.4672,0.0,0.9611191112939724,0.9908542517999611,0.026949187409997966,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,0.1,2,0,0,12.218061691987597,0.4804,0.0,0.988274017691833,0.9908542517999611,-0.0002057189878625909,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,0.1,2,0,0,12.851450148211827,0.4784,0.0,0.9841596379345814,0.9908542517999611,0.004114379757251596,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,0.1,2,0,0,13.533328674933317,0.4781,0.0,0.9835424809709936,0.9908542517999611,0.004731536720839369,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,0.1,2,0,1,14.901900943601692,0.4757,0.0,0.9786052252622917,0.9908542517999611,0.009668792429541329,-0.0013621327106440942,,47828800,239144,5
