round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,0.5,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,0.5,1,1,0,5.981385330592095,0.4748,0.9239151585911656,0.0,-0.9225530258805215,0.17383254474387985,0.9225530258805215,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,0.5,1,0,0,7.099026236944459,0.5103,0.9929947460595446,0.0,-0.06907958746837906,0.17383254474387985,0.9916326133489005,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.178029932873478,0.5085,0.989492119089317,0.0,0.003502626970227629,0.17383254474387985,0.9881299863786729,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.393032931465212,0.5118,0.9959136018680678,0.0,-0.0029188558085231353,0.17383254474387985,0.9945514691574237,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.54248680386006,0.512,0.9963027826425375,0.0,-0.00038918077446969956,0.17383254474387985,0.9949406499318934,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.995941495389642,0.5121,0.9964973730297724,0.0,-0.0001945903872349053,0.17383254474387985,0.9951352403191283,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,0.5,1,0,0,9.050529530201771,0.5118,0.9959136018680678,0.0,0.0005837711617046049,0.17383254474387985,0.9945514691574237,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,0.5,1,0,0,9.560768867511884,0.5124,0.997081144191477,0.0,-0.0005837711617046049,0.17383254474387985,0.9957190114808329,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,0.5,1,0,0,10.020244423617175,0.5123,0.9968865538042421,0.0,0.0001945903872349053,0.17383254474387985,0.995524421093598,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,0.5,1,0,1,10.143994290861082,0.5124,0.997081144191477,0.0,0.0,0.17383254474387985,0.9957190114808329,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,0.5,2,1,0,9.193283024796099,0.4769,0.0,0.9810738531166426,0.997081144191477,-0.8072413083727628,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,0.5,2,0,0,12.88829826654992,0.4792,0.0,0.985805389837482,0.997081144191477,-0.004731536720839369,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,0.5,2,0,0,13.870615680275403,0.4816,0.0,0.990742645546184,0.997081144191477,-0.00493725570870196,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,0.5,2,0,0,14.536999296771182,0.4798,0.0,0.9870397037646574,0.997081144191477,0.0037029417815265253,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,0.5,2,0,0,14.749327067743318,0.4808,0.0,0.9890968936432832,0.997081144191477,0.0016457519029007273,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,0.5,2,0,0,15.45352855791421,0.4822,0.0,0.9919769594733594,0.997081144191477,-0.0012343139271754344,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,0.5,2,0,0,15.91242176947173,0.4815,0.0,0.9905369265583214,0.997081144191477,0.0014400329150380253,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,0.5,2,0,0,14.81892355238722,0.4814,0.0,0.9903312075704588,0.997081144191477,0.0016457519029006162,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,0.5,2,0,0,15.157248547130148,0.4816,0.0,0.990742645546184,0.997081144191477,0.0012343139271754344,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,0.5,2,0,1,16.420768534325937,0.4819,0.0,0.9913598025097716,0.997081144191477,0.0006171569635877727,-0.0013621327106440942,,47828800,239144,5
