round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,0.5,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,0.5,1,1,0,5.994862390357256,0.475,0.9243043393656354,0.0,-0.9229422066549913,0.17383254474387985,0.9229422066549913,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,0.5,1,0,0,7.093142154638946,0.5102,0.9928001556723098,0.0,-0.06849581630667445,0.17383254474387985,0.9914380229616657,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.167067529973004,0.5085,0.989492119089317,0.0,0.003308036582992835,0.17383254474387985,0.9881299863786729,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.379847252519479,0.5119,0.9961081922553026,0.0,-0.003308036582992724,0.17383254474387985,0.9947460595446584,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.557395367483632,0.512,0.9963027826425375,0.0,-0.0001945903872349053,0.17383254474387985,0.9949406499318934,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.992882564687612,0.5121,0.9964973730297724,0.0,-0.0001945903872349053,0.17383254474387985,0.9951352403191283,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,0.5,1,0,0,9.031246087427661,0.5119,0.9961081922553026,0.0,0.0003891807744698106,0.17383254474387985,0.9947460595446584,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,0.5,1,0,0,9.55050537902443,0.5124,0.997081144191477,0.0,-0.0005837711617046049,0.17383254474387985,0.9957190114808329,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,0.5,1,0,0,10.04007086917388,0.5123,0.9968865538042421,0.0,0.0001945903872349053,0.17383254474387985,0.995524421093598,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,0.5,1,0,1,10.103218584335238,0.5125,0.9972757345787118,0.0,-0.00019459038723479427,0.17383254474387985,0.9959136018680677,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,0.5,2,1,0,8.773796059323102,0.4767,0.0,0.9806624151409175,0.9972757345787118,-0.8068298703970376,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,0.5,2,0,0,12.72992722451284,0.4794,0.0,0.9862168278132072,0.9972757345787118,-0.0055544126722897325,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,0.5,2,0,0,13.907503678883517,0.482,0.0,0.9915655214976342,0.9972757345787118,-0.0053486936844270305,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,0.5,2,0,0,14.45168135090853,0.48,0.0,0.9874511417403826,0.9972757345787118,0.004114379757251596,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,0.5,2,0,0,14.683422009233992,0.4806,0.0,0.9886854556675582,0.9972757345787118,0.0028800658300760507,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,0.5,2,0,0,15.437086781473278,0.4822,0.0,0.9919769594733594,0.9972757345787118,-0.0004114379757251818,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,0.5,2,0,0,15.99553984776637,0.4816,0.0,0.990742645546184,0.9972757345787118,0.0012343139271754344,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,0.5,2,0,0,14.791949664490323,0.4816,0.0,0.990742645546184,0.9972757345787118,0.0012343139271754344,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,0.5,2,0,0,15.251232432310317,0.4815,0.0,0.9905369265583214,0.9972757345787118,0.0014400329150380253,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,0.5,2,0,1,16.32663647342164,0.482,0.0,0.9915655214976342,0.9972757345787118,0.0004114379757251818,-0.0013621327106440942,,47828800,239144,5
