round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,0.5,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,0.5,1,1,0,5.986496002835035,0.4749,0.9241097489784005,0.0,-0.9227476162677564,0.17383254474387985,0.9227476162677564,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,0.5,1,0,0,7.105186870335497,0.5103,0.9929947460595446,0.0,-0.06888499708114415,0.17383254474387985,0.9916326133489005,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.206851951539456,0.5085,0.989492119089317,0.0,0.003502626970227629,0.17383254474387985,0.9881299863786729,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.380980632642022,0.512,0.9963027826425375,0.0,-0.003308036582992835,0.17383254474387985,0.9949406499318934,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,0.5,1,0,0,8.54696131805745,0.512,0.9963027826425375,0.0,0.0,0.17383254474387985,0.9949406499318934,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,0.5,1,0,0,9.027998647675252,0.5122,0.9966919634170072,0.0,-0.00038918077446969956,0.17383254474387985,0.995329830706363,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,0.5,1,0,0,9.050145817383157,0.5119,0.9961081922553026,0.0,0.0005837711617046049,0.17383254474387985,0.9947460595446584,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,0.5,1,0,0,9.511783436882915,0.5124,0.997081144191477,0.0,-0.0003891807744698106,0.17383254474387985,0.9957190114808329,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,0.5,1,0,0,10.030438673319534,0.5123,0.9968865538042421,0.0,0.0001945903872349053,0.17383254474387985,0.995524421093598,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,0.5,1,0,1,10.138614957731024,0.5124,0.997081144191477,0.0,0.0,0.17383254474387985,0.9957190114808329,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,0.5,2,1,0,8.633149740632623,0.4776,0.0,0.9825138860316808,0.997081144191477,-0.8086813412878009,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,0.5,2,0,0,12.80994874357148,0.4792,0.0,0.985805389837482,0.997081144191477,-0.0032915038058012325,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,0.5,2,0,0,13.771702153078659,0.4818,0.0,0.991154083521909,0.997081144191477,-0.0053486936844270305,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,0.5,2,0,0,14.502739521945568,0.48,0.0,0.9874511417403826,0.997081144191477,0.0037029417815264143,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,0.5,2,0,0,14.788447049305699,0.4808,0.0,0.9890968936432832,0.997081144191477,0.002057189878625798,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,0.5,2,0,0,15.59230514700922,0.4818,0.0,0.991154083521909,0.997081144191477,0.0,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,0.5,2,0,0,16.107712960246896,0.4813,0.0,0.9901254885825962,0.997081144191477,0.0010285949393128435,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,0.5,2,0,0,14.838835809801841,0.4813,0.0,0.9901254885825962,0.997081144191477,0.0010285949393128435,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,0.5,2,0,0,15.21326989228713,0.4815,0.0,0.9905369265583214,0.997081144191477,0.0006171569635876617,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,0.5,2,0,1,16.710311098193664,0.4818,0.0,0.991154083521909,0.997081144191477,0.0,-0.0013621327106440942,,47828800,239144,5
