round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,1.0,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,1.0,1,1,0,7.63459294046195,0.5095,0.9914380229616657,0.0,-0.9900758902510216,0.17383254474387985,0.9900758902510216,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,1.0,1,0,0,8.543494093057426,0.5113,0.9949406499318934,0.0,-0.003502626970227629,0.17383254474387985,0.9935785172212492,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,1.0,1,0,0,9.249242845832825,0.5124,0.997081144191477,0.0,-0.002140494259583625,0.17383254474387985,0.9957190114808329,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.197472027154593,0.5125,0.9972757345787118,0.0,-0.00019459038723479427,0.17383254474387985,0.9959136018680677,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.120121440418,0.5124,0.997081144191477,0.0,0.00019459038723479427,0.17383254474387985,0.9957190114808329,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.962654018940183,0.5127,0.9976649153531816,0.0,-0.0003891807744698106,0.17383254474387985,0.9963027826425375,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.388226997211838,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.600554308611354,0.5125,0.9972757345787118,0.0,0.0003891807744698106,0.17383254474387985,0.9959136018680677,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.810020802817222,0.5121,0.9964973730297724,0.0,0.0011675423234092097,0.17383254474387985,0.9951352403191283,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,1.0,1,0,1,11.07732045359799,0.5123,0.9968865538042421,0.0,0.0007783615489395102,0.17383254474387985,0.995524421093598,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,1.0,2,1,0,10.11259883254543,0.4794,0.0,0.9862168278132072,0.9976649153531816,-0.8123842830693273,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,1.0,2,0,0,13.963938234514895,0.4805,0.0,0.9884797366796956,0.9976649153531816,-0.002262908866488389,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.071884743778465,0.4824,0.0,0.9923883974490846,0.9976649153531816,-0.003908660769389005,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,1.0,2,0,0,13.661923632439313,0.4826,0.0,0.9927998354248098,0.9976649153531816,-0.0004114379757251818,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,1.0,2,0,0,15.132579183690046,0.4824,0.0,0.9923883974490846,0.9976649153531816,0.0004114379757251818,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.485349784288049,0.483,0.0,0.99362271137626,0.9976649153531816,-0.0008228759514502526,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.067550195201562,0.4829,0.0,0.9934169923883974,0.9976649153531816,0.0002057189878625909,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.8793778546635,0.4829,0.0,0.9934169923883974,0.9976649153531816,0.0002057189878625909,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,1.0,2,0,0,15.185843905930183,0.4828,0.0,0.9932112734005348,0.9976649153531816,0.0004114379757251818,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,1.0,2,0,1,15.30734884674906,0.4833,0.0,0.9942398683398478,0.9976649153531816,-0.0006171569635877727,-0.0013621327106440942,,47828800,239144,5
