round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,1.0,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,1.0,1,1,0,7.746552539611771,0.5099,0.9922163845106052,0.0,-0.9908542517999611,0.17383254474387985,0.9908542517999611,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,1.0,1,0,0,8.723699292931244,0.5113,0.9949406499318934,0.0,-0.002724265421288119,0.17383254474387985,0.9935785172212492,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,1.0,1,0,0,9.175111823621707,0.512,0.9963027826425375,0.0,-0.001362132710644115,0.17383254474387985,0.9949406499318934,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.030848223829592,0.5128,0.9978595057404164,0.0,-0.0015567230978789093,0.17383254474387985,0.9964973730297723,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.239058882118416,0.5124,0.997081144191477,0.0,0.0007783615489393991,0.17383254474387985,0.9957190114808329,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.631658430462956,0.5126,0.9974703249659467,0.0,0.00038918077446969956,0.17383254474387985,0.9961081922553026,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.502895863436642,0.5122,0.9966919634170072,0.0,0.0011675423234092097,0.17383254474387985,0.995329830706363,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.68546643950564,0.5125,0.9972757345787118,0.0,0.0005837711617046049,0.17383254474387985,0.9959136018680677,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.933879168792151,0.5121,0.9964973730297724,0.0,0.001362132710644004,0.17383254474387985,0.9951352403191283,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,1.0,1,0,1,11.192327023116547,0.5124,0.997081144191477,0.0,0.0007783615489393991,0.17383254474387985,0.9957190114808329,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,1.0,2,1,0,10.20570459640762,0.4792,0.0,0.985805389837482,0.9978595057404164,-0.8119728450936021,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.104950211763242,0.4797,0.0,0.9868339847767948,0.9978595057404164,-0.0010285949393128435,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.112738306478219,0.4821,0.0,0.9917712404854968,0.9978595057404164,-0.00493725570870196,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,1.0,2,0,0,13.714181151020023,0.4826,0.0,0.9927998354248098,0.9978595057404164,-0.0010285949393129545,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,1.0,2,0,0,15.069746809205844,0.4826,0.0,0.9927998354248098,0.9978595057404164,0.0,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.714191149098438,0.483,0.0,0.99362271137626,0.9978595057404164,-0.0008228759514502526,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.535057748448287,0.483,0.0,0.99362271137626,0.9978595057404164,0.0,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,1.0,2,0,0,15.040046187621696,0.4829,0.0,0.9934169923883974,0.9978595057404164,0.0002057189878625909,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,1.0,2,0,0,15.368648790690267,0.4826,0.0,0.9927998354248098,0.9978595057404164,0.0008228759514502526,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,1.0,2,0,1,15.465947401703778,0.4826,0.0,0.9927998354248098,0.9978595057404164,0.0008228759514502526,-0.0013621327106440942,,47828800,239144,5
