round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,dirichlet,1.0,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,dirichlet,1.0,1,1,0,7.778509444458352,0.5099,0.9922163845106052,0.0,-0.9908542517999611,0.17383254474387985,0.9908542517999611,,2391440,239144,5
2,fedavg,mnist,10,dirichlet,1.0,1,0,0,8.686298657268187,0.5112,0.9947460595446584,0.0,-0.0025296750340532137,0.17383254474387985,0.9933839268340143,,4782880,239144,5
3,fedavg,mnist,10,dirichlet,1.0,1,0,0,9.133678017550318,0.5122,0.9966919634170072,0.0,-0.0019459038723487199,0.17383254474387985,0.995329830706363,,7174320,239144,5
4,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.036945689122678,0.5127,0.9976649153531816,0.0,-0.0009729519361744154,0.17383254474387985,0.9963027826425375,,9565760,239144,5
5,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.1915013651817,0.5123,0.9968865538042421,0.0,0.0007783615489395102,0.17383254474387985,0.995524421093598,,11957200,239144,5
6,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.668127935183035,0.5126,0.9974703249659467,0.0,0.0001945903872349053,0.17383254474387985,0.9961081922553026,,14348640,239144,5
7,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.488209785311588,0.5122,0.9966919634170072,0.0,0.0009729519361744154,0.17383254474387985,0.995329830706363,,16740080,239144,5
8,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.538553826727695,0.5126,0.9974703249659467,0.0,0.0001945903872349053,0.17383254474387985,0.9961081922553026,,19131520,239144,5
9,fedavg,mnist,10,dirichlet,1.0,1,0,0,10.94631682179517,0.5121,0.9964973730297724,0.0,0.0011675423234092097,0.17383254474387985,0.9951352403191283,,21522960,239144,5
10,fedavg,mnist,10,dirichlet,1.0,1,0,1,11.11667558834275,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,23914400,239144,5
11,fedavg,mnist,10,dirichlet,1.0,2,1,0,10.253618663962419,0.4795,0.0,0.9864225468010698,0.9976649153531816,-0.8125900020571899,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,dirichlet,1.0,2,0,0,13.771445125203893,0.4802,0.0,0.9878625797161078,0.9976649153531816,-0.0014400329150380253,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,dirichlet,1.0,2,0,0,13.803400098537537,0.4827,0.0,0.9930055544126722,0.9976649153531816,-0.00514297469656444,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,dirichlet,1.0,2,0,0,13.331602726986862,0.483,0.0,0.99362271137626,0.9976649153531816,-0.0006171569635877727,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.709009414814831,0.4825,0.0,0.9925941164369472,0.9976649153531816,0.0010285949393128435,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.290226346082509,0.4833,0.0,0.9942398683398478,0.9976649153531816,-0.0006171569635877727,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.270588852224805,0.4829,0.0,0.9934169923883974,0.9976649153531816,0.0008228759514503636,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.808797857112662,0.4827,0.0,0.9930055544126722,0.9976649153531816,0.0012343139271755454,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,dirichlet,1.0,2,0,0,14.903303007503363,0.4826,0.0,0.9927998354248098,0.9976649153531816,0.0014400329150380253,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,dirichlet,1.0,2,0,1,15.11274501106391,0.4833,0.0,0.9942398683398478,0.9976649153531816,0.0,-0.0013621327106440942,,47828800,239144,5
