round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,iid,,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,iid,,1,1,0,7.585764890269236,0.5092,0.9908542517999611,0.0,-0.989492119089317,0.17383254474387985,0.989492119089317,,2391440,239144,5
2,fedavg,mnist,10,iid,,1,0,0,9.3984483478338,0.5103,0.9929947460595446,0.0,-0.002140494259583514,0.17383254474387985,0.9916326133489005,,4782880,239144,5
3,fedavg,mnist,10,iid,,1,0,0,10.118636249765027,0.5114,0.9951352403191283,0.0,-0.002140494259583625,0.17383254474387985,0.9937731076084841,,7174320,239144,5
4,fedavg,mnist,10,iid,,1,0,0,10.00959989908644,0.5121,0.9964973730297724,0.0,-0.001362132710644115,0.17383254474387985,0.9951352403191283,,9565760,239144,5
5,fedavg,mnist,10,iid,,1,0,0,10.221182099950735,0.5117,0.9957190114808329,0.0,0.0007783615489395102,0.17383254474387985,0.9943568787701887,,11957200,239144,5
6,fedavg,mnist,10,iid,,1,0,0,10.308671653260136,0.5118,0.9959136018680678,0.0,0.0005837711617046049,0.17383254474387985,0.9945514691574237,,14348640,239144,5
7,fedavg,mnist,10,iid,,1,0,0,10.851400977561068,0.5124,0.997081144191477,0.0,-0.0005837711617046049,0.17383254474387985,0.9957190114808329,,16740080,239144,5
8,fedavg,mnist,10,iid,,1,0,0,11.279670518069164,0.5124,0.997081144191477,0.0,0.0,0.17383254474387985,0.9957190114808329,,19131520,239144,5
9,fedavg,mnist,10,iid,,1,0,0,11.900720798577762,0.5123,0.9968865538042421,0.0,0.0001945903872349053,0.17383254474387985,0.995524421093598,,21522960,239144,5
10,fedavg,mnist,10,iid,,1,0,1,12.219033434906272,0.5125,0.9972757345787118,0.0,-0.00019459038723479427,0.17383254474387985,0.9959136018680677,,23914400,239144,5
11,fedavg,mnist,10,iid,,2,1,0,14.173381559648622,0.4789,0.0,0.9851882328738942,0.9972757345787118,-0.8113556881300144,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,iid,,2,0,0,16.049322059958847,0.4813,0.0,0.9901254885825962,0.9972757345787118,-0.00493725570870196,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,iid,,2,0,0,16.345680895818592,0.4813,0.0,0.9901254885825962,0.9972757345787118,0.0,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,iid,,2,0,0,16.918213249239688,0.4826,0.0,0.9927998354248098,0.9972757345787118,-0.0026743468422135708,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,iid,,2,0,0,17.2796780313884,0.4822,0.0,0.9919769594733594,0.9972757345787118,0.0008228759514503636,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,iid,,2,0,0,17.698037332044773,0.4822,0.0,0.9919769594733594,0.9972757345787118,0.0008228759514503636,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,iid,,2,0,0,16.632500361330457,0.4826,0.0,0.9927998354248098,0.9972757345787118,0.0,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,iid,,2,0,0,17.642076198478712,0.4825,0.0,0.9925941164369472,0.9972757345787118,0.0002057189878625909,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,iid,,2,0,0,17.914330401353563,0.4822,0.0,0.9919769594733594,0.9972757345787118,0.0008228759514503636,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,iid,,2,0,1,16.8648525318338,0.483,0.0,0.99362271137626,0.9972757345787118,-0.0008228759514502526,-0.0013621327106440942,,47828800,239144,5
