round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,iid,,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,iid,,1,1,0,7.403016655851156,0.5095,0.9914380229616657,0.0,-0.9900758902510216,0.17383254474387985,0.9900758902510216,,2391440,239144,5
2,fedavg,mnist,10,iid,,1,0,0,9.436265568743215,0.511,0.9943568787701887,0.0,-0.0029188558085230243,0.17383254474387985,0.9929947460595446,,4782880,239144,5
3,fedavg,mnist,10,iid,,1,0,0,9.867325062954752,0.5117,0.9957190114808329,0.0,-0.001362132710644115,0.17383254474387985,0.9943568787701887,,7174320,239144,5
4,fedavg,mnist,10,iid,,1,0,0,10.082011654415417,0.5118,0.9959136018680678,0.0,-0.0001945903872349053,0.17383254474387985,0.9945514691574237,,9565760,239144,5
5,fedavg,mnist,10,iid,,1,0,0,10.247418061736322,0.5118,0.9959136018680678,0.0,0.0,0.17383254474387985,0.9945514691574237,,11957200,239144,5
6,fedavg,mnist,10,iid,,1,0,0,10.696122202888054,0.5119,0.9961081922553026,0.0,-0.00019459038723479427,0.17383254474387985,0.9947460595446584,,14348640,239144,5
7,fedavg,mnist,10,iid,,1,0,0,10.908526263667984,0.5123,0.9968865538042421,0.0,-0.0007783615489395102,0.17383254474387985,0.995524421093598,,16740080,239144,5
8,fedavg,mnist,10,iid,,1,0,0,11.401618345082182,0.5126,0.9974703249659467,0.0,-0.0005837711617046049,0.17383254474387985,0.9961081922553026,,19131520,239144,5
9,fedavg,mnist,10,iid,,1,0,0,11.924573392329222,0.5123,0.9968865538042421,0.0,0.0005837711617046049,0.17383254474387985,0.995524421093598,,21522960,239144,5
10,fedavg,mnist,10,iid,,1,0,1,11.735676592096935,0.5125,0.9972757345787118,0.0,0.0001945903872349053,0.17383254474387985,0.9959136018680677,,23914400,239144,5
11,fedavg,mnist,10,iid,,2,1,0,13.428917238732893,0.4791,0.0,0.9855996708496194,0.9974703249659467,-0.8117671261057395,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,iid,,2,0,0,16.21558131922494,0.4806,0.0,0.9886854556675582,0.9974703249659467,-0.0030857848179387526,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,iid,,2,0,0,16.114527050858367,0.4812,0.0,0.9899197695947336,0.9974703249659467,-0.0012343139271754344,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,iid,,2,0,0,17.058645702807873,0.4824,0.0,0.9923883974490846,0.9974703249659467,-0.00246862785435098,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,iid,,2,0,0,17.510410613722076,0.4826,0.0,0.9927998354248098,0.9974703249659467,-0.0004114379757251818,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,iid,,2,0,0,17.111483691876522,0.4824,0.0,0.9923883974490846,0.9974703249659467,0.0004114379757251818,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,iid,,2,0,0,16.54934549426522,0.4827,0.0,0.9930055544126722,0.9974703249659467,-0.00020571898786247989,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,iid,,2,0,0,17.894517516413732,0.4828,0.0,0.9932112734005348,0.9974703249659467,-0.0002057189878625909,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,iid,,2,0,0,18.459506152350297,0.4828,0.0,0.9932112734005348,0.9974703249659467,0.0,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,iid,,2,0,1,17.479302873453864,0.4828,0.0,0.9932112734005348,0.9974703249659467,0.0,-0.0013621327106440942,,47828800,239144,5
