round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,10,iid,,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,fedavg,mnist,10,iid,,1,1,0,7.354203958205134,0.5096,0.9916326133489005,0.0,-0.9902704806382564,0.17383254474387985,0.9902704806382564,,2391440,239144,5
2,fedavg,mnist,10,iid,,1,0,0,9.50595459384527,0.511,0.9943568787701887,0.0,-0.00272426542128823,0.17383254474387985,0.9929947460595446,,4782880,239144,5
3,fedavg,mnist,10,iid,,1,0,0,9.898896230907564,0.5117,0.9957190114808329,0.0,-0.001362132710644115,0.17383254474387985,0.9943568787701887,,7174320,239144,5
4,fedavg,mnist,10,iid,,1,0,0,10.05025194970312,0.5117,0.9957190114808329,0.0,0.0,0.17383254474387985,0.9943568787701887,,9565760,239144,5
5,fedavg,mnist,10,iid,,1,0,0,10.230265383234913,0.5117,0.9957190114808329,0.0,0.0,0.17383254474387985,0.9943568787701887,,11957200,239144,5
6,fedavg,mnist,10,iid,,1,0,0,10.686108092474878,0.5121,0.9964973730297724,0.0,-0.0007783615489395102,0.17383254474387985,0.9951352403191283,,14348640,239144,5
7,fedavg,mnist,10,iid,,1,0,0,10.878326642208087,0.5123,0.9968865538042421,0.0,-0.00038918077446969956,0.17383254474387985,0.995524421093598,,16740080,239144,5
8,fedavg,mnist,10,iid,,1,0,0,11.395196016685519,0.5126,0.9974703249659467,0.0,-0.0005837711617046049,0.17383254474387985,0.9961081922553026,,19131520,239144,5
9,fedavg,mnist,10,iid,,1,0,0,11.90305073635419,0.5123,0.9968865538042421,0.0,0.0005837711617046049,0.17383254474387985,0.995524421093598,,21522960,239144,5
10,fedavg,mnist,10,iid,,1,0,1,11.798933423791073,0.5125,0.9972757345787118,0.0,0.0001945903872349053,0.17383254474387985,0.9959136018680677,,23914400,239144,5
11,fedavg,mnist,10,iid,,2,1,0,13.187496271276753,0.4788,0.0,0.9849825138860316,0.9974703249659467,-0.8111499691421518,-0.0013621327106440942,,26305840,239144,5
12,fedavg,mnist,10,iid,,2,0,0,16.091223767534945,0.4808,0.0,0.9890968936432832,0.9974703249659467,-0.004114379757251596,-0.0013621327106440942,,28697280,239144,5
13,fedavg,mnist,10,iid,,2,0,0,15.912049636466726,0.4814,0.0,0.9903312075704588,0.9974703249659467,-0.0012343139271755454,-0.0013621327106440942,,31088720,239144,5
14,fedavg,mnist,10,iid,,2,0,0,16.823150610149426,0.4826,0.0,0.9927998354248098,0.9974703249659467,-0.00246862785435098,-0.0013621327106440942,,33480160,239144,5
15,fedavg,mnist,10,iid,,2,0,0,17.169291578090387,0.4826,0.0,0.9927998354248098,0.9974703249659467,0.0,-0.0013621327106440942,,35871600,239144,5
16,fedavg,mnist,10,iid,,2,0,0,16.771806054900257,0.4825,0.0,0.9925941164369472,0.9974703249659467,0.0002057189878625909,-0.0013621327106440942,,38263040,239144,5
17,fedavg,mnist,10,iid,,2,0,0,16.394302756505297,0.4829,0.0,0.9934169923883974,0.9974703249659467,-0.0006171569635876617,-0.0013621327106440942,,40654480,239144,5
18,fedavg,mnist,10,iid,,2,0,0,17.812819659803562,0.4828,0.0,0.9932112734005348,0.9974703249659467,0.0002057189878625909,-0.0013621327106440942,,43045920,239144,5
19,fedavg,mnist,10,iid,,2,0,0,18.157015331585544,0.4828,0.0,0.9932112734005348,0.9974703249659467,0.0002057189878625909,-0.0013621327106440942,,45437360,239144,5
20,fedavg,mnist,10,iid,,2,0,1,17.275715135588932,0.4829,0.0,0.9934169923883974,0.9974703249659467,0.0,-0.0013621327106440942,,47828800,239144,5
