round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,0.01,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,0.01,1,1,0,15.546696273803711,0.2016,0.3922942206654991,0.0,-0.390932087954855,0.17383254474387985,0.390932087954855,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,0.01,1,0,0,13.86980922241211,0.098,0.1906985794901732,0.0,0.20159564117532594,0.17383254474387985,0.1893364467795291,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,0.01,1,0,0,2.4205129013061524,0.098,0.1906985794901732,0.0,0.20159564117532594,0.17383254474387985,0.1893364467795291,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,0.01,1,0,0,14.924392697143555,0.0982,0.19108776026464291,0.0,0.2012064604008562,0.17383254474387985,0.18972562755399883,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,0.01,1,0,0,11.555387638854981,0.101,0.1965362911072193,0.0,0.19575792955827984,0.17383254474387985,0.1951741583965752,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,0.01,1,0,0,8.643049047851562,0.0982,0.19108776026464291,0.0,0.2012064604008562,0.17383254474387985,0.18972562755399883,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,0.01,1,0,0,26.659126977539064,0.101,0.1965362911072193,0.0,0.19575792955827984,0.17383254474387985,0.1951741583965752,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,0.01,1,0,0,10.150386614990234,0.1135,0.22086008951157812,0.0,0.171434131153921,0.17383254474387985,0.21949795680093404,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,0.01,1,0,0,9.317159454345703,0.1032,0.20081727962638646,0.0,0.19147694103911267,0.17383254474387985,0.19945514691574237,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,0.01,1,0,1,4.548677006530761,0.2044,0.3977427515080755,0.0,-0.005448530842576349,0.17383254474387985,0.39638061879743136,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,0.01,2,1,0,8.444186465454102,0.1028,0.0,0.21147911952273196,0.3977427515080755,-0.03764657477885211,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,0.01,2,0,0,3.8185578075408935,0.0974,0.0,0.20037029417815264,0.3977427515080755,0.011108825344579326,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,0.01,2,0,0,6.330366749954224,0.1028,0.0,0.21147911952273196,0.3977427515080755,0.0,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,0.01,2,0,0,3.512807311248779,0.1018,0.0,0.20942192964410616,0.3977427515080755,0.002057189878625798,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,0.01,2,0,0,8.945380572509766,0.1028,0.0,0.21147911952273196,0.3977427515080755,0.0,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,0.01,2,0,0,6.9761814079284665,0.1887,0.0,0.38819173009668795,0.3977427515080755,-0.17671261057395599,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,0.01,2,0,0,6.1797281192779545,0.2078,0.0,0.42748405677844065,0.3977427515080755,-0.0392923266817527,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,0.01,2,0,0,4.717231129837036,0.2577,0.0,0.5301378317218679,0.3977427515080755,-0.10265377494342726,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,0.01,2,0,0,10.103345403289795,0.1897,0.0,0.39024891997531375,0.3977427515080755,0.13988891174655416,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,0.01,2,0,1,6.360721530151367,0.0974,0.0,0.20037029417815264,0.3977427515080755,0.32976753754371524,-0.0013621327106440942,,239144000,239144,25
