round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,0.01,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,0.01,1,1,0,12.491122645568847,0.2025,0.39404553415061294,0.0,-0.3926834014399688,0.17383254474387985,0.3926834014399688,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,0.01,1,0,0,8.986556637573242,0.098,0.1906985794901732,0.0,0.20334695466043975,0.17383254474387985,0.1893364467795291,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,0.01,1,0,0,2.4805888679504395,0.1999,0.38898618408250635,0.0,0.005059350068106594,0.17383254474387985,0.38762405137186223,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,0.01,1,0,0,20.44029730834961,0.0982,0.19108776026464291,0.0,0.20295777388597003,0.17383254474387985,0.18972562755399883,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,0.01,1,0,0,21.038638641357423,0.1009,0.19634170071998444,0.0,0.1977038334306285,0.17383254474387985,0.19497956800934035,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,0.01,1,0,0,13.591256497192383,0.0982,0.19108776026464291,0.0,0.20295777388597003,0.17383254474387985,0.18972562755399883,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,0.01,1,0,0,12.293438293457031,0.1318,0.25647013037555944,0.0,0.1375754037750535,0.17383254474387985,0.2551079976649153,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,0.01,1,0,0,25.621383883666994,0.2097,0.4080560420315236,0.0,-0.014010507880910683,0.17383254474387985,0.4066939093208795,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,0.01,1,0,0,53.4479998840332,0.1032,0.20081727962638646,0.0,0.20723876240513717,0.17383254474387985,0.19945514691574237,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,0.01,1,0,1,6.0310017723083496,0.2285,0.4446390348316793,0.0,-0.0365829928001557,0.17383254474387985,0.4432769021210352,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,0.01,2,1,0,9.932370010375976,0.1028,0.0,0.21147911952273196,0.4446390348316793,-0.03764657477885211,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,0.01,2,0,0,7.649324040222168,0.0974,0.0,0.20037029417815264,0.4446390348316793,0.011108825344579326,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,0.01,2,0,0,13.098479753112793,0.1801,0.0,0.3704998971405061,0.4446390348316793,-0.1590207776177741,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,0.01,2,0,0,5.804371353912353,0.0974,0.0,0.20037029417815264,0.4446390348316793,0.17012960296235344,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,0.01,2,0,0,8.761240837097167,0.1028,0.0,0.21147911952273196,0.4446390348316793,0.1590207776177741,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,0.01,2,0,0,4.044847414016724,0.1646,0.0,0.3386134540218062,0.4446390348316793,0.03188644311869987,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,0.01,2,0,0,3.999642003250122,0.2004,0.0,0.41226085167660975,0.4446390348316793,-0.04176095453610368,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,0.01,2,0,0,5.408706575393677,0.1538,0.0,0.3163958033326476,0.4446390348316793,0.09586504834396214,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,0.01,2,0,0,9.897082591247559,0.222,0.0,0.45669615305492695,0.4446390348316793,-0.044435301378317194,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,0.01,2,0,1,3.6553391059875486,0.0974,0.0,0.20037029417815264,0.4446390348316793,0.2563258588767743,-0.0013621327106440942,,239144000,239144,25
