round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,0.01,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,0.01,1,1,0,28.90268284301758,0.0982,0.19108776026464291,0.0,-0.18972562755399883,0.17383254474387985,0.18972562755399883,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,0.01,1,0,0,24.190500985717772,0.1135,0.22086008951157812,0.0,-0.02977232924693521,0.17383254474387985,0.21949795680093404,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,0.01,1,0,0,80.45170352783204,0.098,0.1906985794901732,0.0,0.030161510021404936,0.17383254474387985,0.1893364467795291,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,0.01,1,0,0,16.88467877807617,0.1217,0.23681650126483753,0.0,-0.015956411753259403,0.17383254474387985,0.23545436855419344,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,0.01,1,0,0,27.82040949707031,0.098,0.1906985794901732,0.0,0.04611792177466434,0.17383254474387985,0.1893364467795291,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,0.01,1,0,0,18.033457427978515,0.101,0.1965362911072193,0.0,0.040280210157618235,0.17383254474387985,0.1951741583965752,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,0.01,1,0,0,7.946185301208496,0.1081,0.21035220860089512,0.0,0.0264642926639424,0.17383254474387985,0.20899007589025104,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,0.01,1,0,0,6.710356994628906,0.1135,0.22086008951157812,0.0,0.015956411753259403,0.17383254474387985,0.21949795680093404,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,0.01,1,0,0,80.99279906005859,0.1032,0.20081727962638646,0.0,0.03599922163845107,0.17383254474387985,0.19945514691574237,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,0.01,1,0,1,30.178290216064454,0.1135,0.22086008951157812,0.0,0.015956411753259403,0.17383254474387985,0.21949795680093404,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,0.01,2,1,0,81.51567915039062,0.1028,0.0,0.21147911952273196,0.23681650126483753,-0.03764657477885211,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,0.01,2,0,0,36.372154760742184,0.1009,0.0,0.20757045875334293,0.23681650126483753,0.003908660769389033,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,0.01,2,0,0,11.447760453033448,0.1893,0.0,0.3894260440238634,0.23681650126483753,-0.17794692450113142,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,0.01,2,0,0,5.017667332839966,0.2565,0.0,0.5276692038675169,0.23681650126483753,-0.13824315984365354,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,0.01,2,0,0,4.216813222885132,0.2528,0.0,0.5200576013166015,0.23681650126483753,0.0076116025509154195,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,0.01,2,0,0,10.564260185241698,0.0975,0.0,0.20057601316601523,0.23681650126483753,0.32709319070150167,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,0.01,2,0,0,9.514523725891113,0.1832,0.0,0.37687718576424606,0.23681650126483753,0.15079201810327086,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,0.01,2,0,0,3.9093095083236693,0.2469,0.0,0.5079201810327093,0.23681650126483753,0.019749022834807617,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,0.01,2,0,0,10.505904089355468,0.2617,0.0,0.5383665912363711,0.23681650126483753,-0.010697387368854172,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,0.01,2,0,1,19.00319726257324,0.0974,0.0,0.20037029417815264,0.23681650126483753,0.33799629705821843,-0.0013621327106440942,,239144000,239144,25
