round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,0.1,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,0.1,1,1,0,3.875053254508972,0.2328,0.45300642148277875,0.0,-0.45164428877213464,0.17383254474387985,0.45164428877213464,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,0.1,1,0,0,4.006036566734314,0.3856,0.750340533177661,0.0,-0.2973341116948823,0.17383254474387985,0.7489784004670169,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,0.1,1,0,0,5.193750557398796,0.4264,0.8297334111694882,0.0,-0.07939287799182715,0.17383254474387985,0.8283712784588441,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,0.1,1,0,0,6.705570937728882,0.3249,0.6322241681260946,0.0,0.19750924304339357,0.17383254474387985,0.6308620354154505,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,0.1,1,0,0,4.4202623437881465,0.3525,0.6859311150029188,0.0,0.14380229616656937,0.17383254474387985,0.6845689822922747,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,0.1,1,0,0,4.270583009338379,0.3955,0.7696049815139132,0.0,0.060128429655574966,0.17383254474387985,0.7682428488032691,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,0.1,1,0,0,5.520462400746346,0.4414,0.8589219692547189,0.0,-0.029188558085230687,0.17383254474387985,0.8575598365440747,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,0.1,1,0,0,6.395729878501221,0.4548,0.8849970811441915,0.0,-0.026075111889472646,0.17383254474387985,0.8836349484335474,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,0.1,1,0,0,6.413250397208985,0.4826,0.9390932087954855,0.0,-0.05409612765129401,0.17383254474387985,0.9377310760848414,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,0.1,1,0,1,6.101577435779571,0.416,0.8094960108970617,0.0,0.12959719789842383,0.17383254474387985,0.8081338781864176,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,0.1,2,1,0,5.023619266223908,0.3494,0.0,0.7187821435918536,0.9390932087954855,-0.5449495988479737,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,0.1,2,0,0,7.031805764615536,0.4196,0.0,0.8631968730713845,0.9390932087954855,-0.14441472947953093,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,0.1,2,0,0,8.940506020009519,0.4104,0.0,0.8442707261880271,0.9390932087954855,0.018926146883357364,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,0.1,2,0,0,9.24270818709135,0.4301,0.0,0.8847973667969553,0.9390932087954855,-0.021600493725570824,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,0.1,2,0,0,9.339835250736401,0.4694,0.0,0.9656449290269492,0.9390932087954855,-0.0808475622299939,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,0.1,2,0,0,10.473621852979157,0.4719,0.0,0.9707879037235136,0.9390932087954855,-0.00514297469656444,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,0.1,2,0,0,10.591072986091673,0.4709,0.0,0.9687307138448878,0.9390932087954855,0.002057189878625798,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,0.1,2,0,0,10.111853676486016,0.3643,0.0,0.7494342727833779,0.9390932087954855,0.22135363094013571,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,0.1,2,0,0,9.008636872501672,0.4305,0.0,0.8856202427484057,0.9390932087954855,0.08516766097510797,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,0.1,2,0,1,9.660561386448144,0.4347,0.0,0.894260440238634,0.9390932087954855,0.0765274634848796,-0.0013621327106440942,,239144000,239144,25
