round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,0.1,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,0.1,1,1,0,3.966997385978699,0.3068,0.597003308036583,0.0,-0.5956411753259389,0.17383254474387985,0.5956411753259389,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,0.1,1,0,0,5.0628116194725035,0.3307,0.6435104105857171,0.0,-0.04650710254913415,0.17383254474387985,0.642148277875073,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,0.1,1,0,0,4.891547901144624,0.4937,0.9606927417785561,0.0,-0.317182331192839,0.17383254474387985,0.959330609067912,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,0.1,1,0,0,6.079220829844475,0.491,0.9554388013232147,0.0,0.005253940455341444,0.17383254474387985,0.9540766686125706,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,0.1,1,0,0,6.426740959836357,0.4894,0.9523253551274568,0.0,0.008367386651099373,0.17383254474387985,0.9509632224168126,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,0.1,1,0,0,6.102623663118481,0.4971,0.9673088149445418,0.0,-0.00661607316598567,0.17383254474387985,0.9659466822338977,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,0.1,1,0,0,7.620106434059143,0.4037,0.7855613932671726,0.0,0.18174742167736924,0.17383254474387985,0.7841992605565284,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,0.1,1,0,0,4.69520472946167,0.4132,0.8040474800544853,0.0,0.16326133489005645,0.17383254474387985,0.8026853473438412,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,0.1,1,0,0,5.488193979549408,0.3552,0.6911850554582604,0.0,0.27612375948628143,0.17383254474387985,0.6898229227476163,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,0.1,1,0,1,3.7764615089833735,0.4643,0.9034831679315042,0.0,0.06382564701303761,0.17383254474387985,0.9021210352208601,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,0.1,2,1,0,7.328707242774963,0.2042,0.0,0.42007817321538776,0.9673088149445418,-0.2462456284715079,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,0.1,2,0,0,3.732977812099457,0.3453,0.0,0.7103476650894878,0.9673088149445418,-0.2902694918741,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,0.1,2,0,0,7.065389957618714,0.3647,0.0,0.7502571487348282,0.9673088149445418,-0.039909483645340416,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,0.1,2,0,0,7.388305162924528,0.4154,0.0,0.8545566755811561,0.9673088149445418,-0.10429952684632793,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,0.1,2,0,0,7.341757732770219,0.4527,0.0,0.9312898580538984,0.9673088149445418,-0.0767331824727423,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,0.1,2,0,0,8.396326174243539,0.4558,0.0,0.9376671466776384,0.9673088149445418,-0.006377288623739985,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,0.1,2,0,0,8.838759707250073,0.4689,0.0,0.9646163340876363,0.9673088149445418,-0.026949187409997855,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,0.1,2,0,0,8.582888233103231,0.4616,0.0,0.949598847973668,0.9673088149445418,0.015017486113968248,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,0.1,2,0,0,8.593990201790817,0.4738,0.0,0.9746965644929027,0.9673088149445418,-0.0100802304052664,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,0.1,2,0,1,8.86433344770521,0.4478,0.0,0.921209627648632,0.9673088149445418,0.05348693684427064,-0.0013621327106440942,,239144000,239144,25
