round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,0.1,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,0.1,1,1,0,3.54405541305542,0.3218,0.6261918661218135,0.0,-0.6248297334111694,0.17383254474387985,0.6248297334111694,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,0.1,1,0,0,4.6474049389362335,0.4201,0.8174742167736914,0.0,-0.19128235065187782,0.17383254474387985,0.8161120840630472,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,0.1,1,0,0,5.434709074181319,0.4542,0.8838295388207823,0.0,-0.06635532204709094,0.17383254474387985,0.8824674061101382,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,0.1,1,0,0,5.817119606924057,0.3987,0.7758318739054291,0.0,0.10799766491535323,0.17383254474387985,0.774469741194785,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,0.1,1,0,0,5.7262881799459455,0.4297,0.8361548939482389,0.0,0.04767464487254336,0.17383254474387985,0.8347927612375948,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,0.1,1,0,0,4.608288407152891,0.4648,0.9044561198676785,0.0,-0.020626581046896186,0.17383254474387985,0.9030939871570344,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,0.1,1,0,0,6.388132131652534,0.4386,0.8534734384121424,0.0,0.05098268145553608,0.17383254474387985,0.8521113057014983,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,0.1,1,0,0,5.281784638246148,0.4875,0.9486281377699942,0.0,-0.04417201790231573,0.17383254474387985,0.9472660050593501,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,0.1,1,0,0,6.247944928863901,0.4899,0.9532983070636311,0.0,-0.004670169293636839,0.17383254474387985,0.9519361743529869,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,0.1,1,0,1,5.674903928058734,0.5052,0.9830706363105662,0.0,-0.02977232924693518,0.17383254474387985,0.9817085035999221,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,0.1,2,1,0,4.948800707626343,0.3001,0.0,0.6173626825756017,0.9830706363105662,-0.4435301378317218,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,0.1,2,0,0,6.709888465309143,0.4097,0.0,0.8428306932729891,0.9830706363105662,-0.22546801069738742,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,0.1,2,0,0,7.851268758869171,0.3923,0.0,0.8070355893849003,0.9830706363105662,0.03579510388808882,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,0.1,2,0,0,7.999446072925627,0.4517,0.0,0.9292326681752726,0.9830706363105662,-0.08640197490228352,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,0.1,2,0,0,8.593554508294165,0.4561,0.0,0.9382843036412261,0.9830706363105662,-0.009051635465953445,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,0.1,2,0,0,9.041525446598977,0.4729,0.0,0.9728450936021394,0.9830706363105662,-0.034560789960913385,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,0.1,2,0,0,9.25120776339937,0.4593,0.0,0.9448673112528286,0.9830706363105662,0.02797778234931081,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,0.1,2,0,0,8.772456976168789,0.4715,0.0,0.9699650277720634,0.9830706363105662,0.0028800658300760507,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,0.1,2,0,0,9.226735831176862,0.4748,0.0,0.9767537543715284,0.9830706363105662,-0.003908660769389005,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,0.1,2,0,1,9.715093851635233,0.4584,0.0,0.9430158403620654,0.9830706363105662,0.03373791400946302,-0.0013621327106440942,,239144000,239144,25
