round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,0.5,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,0.5,1,1,0,5.638737278860807,0.4943,0.9618602841019653,0.0,-0.9604981513913212,0.17383254474387985,0.9604981513913212,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,0.5,1,0,0,7.685266645932943,0.5039,0.9805409612765129,0.0,-0.018680677174547577,0.17383254474387985,0.9791788285658688,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.074504316356732,0.5057,0.9840435882467407,0.0,-0.00350262697022774,0.17383254474387985,0.9826814555360965,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.360438685774081,0.5072,0.9869624440552637,0.0,-0.0029188558085230243,0.17383254474387985,0.9856003113446196,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.2367806786804,0.5087,0.9898812998637867,0.0,-0.0029188558085230243,0.17383254474387985,0.9885191671531426,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.241986714534765,0.5091,0.9906596614127262,0.0,-0.0007783615489395102,0.17383254474387985,0.9892975287020821,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,0.5,1,0,0,7.9450389437836595,0.5091,0.9906596614127262,0.0,0.0,0.17383254474387985,0.9892975287020821,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.501010001190194,0.5101,0.9926055652850749,0.0,-0.0019459038723487199,0.17383254474387985,0.9912434325744308,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.38201380665024,0.5095,0.9914380229616657,0.0,0.0011675423234092097,0.17383254474387985,0.9900758902510216,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,0.5,1,0,1,8.286996251287766,0.5094,0.9912434325744308,0.0,0.001362132710644115,0.17383254474387985,0.9898812998637867,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,0.5,2,1,0,6.245861031615734,0.4615,0.0,0.9493931289858054,0.9926055652850749,-0.7755605842419255,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,0.5,2,0,0,10.423484822251275,0.4718,0.0,0.970582184735651,0.9926055652850749,-0.021189055749845642,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,0.5,2,0,0,11.642565624759905,0.4731,0.0,0.9732565315778646,0.9926055652850749,-0.0026743468422135708,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,0.5,2,0,0,12.436633654821478,0.4752,0.0,0.9775766303229788,0.9926055652850749,-0.004320098745114187,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,0.5,2,0,0,12.807730425269995,0.4753,0.0,0.9777823493108414,0.9926055652850749,-0.0002057189878625909,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.043806906327093,0.4773,0.0,0.981896729068093,0.9926055652850749,-0.004114379757251596,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.309368660450097,0.477,0.0,0.9812795721045052,0.9926055652850749,0.0006171569635877727,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.057952456142264,0.4787,0.0,0.984776794898169,0.9926055652850749,-0.0028800658300760507,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,0.5,2,0,0,12.779355282034446,0.4787,0.0,0.984776794898169,0.9926055652850749,0.0,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,0.5,2,0,1,13.358358531259803,0.4796,0.0,0.9866282657889324,0.9926055652850749,-0.0018514708907633182,-0.0013621327106440942,,239144000,239144,25
