round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,0.5,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,0.5,1,1,0,5.473390773741901,0.5017,0.9762599727573458,0.0,-0.9748978400467017,0.17383254474387985,0.9748978400467017,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,0.5,1,0,0,7.4591177230046135,0.5058,0.9842381786339754,0.0,-0.007978205876629674,0.17383254474387985,0.9828760459233313,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.08421032227748,0.5078,0.9881299863786729,0.0,-0.0038918077446974397,0.17383254474387985,0.9867678536680288,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,0.5,1,0,0,7.839272921496513,0.5083,0.9891029383148473,0.0,-0.0009729519361744154,0.17383254474387985,0.9877408056042032,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.332951301762973,0.5093,0.9910488421871959,0.0,-0.0019459038723486088,0.17383254474387985,0.9896867094765518,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.088138481721328,0.5094,0.9912434325744308,0.0,-0.0001945903872349053,0.17383254474387985,0.9898812998637867,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.121460512178484,0.5108,0.993967697995719,0.0,-0.00272426542128823,0.17383254474387985,0.9926055652850749,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.494739216720225,0.5107,0.9937731076084841,0.0,0.0001945903872349053,0.17383254474387985,0.99241097489784,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.585962664933676,0.5112,0.9947460595446584,0.0,-0.0007783615489393991,0.17383254474387985,0.9933839268340143,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,0.5,1,0,1,8.16541494396914,0.51,0.99241097489784,0.0,0.0023350846468184194,0.17383254474387985,0.9910488421871959,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,0.5,2,1,0,6.441728983306885,0.4562,0.0,0.9384900226290886,0.9947460595446584,-0.7646574778852088,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,0.5,2,0,0,10.528534679245949,0.4694,0.0,0.9656449290269492,0.9947460595446584,-0.027154906397860556,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,0.5,2,0,0,11.774291820767335,0.4735,0.0,0.974079407529315,0.9947460595446584,-0.008434478502365783,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,0.5,2,0,0,12.338756780672538,0.4759,0.0,0.9790166632380168,0.9947460595446584,-0.004937255708701849,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,0.5,2,0,0,12.902709464508202,0.476,0.0,0.9792223822258794,0.9947460595446584,-0.0002057189878625909,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.388125679006846,0.4784,0.0,0.9841596379345814,0.9947460595446584,-0.00493725570870196,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.795705095986417,0.4778,0.0,0.9829253240074058,0.9947460595446584,0.0012343139271755454,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.741924620614341,0.4787,0.0,0.984776794898169,0.9947460595446584,-0.0006171569635876617,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.662825448129164,0.4792,0.0,0.985805389837482,0.9947460595446584,-0.0010285949393129545,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,0.5,2,0,1,14.128978859199002,0.4797,0.0,0.9868339847767948,0.9947460595446584,-0.0010285949393128435,-0.0013621327106440942,,239144000,239144,25
