round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,0.5,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,0.5,1,1,0,5.504488884669542,0.5016,0.9760653823701109,0.0,-0.9747032496594668,0.17383254474387985,0.9747032496594668,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,0.5,1,0,0,7.481458495466458,0.5056,0.9838489978595057,0.0,-0.0077836154893948795,0.17383254474387985,0.9824868651488616,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,0.5,1,0,0,7.920935127543402,0.5073,0.9871570344424986,0.0,-0.003308036582992835,0.17383254474387985,0.9857949017318545,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,0.5,1,0,0,7.855557902326342,0.5081,0.9887137575403775,0.0,-0.0015567230978789093,0.17383254474387985,0.9873516248297334,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.225304440349829,0.5094,0.9912434325744308,0.0,-0.0025296750340533247,0.17383254474387985,0.9898812998637867,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.04625618405235,0.5092,0.9908542517999611,0.0,0.00038918077446969956,0.17383254474387985,0.989492119089317,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.007857093615888,0.5105,0.9933839268340144,0.0,-0.002140494259583625,0.17383254474387985,0.9920217941233703,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.44231817105018,0.5107,0.9937731076084841,0.0,-0.00038918077446969956,0.17383254474387985,0.99241097489784,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,0.5,1,0,0,8.432575038824691,0.5109,0.9941622883829538,0.0,-0.00038918077446969956,0.17383254474387985,0.9928001556723097,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,0.5,1,0,1,8.110978276590398,0.5102,0.9928001556723098,0.0,0.001362132710644004,0.17383254474387985,0.9914380229616657,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,0.5,2,1,0,6.637164146137238,0.4575,0.0,0.9411643694713022,0.9941622883829538,-0.7673318247274223,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,0.5,2,0,0,10.468644069115445,0.4681,0.0,0.9629705821847356,0.9941622883829538,-0.021806212713433415,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,0.5,2,0,0,11.68020446666088,0.4735,0.0,0.974079407529315,0.9941622883829538,-0.011108825344579354,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,0.5,2,0,0,12.268542762067728,0.4767,0.0,0.9806624151409175,0.9941622883829538,-0.006583007611602465,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,0.5,2,0,0,12.972964405005937,0.4763,0.0,0.9798395391894672,0.9941622883829538,0.0008228759514502526,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.377963841140689,0.4779,0.0,0.9831310429952684,0.9941622883829538,-0.00246862785435098,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.774638695969783,0.4785,0.0,0.984365356922444,0.9941622883829538,-0.0012343139271755454,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.741133823797433,0.4791,0.0,0.9855996708496194,0.9941622883829538,-0.0012343139271754344,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,0.5,2,0,0,13.716106792951887,0.4791,0.0,0.9855996708496194,0.9941622883829538,0.0,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,0.5,2,0,1,14.176001069308526,0.4794,0.0,0.9862168278132072,0.9941622883829538,-0.0006171569635877727,-0.0013621327106440942,,239144000,239144,25
