round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,1.0,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,1.0,1,1,0,7.62531957430318,0.4974,0.9678925861062464,0.0,-0.9665304533956023,0.17383254474387985,0.9665304533956023,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,1.0,1,0,0,8.904908180337632,0.5053,0.9832652266978011,0.0,-0.015372640591554743,0.17383254474387985,0.981903093987157,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.36697551769435,0.507,0.986573263280794,0.0,-0.003308036582992835,0.17383254474387985,0.9852111305701499,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.30273692580426,0.5079,0.9883245767659078,0.0,-0.0017513134851138146,0.17383254474387985,0.9869624440552637,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.003051384426142,0.5088,0.9900758902510216,0.0,-0.0017513134851138146,0.17383254474387985,0.9887137575403775,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.618768420814455,0.5092,0.9908542517999611,0.0,-0.0007783615489395102,0.17383254474387985,0.989492119089317,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.704359576015198,0.5095,0.9914380229616657,0.0,-0.0005837711617046049,0.17383254474387985,0.9900758902510216,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.436271207837985,0.5097,0.9918272037361354,0.0,-0.00038918077446969956,0.17383254474387985,0.9904650710254913,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.352401483326897,0.51,0.99241097489784,0.0,-0.0005837711617046049,0.17383254474387985,0.9910488421871959,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,1.0,1,0,1,9.150345970542988,0.5105,0.9933839268340144,0.0,-0.0009729519361744154,0.17383254474387985,0.9920217941233703,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,1.0,2,1,0,9.518600390389562,0.4633,0.0,0.9530960707673318,0.9933839268340144,-0.779263526023452,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,1.0,2,0,0,13.32206603508927,0.4732,0.0,0.9734622505657272,0.9933839268340144,-0.02036617979839539,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.538152618660591,0.4748,0.0,0.9767537543715284,0.9933839268340144,-0.0032915038058012325,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.007710502874666,0.4769,0.0,0.9810738531166426,0.9933839268340144,-0.004320098745114187,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.712983901794907,0.4772,0.0,0.9816910100802304,0.9933839268340144,-0.0006171569635877727,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.158822444267548,0.4779,0.0,0.9831310429952684,0.9933839268340144,-0.0014400329150380253,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.60101701429598,0.4786,0.0,0.9845710759103066,0.9933839268340144,-0.0014400329150381364,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.914075617952621,0.4782,0.0,0.9837481999588562,0.9933839268340144,0.0008228759514503636,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,1.0,2,0,0,15.349607702038506,0.4786,0.0,0.9845710759103066,0.9933839268340144,0.0,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,1.0,2,0,1,15.178304611604743,0.4791,0.0,0.9855996708496194,0.9933839268340144,-0.0010285949393128435,-0.0013621327106440942,,239144000,239144,25
