round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,dirichlet,1.0,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,dirichlet,1.0,1,1,0,6.358839546828717,0.5008,0.974508659272232,0.0,-0.9731465265615878,0.17383254474387985,0.9731465265615878,,11957200,239144,25
2,fedavg,mnist,50,dirichlet,1.0,1,0,0,8.499955088136485,0.5046,0.981903093987157,0.0,-0.007394434714925069,0.17383254474387985,0.9805409612765129,,23914400,239144,25
3,fedavg,mnist,50,dirichlet,1.0,1,0,0,8.612672029847465,0.5069,0.9863786728935591,0.0,-0.004475578906402045,0.17383254474387985,0.985016540182915,,35871600,239144,25
4,fedavg,mnist,50,dirichlet,1.0,1,0,0,8.891961451047868,0.5083,0.9891029383148473,0.0,-0.00272426542128823,0.17383254474387985,0.9877408056042032,,47828800,239144,25
5,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.009442732816213,0.5088,0.9900758902510216,0.0,-0.0009729519361743044,0.17383254474387985,0.9887137575403775,,59786000,239144,25
6,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.242000699980103,0.5091,0.9906596614127262,0.0,-0.0005837711617046049,0.17383254474387985,0.9892975287020821,,71743200,239144,25
7,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.526117630940071,0.5099,0.9922163845106052,0.0,-0.0015567230978790203,0.17383254474387985,0.9908542517999611,,83700400,239144,25
8,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.123012510765292,0.51,0.99241097489784,0.0,-0.00019459038723479427,0.17383254474387985,0.9910488421871959,,95657600,239144,25
9,fedavg,mnist,50,dirichlet,1.0,1,0,0,9.303501365761596,0.5105,0.9933839268340144,0.0,-0.0009729519361744154,0.17383254474387985,0.9920217941233703,,107614800,239144,25
10,fedavg,mnist,50,dirichlet,1.0,1,0,1,9.18723174542506,0.511,0.9943568787701887,0.0,-0.0009729519361743044,0.17383254474387985,0.9929947460595446,,119572000,239144,25
11,fedavg,mnist,50,dirichlet,1.0,2,1,0,9.53380706969574,0.4662,0.0,0.9590619214153466,0.9943568787701887,-0.7852293766714668,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,dirichlet,1.0,2,0,0,13.332027207767776,0.4724,0.0,0.9718164986628266,0.9943568787701887,-0.01275457724747997,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.27765970317144,0.4746,0.0,0.9763423163958034,0.9943568787701887,-0.004525817732976778,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.159808937537484,0.4767,0.0,0.9806624151409175,0.9943568787701887,-0.004320098745114076,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.646618294477323,0.4774,0.0,0.9821024480559556,0.9943568787701887,-0.0014400329150381364,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.835665918320696,0.4777,0.0,0.9827196050195433,0.9943568787701887,-0.0006171569635876617,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,dirichlet,1.0,2,0,0,14.686774959988776,0.478,0.0,0.983336761983131,0.9943568787701887,-0.0006171569635877727,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,dirichlet,1.0,2,0,0,15.035098317650485,0.4786,0.0,0.9845710759103066,0.9943568787701887,-0.0012343139271755454,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,dirichlet,1.0,2,0,0,15.481786031177151,0.4788,0.0,0.9849825138860316,0.9943568787701887,-0.0004114379757250708,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,dirichlet,1.0,2,0,1,15.159715477616805,0.479,0.0,0.9853939518617568,0.9943568787701887,-0.0004114379757251818,-0.0013621327106440942,,239144000,239144,25
