round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,iid,,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,iid,,1,1,0,5.522159351267666,0.5031,0.978984238178634,0.0,-0.9776221054679899,0.17383254474387985,0.9776221054679899,,11957200,239144,25
2,fedavg,mnist,50,iid,,1,0,0,8.004920339004602,0.5057,0.9840435882467407,0.0,-0.0050593500681066494,0.17383254474387985,0.9826814555360965,,23914400,239144,25
3,fedavg,mnist,50,iid,,1,0,0,8.39547814504814,0.5074,0.9873516248297334,0.0,-0.003308036582992724,0.17383254474387985,0.9859894921190893,,35871600,239144,25
4,fedavg,mnist,50,iid,,1,0,0,8.815655853770906,0.5085,0.989492119089317,0.0,-0.002140494259583625,0.17383254474387985,0.9881299863786729,,47828800,239144,25
5,fedavg,mnist,50,iid,,1,0,0,8.672212821028475,0.509,0.9904650710254913,0.0,-0.0009729519361743044,0.17383254474387985,0.9891029383148472,,59786000,239144,25
6,fedavg,mnist,50,iid,,1,0,0,9.365734005117359,0.5099,0.9922163845106052,0.0,-0.0017513134851139256,0.17383254474387985,0.9908542517999611,,71743200,239144,25
7,fedavg,mnist,50,iid,,1,0,0,8.732280881001923,0.5097,0.9918272037361354,0.0,0.0003891807744698106,0.17383254474387985,0.9904650710254913,,83700400,239144,25
8,fedavg,mnist,50,iid,,1,0,0,8.927309039897475,0.5106,0.9935785172212492,0.0,-0.001362132710644004,0.17383254474387985,0.9922163845106051,,95657600,239144,25
9,fedavg,mnist,50,iid,,1,0,0,9.052886758958932,0.5108,0.993967697995719,0.0,-0.0003891807744698106,0.17383254474387985,0.9926055652850749,,107614800,239144,25
10,fedavg,mnist,50,iid,,1,0,1,9.282547626965767,0.5108,0.993967697995719,0.0,0.0,0.17383254474387985,0.9926055652850749,,119572000,239144,25
11,fedavg,mnist,50,iid,,2,1,0,11.282884141257032,0.468,0.0,0.962764863196873,0.993967697995719,-0.7889323184529932,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,iid,,2,0,0,13.711766922887787,0.4735,0.0,0.974079407529315,0.993967697995719,-0.011314544332441945,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,iid,,2,0,0,14.555031510890927,0.4755,0.0,0.9781937872865666,0.993967697995719,-0.004114379757251596,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,iid,,2,0,0,14.448141355254082,0.4774,0.0,0.9821024480559556,0.993967697995719,-0.003908660769389005,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,iid,,2,0,0,15.197885414886196,0.4787,0.0,0.984776794898169,0.993967697995719,-0.0026743468422134598,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,iid,,2,0,0,15.489937181052799,0.4786,0.0,0.9845710759103066,0.993967697995719,0.00020571898786247989,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,iid,,2,0,0,15.450926794466481,0.4788,0.0,0.9849825138860316,0.993967697995719,-0.0002057189878625909,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,iid,,2,0,0,15.579189319947304,0.4797,0.0,0.9868339847767948,0.993967697995719,-0.0018514708907632071,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,iid,,2,0,0,15.77175039606386,0.4799,0.0,0.98724542275252,0.993967697995719,-0.0004114379757251818,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,iid,,2,0,1,15.729348547292501,0.4797,0.0,0.9868339847767948,0.993967697995719,0.0004114379757251818,-0.0013621327106440942,,239144000,239144,25
